subject_code,course_number,title_name,credits,contact_hours,cross_listed,dual_listed,repeatable,prerequisites,description,typically_offered,source_url
HGED,4120X,Intercollegiate Athletics in U.S. Higher Education,3.,Lecture 3.,,,,Junior or Senior Classification,"This course examines the role and impact of intercollegiate athletics in U.S. higher education institutions. Topics include governance, policy, compliance, student-athlete welfare, equity, legal and ethical issues, and the relationship between athletics and academic missions.",,https://catalog.iastate.edu/azcourses/hg_ed/
HGED,5040,History of Higher Education in the United States,3.,Lecture 3.,,,,Graduate Standing or Permission of Instructor,"Survey course in the history of higher education in the United States, from the colonial era to the present. Emphasis is placed on enduring debates about the purpose(s) of higher education and issues of equity and access along lines of race, class, and gender. Readings include primary and secondary materials.",,https://catalog.iastate.edu/azcourses/hg_ed/
HGED,5120X,Intercollegiate Athletics in U.S. Higher Education,3.,Lecture 3.,,,,Graduate standing,"Role and impact of intercollegiate athletics in U.S. higher education institutions. Topics include governance, policy, compliance, student-athlete welfare, equity, legal and ethical issues, and the relationship between athletics and academic missions.",,https://catalog.iastate.edu/azcourses/hg_ed/
HGED,5380,Foundations of Engineering Education,3.,Lecture 3.,,,,Graduate Standing or Permission of Instructor,"Introduction to the field of engineering education, with an emphasis on engineering education history, existing challenges, teaching and learning pedagogies and theories, research opportunities, and research methodologies. The course goal is to develop students as scholars and to have students think critically about engineering and education. Students will apply the knowledge gained from this course to propose a research project related to their own discipline. The proposal is intended to help students learn and apply the key elements of engineering education research. This course is intended for students with a variety of interests and career goals, including those interested in learning to conduct engineering education research, exploring research discoveries about teaching and learning, and engaging with the engineering education community.",Fall,https://catalog.iastate.edu/azcourses/hg_ed/
HGED,5440,Foundations of Leadership,3.,Lecture 3.,,,,Graduate Standing or Permission of Instructor,"Introduction to leading in higher education. Course will include concepts, competencies, and skills necessary for leading higher education organizations, the various roles leaders may fill within the higher education sector, using assessment for improvement as a leader in higher education.",,https://catalog.iastate.edu/azcourses/hg_ed/
HGED,5520,Introduction to Higher Education in the United States,3.,Lecture 3.,,,,Graduate Standing or Permission of Instructor,"Overview of higher education in the United States, including a brief history, the functions, organization, external influences, funding, and the major issues impacting postsecondary institutions today.",,https://catalog.iastate.edu/azcourses/hg_ed/
HGED,5610,College Teaching,3.,Lecture 3.,,,,Graduate Standing or Permission of Instructor,"Educational theories, methods and strategies for the improvement of college instruction. Assist potential college instructors in developing knowledge of protocol, assessment, and the scholarship and art of teaching. Emphasis on the unique challenge of college teaching in a changing student population environment.",,https://catalog.iastate.edu/azcourses/hg_ed/
HGED,5620,Curriculum Development in Colleges,3.,Lecture 3.,,,,Graduate Standing or Permission of Instructor,"Modes of curriculum design, development, and change in colleges. Development of curricular leadership and evaluation strategies.",,https://catalog.iastate.edu/azcourses/hg_ed/
HGED,5680,Global Education Policy Analysis,3.,Lecture 3.,,,,Graduate Standing or Permission of Instructor,"Assessment of global education policy issues in education. Analysis of policies, implementation strategies, and policy outcomes.",,https://catalog.iastate.edu/azcourses/hg_ed/
HGED,5720,Resource Management in Higher Education,3.,Lecture 3.,,,,Graduate standing,"An examination of resource management in higher education. Planning, allocation, and administration of financial, human, and physical resources in colleges and universities.",,https://catalog.iastate.edu/azcourses/hg_ed/
HGED,5730,"Equity, Diversity, and Inclusion in Student Affairs",3.,Lecture 3.,,,,Graduate Standing or Permission of Instructor,"Explores theories of equity, diversity, and inclusion to build knowledge and skills related to social justice in student affairs practice.",,https://catalog.iastate.edu/azcourses/hg_ed/
HGED,5740,Student Affairs Practice in Higher Education,3.,Lecture 3.,,,,Graduate Standing or Permission of Instructor,"Introduction to the profession of Student Affairs in higher education. As a survey course, readings, learning artifacts, and class discussions will be used to uncover a breadth of topics related to the student affairs profession. Course content is organized around, but will not be limited to, the history, philosophical underpinnings, values, ethics, and standards espoused, as well as the concepts of learning and community development.",,https://catalog.iastate.edu/azcourses/hg_ed/
HGED,5750,Organization and Administration of Student Affairs,3.,Lecture 3.,,,,Graduate Standing or Permission of Instructor,"Topics related to organization and administration of student affairs in higher education. The course surveys organizational and administrative aspects of student affairs within the broader context of post-secondary education with particular attention paid to organizational development, budget and finance, and law and policy.",,https://catalog.iastate.edu/azcourses/hg_ed/
HGED,5760,Student Development in Higher Education,3.,Lecture 3.,,,,Graduate Standing or Permission of Instructor,"Theories of student and adult development and their applications in student affairs programs, services, and activities are reviewed. Emphasis is placed on theories exploring psychosocial, cognitive, moral, and social identity development as well as on integrated theories of development.",,https://catalog.iastate.edu/azcourses/hg_ed/
HGED,5770,Campus Environments and Cultures,3.,Lecture 3.,,,,Graduate Standing or Permission of Instructor,Study of the impact of the college environment on students and use of environmental theory to create positive learning situations for students.,,https://catalog.iastate.edu/azcourses/hg_ed/
HGED,5780,Students in U.S. Higher Education,3.,Lecture 3.,,,,Graduate Standing or Permission of Instructor,"The relationship between college students and characteristics from 1950 to the present. Traditional assumptions about the impact of higher education on students will be reviewed and challenged. Campus issues and concerns relative to commuters and residential life. Participants will analyze institutional responses to students through college missions, organizational development, structure, core curriculum and retention.",,https://catalog.iastate.edu/azcourses/hg_ed/
HGED,5790,Advising and Supporting,3.,Lecture 3.,,,,Graduate Standing or Permission of Instructor,"Development of effective, basic counseling skills. Understanding of group dynamics. Ability to work effectively in groups.",,https://catalog.iastate.edu/azcourses/hg_ed/
HGED,5800,Current Topics in Community Colleges,3.,Lecture 3.,,,,Graduate Standing or Permission of Instructor,"Current issues and new directions in community college practice, policy, and research.",,https://catalog.iastate.edu/azcourses/hg_ed/
HGED,5810,Community College Partnerships,3.,Lecture 3.,,,,Graduate standing,"Overview of the community environment in which community colleges serve and the external groups with whom they partner, including environmental scanning, partner development, strategic planning, and maintaining relationships.",,https://catalog.iastate.edu/azcourses/hg_ed/
HGED,5820,The Comprehensive Community College,3.,Lecture 3.,,,,Graduate Standing or Permission of Instructor,"The community college as a unique social and educational institution: its history, philosophy, functions, programs, faculty and student characteristics, organization and finance, trends, and issues. Reviews current research and exemplary community college practices internationally, nationally, and in Iowa.",,https://catalog.iastate.edu/azcourses/hg_ed/
HGED,5830X,Governance and Oversight of Higher Education,3.,Lecture 3.,,,,Graduate Standing or Permission of Instructor,"Introduction to governance and oversight of higher education, including federal and state roles, boards of trustees, governance structures, external oversight, regulation, strategic planning, and legal issues.",,https://catalog.iastate.edu/azcourses/hg_ed/
HGED,5900A,Special Topics: Student Services,1-4.,,,,,Instructor Permission for Course,Independent study on specific topics arranged with an instructor.,,https://catalog.iastate.edu/azcourses/hg_ed/
HGED,5900B,Special Topics: Community Colleges,1-4.,,,,,Instructor Permission for Course,Independent study on specific topics arranged with an instructor.,,https://catalog.iastate.edu/azcourses/hg_ed/
HGED,5900C,Special Topics: Current Issues,1-4.,,,,,Instructor Permission for Course,Independent study on specific topics arranged with an instructor.,,https://catalog.iastate.edu/azcourses/hg_ed/
HGED,5900D,Special Topics: International Higher Education,1-4.,,,,,Instructor Permission for Course,Independent study on specific topics arranged with an instructor.,,https://catalog.iastate.edu/azcourses/hg_ed/
HGED,5900E,Special Topics: Federal and State Affairs,1-4.,,,,,Instructor Permission for Course,Independent study on specific topics arranged with an instructor.,,https://catalog.iastate.edu/azcourses/hg_ed/
HGED,5900F,Special Topics: Law in Higher Education,1-4.,,,,,Instructor Permission for Course,Independent study on specific topics arranged with an instructor.,,https://catalog.iastate.edu/azcourses/hg_ed/
HGED,5900G,Special Topics: Institutional Research,1-4.,,,,,Instructor Permission for Course,Independent study on specific topics arranged with an instructor.,,https://catalog.iastate.edu/azcourses/hg_ed/
HGED,5910,Supervised Field Experience,1-4.,,,,True,Instructor Permission for Course,Supervised on-the-job field experience.,,https://catalog.iastate.edu/azcourses/hg_ed/
HGED,5930,Workshops,1-5.,Lecture 5.,,,True,Graduate Standing or Permission of Instructor,,,https://catalog.iastate.edu/azcourses/hg_ed/
HGED,5980,Capstone Seminar,3.,Lecture 3.,,,,Graduate Standing or Permission of Instructor,The primary goal of this course is for advanced students to demonstrate their preparedness to progress in the field of Student Affairs as educators who are able to apply concepts and formal (and informal) theories addressed in previous course and fieldwork to their professional student affairs thinking and practices.,,https://catalog.iastate.edu/azcourses/hg_ed/
HGED,5990,Creative Component,1-30.,,,,,Instructor Permission for Course,,,https://catalog.iastate.edu/azcourses/hg_ed/
HGED,6150A,Seminars in Higher Education: Student Services,1-4.,Lecture 4.,,,,,,,https://catalog.iastate.edu/azcourses/hg_ed/
HGED,6150B,Seminars in Higher Education: Community Colleges,1-4.,Lecture 4.,,,,,,,https://catalog.iastate.edu/azcourses/hg_ed/
HGED,6150C,Seminars in Higher Education: Current Issues,1-4.,Lecture 4.,,,,,,,https://catalog.iastate.edu/azcourses/hg_ed/
HGED,6150D,Seminars in Higher Education: International Higher Education,1-4.,Lecture 4.,,,,,,,https://catalog.iastate.edu/azcourses/hg_ed/
HGED,6150E,Seminars in Higher Education: Federal and State Affairs,1-4.,Lecture 4.,,,,,,,https://catalog.iastate.edu/azcourses/hg_ed/
HGED,6150F,Seminars in Higher Education: Law in Higher Education,1-4.,Lecture 4.,,,,,,,https://catalog.iastate.edu/azcourses/hg_ed/
HGED,6150G,Seminars in Higher Education: Institutional Research,1-4.,Lecture 4.,,,,,,,https://catalog.iastate.edu/azcourses/hg_ed/
HGED,6150H,Seminars in Higher Education: Research Designs in Higher Education,1-4.,Lecture 1.,,,,,,,https://catalog.iastate.edu/azcourses/hg_ed/
