subject_code,course_number,title_name,credits,contact_hours,cross_listed,dual_listed,repeatable,prerequisites,description,typically_offered,source_url
HON,1210,First-Year Honors Seminar,1.,Laboratory 2.,,,,Membership in the First-Year Honors Program,Orientation to Iowa State University and to the University Honors Program. Students will meet and work with other high-ability students for the purpose of exchanging ideas and considering alternative futures as a basis for launching personalized academic programs and professional careers. Offered on a satisfactory-fail basis only.,Fall,https://catalog.iastate.edu/azcourses/hon/
HON,2900,Special Problems,1-2.,,,,,Membership in the University Honors Program,Independent study on topics of an interdisciplinary nature. Intended primarily for freshmen and sophomores. Offered on a satisfactory-fail basis only.,Spring,https://catalog.iastate.edu/azcourses/hon/
HON,2900H,Honors,1-2.,,,,,Membership in the University Honors Program,"Independent research study as a part of the First-Year Honors Mentor program (FHMP), which offers first-year honors students the opportunity to get research experiences with a faculty mentor. The main objectives of the FHMP are to develop students' interest in and understanding of academic research and to help them identify a research area for an honors capstone project. Offered on a satisfactory-fail basis only.",Spring,https://catalog.iastate.edu/azcourses/hon/
HON,2900U,Undergraduate Research,1-30.,,,,,Membership in the University Honors Program,"Independent study as a continuation of the First-Year Honors Mentor program (FHMP), which offers second-year honors students the opportunity to continue research experiences with the same FHMP faculty mentor as in the HON 2900H course. The main objectives are to extend students' involvement in research and understanding of an academic field and to help them identify a research area for an honors capstone project. Offered on a satisfactory-fail basis only.","Fall, Spring",https://catalog.iastate.edu/azcourses/hon/
HON,3020,First-Year Honors Leadership Development,2.,"Laboratory 2, Lecture 1.",,,,Membership in the University Honors Program,Offered on a satisfactory-fail basis only.,Fall,https://catalog.iastate.edu/azcourses/hon/
HON,3210,University Honors Seminars,1-2.,Lecture 2.,,,True,Membership in University Honors Program or First-Year Honors Program,Interdisciplinary seminars on topics to be announced in advance. Offered on a satisfactory-fail basis only.,Fall,https://catalog.iastate.edu/azcourses/hon/
HON,3220,University Honors Seminars,1-2.,Lecture 2.,,,True,Membership in the University Honors Program,Interdisciplinary seminars on topics to be announced in advance. Offered on a satisfactory-fail basis only.,Spring,https://catalog.iastate.edu/azcourses/hon/
HON,3230,University Honors Seminars,1-2.,Lecture 2.,,,True,Membership in the University Honors Program,Interdisciplinary seminars on topics to be announced in advance. Offered on a satisfactory-fail basis only.,"Fall, Spring",https://catalog.iastate.edu/azcourses/hon/
HON,3240,University Honors Seminars,1-2.,Lecture 2.,,,True,Membership in the University Honors Program,Interdisciplinary seminars on topics to be announced in advance. Offered on a satisfactory-fail basis only.,"Fall, Spring",https://catalog.iastate.edu/azcourses/hon/
HON,4900A,Independent Study: Capstone,1-6.,,,,True,Membership in the University Honors Program,Independent study on topics of an interdisciplinary nature for students following the Primary College Honors Track. Intended primarily for juniors and seniors.,"Fall, Spring, Summer",https://catalog.iastate.edu/azcourses/hon/
HON,4900B,Independent Study: Innovation Pathway,1-6.,,,,True,Membership in the University Honors Program,Independent study on topics of an interdisciplinary nature for students following the Innovation Honors Track. Intended primarily for juniors and seniors.,"Fall, Spring, Summer",https://catalog.iastate.edu/azcourses/hon/
