subject_code,course_number,title_name,credits,contact_hours,cross_listed,dual_listed,repeatable,prerequisites,description,typically_offered,source_url
HORT,1100,Professional and Educational Development in Horticulture,1.,Lecture 1.,,,,,Intended for first-year students and others new to the horticulture curriculum. Introduction to professional and educational development within horticulture. Focus is on university and career acclimation. Assessed service-learning component.,Fall,https://catalog.iastate.edu/azcourses/hort/
HORT,1210,Home Horticulture,3.,"Discussion 1, Lecture 2.",,,,,"Growing plants in and around the home including requirements for growing indoor plants, plant propagation, landscape design, and maintaining trees, lawns, flower, fruit, and vegetable gardens. Recitation includes demonstrations and hands-on activities that illustrate principles of designing, growing and maintaining plants for both indoor and outdoor gardens.","Fall, Spring",https://catalog.iastate.edu/azcourses/hort/
HORT,1310,Floral Design,2.,"Lecture 1, Laboratory 2.",,,,,"Introduces basic geometric design of fresh arrangements, corsages, and holiday arrangements. Includes use of tools and supplies.","Fall, Spring",https://catalog.iastate.edu/azcourses/hort/
HORT,1320,Wedding and Event Floral Design,2.,"Lecture 1, Laboratory 2.",,,,HORT 1310,"Principles of design and proper mechanics for ceremony flowers, reception flowers, personal flowers, bridal bouquets, and event florals. Flower and plant materials that are commonly used in the event industry. Plan, design, cost, order, and create florals for a wedding, then present as the final project for implementation.","Fall, Spring",https://catalog.iastate.edu/azcourses/hort/
HORT,1930A,Topics in Horticulture: Greenhouse Crops,1-30.,Lecture 30.,,,True,,Practical courses in the field of horticulture. Graduation Restriction: A maximum of 6 credits of HORT 1930 may be used toward the total of 128 credits required for graduation.,"Fall, Spring, Summer",https://catalog.iastate.edu/azcourses/hort/
HORT,1930B,Topics in Horticulture: Nursery Crops,1-30.,Lecture 30.,,,True,,Practical courses in the field of horticulture. Graduation Restriction: A maximum of 6 credits of HORT 1930 may be used toward the total of 128 credits required for graduation.,"Fall, Spring, Summer",https://catalog.iastate.edu/azcourses/hort/
HORT,1930C,Topics in Horticulture: Turfgrass,1-30.,Lecture 30.,,,True,,Practical courses in the field of horticulture. Graduation Restriction: A maximum of 6 credits of HORT 1930 may be used toward the total of 128 credits required for graduation.,"Fall, Spring, Summer",https://catalog.iastate.edu/azcourses/hort/
HORT,1930D,Topics in Horticulture: Fruit Crops,1-30.,Lecture 30.,,,True,,Practical courses in the field of horticulture. Graduation Restriction: A maximum of 6 credits of HORT 1930 may be used toward the total of 128 credits required for graduation.,"Fall, Spring, Summer",https://catalog.iastate.edu/azcourses/hort/
HORT,1930E,Topics in Horticulture: Vegetable Crops,1-30.,Lecture 30.,,,True,,Practical courses in the field of horticulture. Graduation Restriction: A maximum of 6 credits of HORT 1930 may be used toward the total of 128 credits required for graduation.,"Fall, Spring, Summer",https://catalog.iastate.edu/azcourses/hort/
HORT,1930F,Topics in Horticulture: Cross-Commodity,1-30.,Lecture 30.,,,True,,Practical courses in the field of horticulture. Graduation Restriction: A maximum of 6 credits of HORT 1930 may be used toward the total of 128 credits required for graduation.,"Fall, Spring, Summer",https://catalog.iastate.edu/azcourses/hort/
HORT,1930G,Topics in Horticulture: Landscape Horticulture,1-30.,Lecture 30.,,,True,,Practical courses in the field of horticulture. Graduation Restriction: A maximum of 6 credits of HORT 1930 may be used toward the total of 128 credits required for graduation.,"Fall, Spring, Summer",https://catalog.iastate.edu/azcourses/hort/
HORT,2210,Principles of Horticulture Science,3.,"Lecture 2, Laboratory 2.",,,,Credit or enrollment in BIOL 2110,"Biological principles of growing horticultural crops including anatomy, reproduction, light, temperature, water, nutrition, and growth and development. Laboratory exercises emphasize environmental factors and permit detailed observation of plant growth.","Fall, Spring",https://catalog.iastate.edu/azcourses/hort/
HORT,2330,House Plants and Interiorscaping,2.,"Lecture 1, Laboratory 2.",,,,,"Basic introduction to indoor houseplants and interiorscapes. Understand plant selection, identification, maintenance, and problem solving. Learn current houseplant trends, commercial interior plant design, and installation. A beneficial course for students with an interest in house plants, retail plant sales, Interiorscaping, event design, or gardening.","Fall, Spring",https://catalog.iastate.edu/azcourses/hort/
HORT,2400,"Trees, Shrubs, and Woody Vines for Landscaping",3.,"Lecture 2, Laboratory 2.",,,,,"Identification of trees, shrubs, and woody vines. Factors influencing the horticultural use of woody plants. Field trips outside of regular class time may be required.",Fall,https://catalog.iastate.edu/azcourses/hort/
HORT,2760,Grape and Wine Science,3.,Lecture 4.,,,,,"An introduction to viticulture (grape growing) and enology (wine making) to increase understanding of the science, including grape biology, chemistry, sensory of grape production and winemaking. Knowledge and the practical applications of grape growing and winemaking will be emphasized. No wine tasting. High school biology and chemistry or 3 credits of college biology and chemistry recommended.",,https://catalog.iastate.edu/azcourses/hort/
HORT,2810,Landscape Graphics,2.,Studio 4.,,,,,Introduction to computer and hand rendering techniques of landscape graphics. Students will gain proficiency in plan view and elevation graphics. Intensive studio and computer based instruction.,Fall,https://catalog.iastate.edu/azcourses/hort/
HORT,2830,Pesticide Application Certification,2.,Lecture 2.,,,,,"Core background and specialty topics in agricultural, and horticultural pesticide applicator certification. Students can select certification categories and have the opportunity to obtain pesticide applicator certification at the completion of the course. Commercial pesticide applicator certification is emphasized.",Spring,https://catalog.iastate.edu/azcourses/hort/
HORT,2910A,Horticulture Professional Development: Turfgrass Competition,1.,Laboratory 2.,,,True,Instructor Permission for Course,"Intensive training in preparation for intercollegiate competition in turfgrass, planting, design, plant identification, installation, cost estimating, and other skills at national contests in horticulture. Students must compete in related national competition to earn credit. Graduation Restriction: Only one credit of HORT 2910A , 2910B, or 2910C may count toward Horticulture credits for graduation. A maximum of four credits of any combination of HORT 2910A , 2910B, and 2910C may count toward credits for graduation. Offered on a satisfactory-fail basis only.",Fall,https://catalog.iastate.edu/azcourses/hort/
HORT,2910B,Horticulture Professional Development: Landscape Competition,1.,Lecture 1.,,,True,Instructor Permission for Course,"Intensive training in preparation for intercollegiate competition in planting, design, plant identification, installation, cost estimating, and other skills at national contests in horticulture. Students must compete in related national competition to earn credit. Graduation Restriction: Only one credit of HORT 2910A , 2910B, or 2910C may count toward Horticulture credits for graduation. A maximum of four credits of any combination of HORT 2910A , 2910B, and 2910C may count toward credits for graduation. Offered on a satisfactory-fail basis only.",Spring,https://catalog.iastate.edu/azcourses/hort/
HORT,2910C,Horticulture Professional Development: Cross-Commodity,1.,Laboratory 2.,,,True,Instructor Permission for Course,"Intensive training in preparation for intercollegiate competition in planting, plant identification and other skills at national contests in horticulture. Students must compete in related national competition to earn credit. Graduation Restriction: Only one credit of HORT 2910A , 2910B, or 2910C may count toward Horticulture credits for graduation. A maximum of four credits of any combination of HORT 2910A , 2910B, and 2910C may count toward credits for graduation. Offered on a satisfactory-fail basis only.","Fall, Spring",https://catalog.iastate.edu/azcourses/hort/
HORT,3210,Horticulture Physiology,3.,Lecture 3.,,,,HORT 2210 or BIOL 2110,"Principles of plant physiology relating to growth and development of horticultural plants including plant water relations, membrane transport, photosynthesis, photomorphogenesis, respiration, and phytohormones. Emphasis on plant's responses to environmental factors (temperature, water, and light) including cellular and whole-plant physiology under stressful environments.",Fall,https://catalog.iastate.edu/azcourses/hort/
HORT,3220,Plant Propagation,3.,"Lecture 2, Laboratory 2.",,,,HORT 2210 or BIOL 2110,"Fundamental principles underlying sexual and asexual propagation of plants; practice in reproducing plants by use of seeds, cuttings, layering, grafting and budding and tissue culture.",Spring,https://catalog.iastate.edu/azcourses/hort/
HORT,3300,Herbaceous Ornamental Plants,3.,"Lecture 2, Laboratory 2.",,,,HORT 2210 or Permission of Instructor,"Identification, botanical characteristics, origins, propagation, uses and general culture of herbaceous annual and perennial plants for Midwestern gardens and landscapes.",Fall,https://catalog.iastate.edu/azcourses/hort/
HORT,3310,Hydroponic Crop Production,2.,Lecture 2.,,,,AGRON 1810 or HORT 2210 or 3 credits in Biological Sciences,"Principles and practices of hydroponic systems, crop production and culture, aquaponic systems, and new food and medicinal crops for hydroponic systems. Offered even-numbered years.",Fall,https://catalog.iastate.edu/azcourses/hort/
HORT,3320,Greenhouse and Nursery Operations and Management,4.,"Lecture 3, Laboratory 3.",,,,HORT 2210,"Operation and management of greenhouses, nurseries, and other controlled environment agriculture structures and facilities. Principle of site selection, facility design and methods of monitoring and manipulating environmental, cultural, and management factors such as light, temperature, fertility, substrate, etc., to maximize production efficiency. Emphasis placed on the principles of production of both ornamental and food crops. Greenhouse analysis project required.",Spring,https://catalog.iastate.edu/azcourses/hort/
HORT,3380,Seed Science and Technology,3.,Lecture 3.,,,,( AGRON 1810 or HORT 2210 ); 3 credits of BIOL,"Seed production, maturation, dormancy, vigor, deterioration, and related aspects of enhancement, conditioning, storage, and quality evaluation. Aspects of the seed industry and regulation of seed marketing.",Fall,https://catalog.iastate.edu/azcourses/hort/
