subject_code,course_number,title_name,credits,contact_hours,cross_listed,dual_listed,repeatable,prerequisites,description,typically_offered,source_url
HS,1050,First Aid and Emergency Care,2.,,,,,,"Discussion and application of the basic techniques of utilizing bloodborne pathogen safety measures, administering first aid and cardiopulmonary resuscitation. ARC layperson certification available.","Fall, Spring, Summer",https://catalog.iastate.edu/azcourses/h_s/
HS,1100,Personal and Consumer Health,3.,Lecture 3.,,,,,"Physical, mental, emotional and social aspects of health as a basis for understanding and promoting health, and preventing poor health conditions. Study of personal responsibility on the long-term benefits of maintaining a high level of wellness and health. Identification and mitigation of negative lifestyle habits.","Fall, Spring",https://catalog.iastate.edu/azcourses/h_s/
HS,1670X,The Science of Health Behavior Change,3.,Lecture 3.,,,,,"A theory- and evidence-based approach to the understanding of health behavior change. Practical approaches to promote introspection, increase self-awareness, motivation, confidence, and alignment between lifestyle and personal values. Meets U.S. Cultures and Communities Requirement.",Summer,https://catalog.iastate.edu/azcourses/h_s/
HS,2750,Health Education in the Elementary School,3.,Lecture 3.,,,,HDFS 1020 or HDFS 2260 or PSYCH 2300,The application of instructional strategies related to health education and physical education for teachers at the elementary level. Graduation Restriction: Credit for both HS 2750 and 3750 may not be applied toward graduation.,"Fall, Spring",https://catalog.iastate.edu/azcourses/h_s/
HS,2850,Pre-Internship in Kinesiology and Health,1-2.,,,,,Department Permission for Course,Pre-internship experience with a health organization based on option. Offered on a satisfactory-fail basis only.,"Fall, Spring",https://catalog.iastate.edu/azcourses/h_s/
HS,2900,Independent Study,1.,,,,True,2nd semester Freshmen or Sophomore classification; Permission of Department,Study under supervision of faculty.,"Fall, Spring",https://catalog.iastate.edu/azcourses/h_s/
HS,3050,Instructor's First Aid and Cardiopulmonary Resuscitation,2.,,,,,HS 1050,"Discussion and practice of skills needed to teach CPR, AED, and first aid content related to the American Red Cross curriculum. Instructor candidates must possess valid certification for adult and pediatric CPR/AED/First Aid at beginning of course.","Fall, Spring",https://catalog.iastate.edu/azcourses/h_s/
HS,3100,Community and Public Health,3.,Lecture 3.,,,,HS 1100 ; Junior Classification or Above,"Introduction to community health problems, programs of prevention, environmental health agencies, and health services. Study of local, state, and national community health agencies, their purposes and functions.","Fall, Spring",https://catalog.iastate.edu/azcourses/h_s/
HS,3500,Human Diseases,3.,Lecture 3.,,,,[Junior Classification OR Above] AND HS 1100 AND [( BIOL 2550 and BIOL 2560 ) OR BIOL 1550 ],"Discussion of disease process and ill-health in the twentieth century. Emphasis on epidemiology, prevention, treatment, and the understanding of the etiology of communicable and noncommunicable diseases.","Fall, Spring",https://catalog.iastate.edu/azcourses/h_s/
HS,3750,Teaching-Learning Process in Health Education,3.,Lecture 3.,,,,HS 1050 ; HS 1100,"Principles, methods, materials, and resources involved in the teaching of health. Includes organization and development of the health education curriculum (K-12). Graduation Restriction: Credit for both HS 2750 and 3750 may not be applied toward graduation.",Fall,https://catalog.iastate.edu/azcourses/h_s/
HS,3800,Worksite Health Promotion,3.,Lecture 3.,,,,KIN 2580,The design and implementation of worksite health promotion programs and the benefits these programs have for both employees and employers. Review of various health risk appraisals and planning theory-based incentive programs designed to promote positive lifestyles.,Spring,https://catalog.iastate.edu/azcourses/h_s/
