subject_code,course_number,title_name,credits,contact_hours,cross_listed,dual_listed,repeatable,prerequisites,description,typically_offered,source_url
HSPM,1010,Introduction to the Hospitality Industry,3.,Lecture 3.,,,,,"Introduction to the foodservice, lodging, and tourism components of the hospitality industry. Background information, current issues, and future challenges in various segments of the industry.","Fall, Spring",https://catalog.iastate.edu/azcourses/hsp_m/
HSPM,1330,Food Safety Certification,1.,Lecture 1.,,,,,"Introduction to safety and sanitation principles in foodservice operations. Characteristics of food, supplies, and equipment as related to quality, sanitation, and safety are discussed. Application of sanitation principles in restaurants are covered as well. Students must pass a National Sanitation Certification Examination to receive credit. Offered on a satisfactory-fail basis only.","Fall, Spring",https://catalog.iastate.edu/azcourses/hsp_m/
HSPM,2010,Casino Management I,3.,Lecture 3.,,,,,"An overview of the casino gaming industry. Emphasis will be placed on examination of the history and development of gaming, casino operations, casino games, marketing of the core gaming products, and social and economic impacts of the gaming industry.",Fall,https://catalog.iastate.edu/azcourses/hsp_m/
HSPM,2250,Introduction to Food Service Operations,3.,Lecture 3.,,,,,"Introduction to food service operations within the hospitality and event industry. Management concepts, distinct features, sustainability, current issues, and trends.",Spring,https://catalog.iastate.edu/azcourses/hsp_m/
HSPM,2300,Introduction to Hospitality Performance Analysis,3.,Lecture 3.,,,,,"Introduction to Uniform Systems of Accounts for hospitality industry, profitability, income statements, budgeting, managing cash, accounts receivable and payable, costs control, pricing, and evaluation related to restaurant, lodging, and club industry. Preparation for a hospitality accounting certification exam.","Fall, Spring",https://catalog.iastate.edu/azcourses/hsp_m/
HSPM,2330,Hospitality Sanitation and Safety,3.,Lecture 3.,,,,,Sanitation and safety principles in hospitality operations. Issues impacting consumers and operators.,"Fall, Spring",https://catalog.iastate.edu/azcourses/hsp_m/
HSPM,2480,Introduction to Senior Living Management,3.,Lecture 3.,,,,,"Survey course provides a comprehensive overview of the history, current issues, and future trends of the senior living industry. Basics about major aspects of senior living management.",Fall,https://catalog.iastate.edu/azcourses/hsp_m/
HSPM,2600,Global Tourism Management,3.,Lecture 3.,,,,,"Overview of the global tourism industry: hospitality and related services, destination/ attractions, tourist behaviors, and destination marketing. Introduction to destination mix, socio-economic and cultural impacts of tourism, destination organizations, tourist motivations, destination image, marketing, promotions, tourism distribution system, and the future of tourism. Meets International Perspectives Requirement.","Fall, Spring",https://catalog.iastate.edu/azcourses/hsp_m/
HSPM,2800,Non-Alcoholic Beverages and Cafe Operations,3.,Lecture 3.,,,,,"Advanced knowledge, preparation, and service of non-alcoholic beverages applied for cafe operations.","Fall, Spring",https://catalog.iastate.edu/azcourses/hsp_m/
HSPM,2890,Contemporary Club Management,3.,Lecture 3.,,,,HSPM 1010,"Organization and management of private clubs including city, country, and other recreational and social clubs. Field trip may be required.",Spring,https://catalog.iastate.edu/azcourses/hsp_m/
