subject_code,course_number,title_name,credits,contact_hours,cross_listed,dual_listed,repeatable,prerequisites,description,typically_offered,source_url
IALL,1010,"Earth, Air, and Sky",1-4.,,,,,,"Essentials of earth science, including astronomy, meteorology, geology, and paleontology; includes laboratory and fieldwork. Offered irregularly.",Summer,https://catalog.iastate.edu/azcourses/ia_ll/
IALL,1030,Natural History Workshop,1-2.,,,,True,,"Offered as demand warrants. Five-day-long, nontechnical introductions to a specific aspect of the natural history of the Upper Midwest or techniques for studying natural history.",Summer,https://catalog.iastate.edu/azcourses/ia_ll/
IALL,1040,Field Archaeology,3-4.,,,,,,Nature of cultural and environmental evidence in archaeology and how they are used to model past human behavior and land use; emphasis on Iowa prehistory; basic reconnaissance surveying and excavation techniques. Offered irregularly.,Summer,https://catalog.iastate.edu/azcourses/ia_ll/
IALL,1045,Illustrating Nature II Photography,1-2.,,,,,,Beginning to intermediate technical and compositional aspects of color photography of natural areas and their plants and animals. Offered irregularly.,Summer,https://catalog.iastate.edu/azcourses/ia_ll/
IALL,3034B,Topics in Ecology and Sustainability: Lichen Diversity,1-4.,,,,True,,"Scientific introduction at intermediate level to ecology and evolution of important groups of organisms: algae to vertebrates, different ecological phenomena (e.g., fire and climate change), varying landforms, different ecosystems (e.g., prairies and aquatic systems); emphasis on sustainability with introduction to concepts, issues, and practices; ability to communicate environmental information through a variety of means. Requirements: one general biology course. Offered irregularly.",Summer,https://catalog.iastate.edu/azcourses/ia_ll/
IALL,3034D,Topics in Ecology and Sustainability: Biology Illustration,1-4.,,,,True,,"Scientific introduction at intermediate level to ecology and evolution of important groups of organisms: algae to vertebrates, different ecological phenomena (e.g., fire and climate change), varying landforms, different ecosystems (e.g., prairies and aquatic systems); emphasis on sustainability with introduction to concepts, issues, and practices; ability to communicate environmental information through a variety of means. Requirements: one general biology course. Offered irregularly.",Summer,https://catalog.iastate.edu/azcourses/ia_ll/
IALL,3034F,Topics in Ecology and Sustainability: Herpetology,1-4.,,,,True,,"Scientific introduction at intermediate level to ecology and evolution of important groups of organisms: algae to vertebrates, different ecological phenomena (e.g., fire and climate change), varying landforms, different ecosystems (e.g., prairies and aquatic systems); emphasis on sustainability with introduction to concepts, issues, and practices; ability to communicate environmental information through a variety of means. Requirements: one general biology course. Offered irregularly.",Summer,https://catalog.iastate.edu/azcourses/ia_ll/
IALL,3034G,Topics in Ecology and Sustainability: Ichthyology,1-4.,,,,True,,"Scientific introduction at intermediate level to ecology and evolution of important groups of organisms: algae to vertebrates, different ecological phenomena (e.g., fire and climate change), varying landforms, different ecosystems (e.g., prairies and aquatic systems); emphasis on sustainability with introduction to concepts, issues, and practices; ability to communicate environmental information through a variety of means. Requirements: one general biology course. Offered irregularly.",Summer,https://catalog.iastate.edu/azcourses/ia_ll/
IALL,3034J,Topics in Ecology and Sustainability: Environmental Nonfiction,2.,,,,,,Learn the ways scientists can better communicate discoveries and ideas. Learn the importance of identifying your audience and how you can adapt your writing based upon your understanding of those varying audiences.,Summer,https://catalog.iastate.edu/azcourses/ia_ll/
IALL,3034K,Topics in Ecology and Sustainability: Making Kin With(in) Place: Literature & Multispecies Kinship,3.,,,,,,"Exploration of what it means to build kin with a place, while in a place-specifically, Lake Okoboji and the grounds of the Lakeside Laboratory. Consideration of the human impact on our planet and the inherent demand issued by climate change to abandon anthropocentrism and fundamentally alter human relationships with our environments, places, and the species therein. After discussing the cultural and human dimensions of climate change, we will consider multispecies kinship systems and how to build meaningful relationships with place.",Summer,https://catalog.iastate.edu/azcourses/ia_ll/
IALL,3034M,Topics in Ecology and Sustainability: Introduction to Geographical Information Systems,2.,,,,,,"History, purpose, functionality and basic uses of geographical information systems (GIS) as a tool for demonstrating information in relation to locations on the earth and moments in time. While map data may often serve as the basis for using or understanding geographical information, more complex data and systems may be analyzed using GIS tools to grow understanding of geographical phenomena. For the sake of consistency, ArcGIS tools will be used to familiarize students with the basic application and function of GIS technology in relation to data.",Spring,https://catalog.iastate.edu/azcourses/ia_ll/
