subject_code,course_number,title_name,credits,contact_hours,cross_listed,dual_listed,repeatable,prerequisites,description,typically_offered,source_url
IE,1020,Industrial Engineering Profession,Required.,Lecture 1.,,,,,"Introduce students to the industrial engineering profession, its scope, industrial engineering tools, and future trends. Offered on a satisfactory-fail basis only.","Fall, Spring",https://catalog.iastate.edu/azcourses/i_e/
IE,1600,Information Engineering,3.,,,,,Credit or concurrent enrollment in MATH 1430,"Solving engineering problems with information-driven solutions. Effective communication via technical writing and presentations. Elements of computer science including the software development process, algorithm structure, computational thinking, and the human-computer interface. Database structure. Graduation Restriction: Only one of ENGR 1600 , ABE 1600 , AERE 1600 , BME 1600 , CE 1600 , CHE 1600 , CPRE 1850 , EE 1850 , IE 1480, ME 1600 , and SE 1850 may count towards graduation.","Fall, Spring",https://catalog.iastate.edu/azcourses/i_e/
IE,2220,Design & Analysis Methods for System Improvements,3.,Lecture 3.,,,,Credit or enrollment in IE 2710,"Study of system improvement methods and strategies. Specific areas of lean system improvements include continuous improvement, setup reduction, workplace organization, and inventory and waste reduction. Methods and strategies for productivity analysis to quantify the impact of changes.",Spring,https://catalog.iastate.edu/azcourses/i_e/
IE,2480,"Engineering System Design, Manufacturing Processes and Specifications",3.,"Lecture 2, Laboratory 2.",,,,( MATH 1660 or MATH 1660H ) AND ( PHYS 2310 or PHYS 2310H ) AND [Credit or concurrent enrollment in ( IE 1020 AND MATE 2730 )],"Introduction to metrology, engineering drawings and specifications. Engineering methods for designing and improving systems. Theory, applications, and quality issues related to machining processes.",Fall,https://catalog.iastate.edu/azcourses/i_e/
IE,2710,Applied Ergonomics and Work Design,3.,Lecture 3.,,,,PHYS 2310 and PHYS 2310L,"Basic concepts of human factors, ergonomics, and work design. Their impact on worker and work place productivity, and cost. Investigations of work physiology, biomechanics, anthropometry, work sampling, work evaluation methods, and their measurement as they relate to the design of human-machine systems.",Spring,https://catalog.iastate.edu/azcourses/i_e/
IE,3050,Engineering Economic Analysis,3.,Lecture 3.,,,,MATH 1660,"Economic analysis of engineering decisions under uncertainty. Financial engineering basics including time value of money, cash flow estimation, and asset evaluation. Make versus buy decisions. Comparison of project alternatives accounting for taxation, depreciation, inflation, and risk.","Fall, Spring, Summer",https://catalog.iastate.edu/azcourses/i_e/
IE,3120,Optimization,3.,Lecture 3.,,,,Credit or enrollment in MATH 2670,"Concepts, optimization and analysis techniques, and applications of operations research. Formulation of mathematical models for systems, concepts, and methods of improving search, linear programming and sensitivity analysis, network models, and integer programming.",Fall,https://catalog.iastate.edu/azcourses/i_e/
IE,3130X,Crisis Decision Making and Risk Management with Defense Applications,3.,Lecture 3.,,,,,"Focus on making good decisions and managing risk with a special emphasis on crisis situations and Navy and defense applications. Explore good techniques to structure a decision by thinking about the decision maker's preferences, alternatives, and information. Examine how to model and account for risk both in crisis and non-crisis situations. Students will also be exposed to the military decision making process as a structured way to analyze information, explore different alternatives, and make decisions. The application of risk management and decision making for crisis situations will emphasize how to think clearly and use analysis in time-pressured situations.",,https://catalog.iastate.edu/azcourses/i_e/
IE,3410,Production Systems,3.,Lecture 3.,,,,Credit or concurrent enrollment in IE 3120; STAT 2310,"Introduction of key concepts in the design and analysis of production systems in a sustainable and socially responsible manner. Topics include inventory control, forecasting, material requirement planning, Kanban systems, project planning and scheduling including Critical Path Method (CPM) and Program Evaluation Review Technique (PERT), operations scheduling, and other production systems such as Just-In-Time (JIT), warehousing, and global supply chains.",Fall,https://catalog.iastate.edu/azcourses/i_e/
IE,3480,Solidification Processes,3.,"Lecture 2, Laboratory 2.",,,,"IE 2480 and MATE 2730 , or MATE 2150","Theory and applications related to metal casting, welding, polymer processing, powder metallurgy, and composites manufacturing, and related rapid manufacturing processes.",Spring,https://catalog.iastate.edu/azcourses/i_e/
IE,3610,Statistical Quality Assurance,3.,Lecture 3.,,,,"STAT 2310 , STAT 3010 , STAT 3260 , or STAT 5101",Statistical methods for process improvement. Simple quality assurance principles and tools. Measurement system precision and accuracy assessment. Control charts. Process capability assessment. Experimental design and analysis for process improvement. Significant external project in process improvement.,"Fall, Spring",https://catalog.iastate.edu/azcourses/i_e/
IE,4030,Introduction to Sustainable Production Systems,3.,Lecture 3.,,,,Credit or enrollment IE 3410,Quantitative introduction of sustainability concepts in production planning and inventory control. Review of material recovery (recycling) and product/component recovery (remanufacturing) from productivity perspectives. Sustainability rubrics ranging from design and process to systems. Application to multi-echelon networks subject to forward/backward flow of material and information. Closed-loop supply chains. Comparative study of sustainable vs. traditional models for local and global production systems.,,https://catalog.iastate.edu/azcourses/i_e/
IE,4050,Advanced Engineering Economy for Complex Engineering Projects,3.,Lecture 3.,,,,"MATH 2650 , MATH 2670 , STAT 2310 and I E 3050","Overview of engineering economic valuation and complex engineering projects. Stochastic dynamic programming for project valuation. Modeling and analysis of confounding factors of engineering projects. Integration and synthesis of valuation methodologies to complex projects. Applications to power plants, transmission networks, and satellites.",,https://catalog.iastate.edu/azcourses/i_e/
IE,4130,"Stochastic Modeling, Analysis and Simulation",4.,"Lecture 3, Discussion 1.",,,,MATH 2650 and STAT 2310,"Development of probabilistic and simulation models using a simulation language. Introduction to Markov processes and other queuing models. Application to various areas of manufacturing and service systems such as assembly, material handling, and customer queues. Fitting of statistical distributions to data. Utilization of model output towards effective and efficient decision-making.",Fall,https://catalog.iastate.edu/azcourses/i_e/
IE,4200,Engineering Problem Solving with R,3.,Lecture 3.,,,,STAT 2310,"Introduction to data analytics using R programming language. Data manipulation. Exploratory data analysis via basic graphics. Basic statistical analysis including statistical tests and linear regression. R Markdown. Simulation by replicating a calculation. Conditional expressions, loops, and functions. High level data visualizations using ggplot graphics. Data extraction from text. Optimization via R build-in functions. Logistic regression. High performance computing tools. Project required for graduate credits.",Spring,https://catalog.iastate.edu/azcourses/i_e/
IE,4300,Entrepreneurial Product Engineering,3.,Lecture 3.,,,,Junior classification,"Process of innovative product development in both entrepreneurial and intra-preneurial settings. Define, prototype and validate a product concept based on competitive bench-marking, market positioning and customer requirement evaluation in a target market into a product design that is consistent with defined business goals and strategies. Combination of lecture, discussion, problem solving and case study review.","Fall, Spring",https://catalog.iastate.edu/azcourses/i_e/
IE,4320,Industrial Automation,3.,"Lecture 2, Laboratory 3.",,,,PHYS 2320 ; PHYS 2320L,"Overview of electrical circuit theory and its relationship to industrial control systems. Theory and application of transducers in the form of sensors and actuators, with applications in manufacturing, distribution and mechanical systems. Arduino and Programmable Logic Controllers (PLC), their programming and use for automation solutions. Introduction of automated identification systems such as Radio Frequency Identification (RFID) and Bar Coding technologies, and an introduction to industrial robotics. .",Fall,https://catalog.iastate.edu/azcourses/i_e/
