subject_code,course_number,title_name,credits,contact_hours,cross_listed,dual_listed,repeatable,prerequisites,description,typically_offered,source_url
INDD,2010,Industrial Design Studio I,6.,Studio 12.,,,,Industrial Design Undergraduate Majors,"This is the first studio in the program introducing students to the industrial design process by focusing on the fundamentals of problem solving, critical thinking, basic market research and subsequent idea generation, emphasizing on sketching, experimentation, model making, visual and physical communication, and presentation.",Fall,https://catalog.iastate.edu/azcourses/ind_d/
INDD,2020,Industrial Design Studio II,6.,Studio 12.,,,,Enrollment in INDD major; INDD 2010,"Through a series of exercises, the second studio in the program advances students' skills in sketching, modeling and visual, physical and communication skills required for industrial design practice. Students will be implementing the use of new technologies in digital drawing, computer aided design (CAD) and analog and digital fabrication.",Spring,https://catalog.iastate.edu/azcourses/ind_d/
INDD,2100,Fundamentals of Industrial Design,3.,Lecture 3.,,,,,"Introduction to the discipline of Industrial Design: its definition, scope and basic principles of the profession as a whole. Overview of technical, artistic and social context of the profession.",,https://catalog.iastate.edu/azcourses/ind_d/
INDD,2200,Concepts of Sketching and Making I,3.,,,,,,Introduction to basic tools and techniques used in different phases of the industrial design process. This course is the first in a series of two addressing key aspects of analog and digital communication tools and fundamentals of prototyping from different modes of sketching to physical sketch models.,,https://catalog.iastate.edu/azcourses/ind_d/
INDD,2400,Digital Tools For Industrial Design,3.,Lecture 3.,,,,,Introduction of digital applications and workflows through the lens specific to industrial design tasks and professional practices.,,https://catalog.iastate.edu/azcourses/ind_d/
INDD,2500,Activity-Centered Industrial Design,3.,Lecture 3.,,,,,"Introduction to design for complex and dynamic situations that include people, products, activities and environments. Emphasizes the relationship between internal and external factors that impact pleasure and performance in these systems. Includes an overview of human diversity and examines the role of the industrial designer in developing the artifacts of daily activity.",,https://catalog.iastate.edu/azcourses/ind_d/
INDD,2600,Design Engineering: From Thought to Thing,3.,Lecture 3.,,,,,"What is making, building, constructing, engineering and technology and their roles for industrial design? Investigation of making techniques, engineering methods and technological advancements through case studies of everyday objects. Exploration of questions about the impact of materials choice and technologies of fabrication. Modeling, prototyping capabilities, and constructing a par with the engineering realm. Application of construction methods to industrial design in an inclusive 'makers-lab' environment.",,https://catalog.iastate.edu/azcourses/ind_d/
INDD,2800,History of Industrial Design,3.,Lecture 3.,,,,,"Introduction to contemporary and historic factors influencing industrial design craft and practice. Discussion of social, political, cultural and technological context for industrial design.",,https://catalog.iastate.edu/azcourses/ind_d/
INDD,3010,Industrial Design Studio III,6.,Studio 12.,,,,Industrial Design Majors and INDD 2020,"Emphasis in a research-based refined design process. Hands-on experience in navigating technology, manufacturing processes, and market strategy while addressing environmental, societal, and consumer needs. Projects will focus on innovation, technical proficiency, and the production of high-quality design documentation to meet professional standards.",Fall,https://catalog.iastate.edu/azcourses/ind_d/
INDD,3020,Industrial Design Studio IV,6.,Studio 12.,,,,Industrial Design Undergraduate Majors and INDD 3010,Exploration of commercial factors in industrial design.Meets Industrial Design Experiential Learning Requirements.,,https://catalog.iastate.edu/azcourses/ind_d/
INDD,3200,Design Research Methods,3.,Lecture 3.,,,,,"Design Research Methods offers a comprehensive exploration of established industrial design research methodologies, theories, and practices. Through practical and academic training, student engage in observation, behavioral analysis, and the interpretation of user data to inform the development of innovative products.",,https://catalog.iastate.edu/azcourses/ind_d/
INDD,3300,Creative Thinking in Design,3.,Lecture 3.,,,,,"Human-centered design (HCD) methodology that integrates scientific principles and data analysis for solving complex design problems. Investigation of creative thinking strategies, facilitation techniques, and problem-solving processes. Emphasis on the cognitive science of creativity and its application in diverse design contexts.",,https://catalog.iastate.edu/azcourses/ind_d/
INDD,3400,Digital Design Technologies,3.,Studio 6.,,,,,Emphasis on computer-aided visualization techniques for 3D rendering and digital fabrication. Exploration and practice of several computer modeling applications as digitization tools for industrial design.,,https://catalog.iastate.edu/azcourses/ind_d/
INDD,3450X,Sketchnoting,1-3.,,,,,,Focus on student learning engagement and knowledge retention through visual note-taking. Introduction to sketchnoting as a creative and non-traditional visual note-taking methodology fostering active listening and synthesis. Learn to create visual libraries as they pertain to select subjects and practice visual notetaking through live lectures and study note development. Reflection sketchnotes will provide students an opportunity to discover their own learning progress and connections across courses.,Fall,https://catalog.iastate.edu/azcourses/ind_d/
INDD,3500,Applied Human Factors Lab,1.,Laboratory 2.,,,,,"Theory and application of human factors issues in the industrial design field, specifically their impact on the relationship of the user, the product, the product systems, and environment.",,https://catalog.iastate.edu/azcourses/ind_d/
INDD,3600,Materials and Processes for Industrial Design,3.,Lecture 3.,,,,,Introduction to materials and manufacturing methods for mass production and distribution of products including design for assembly and disassembly.,,https://catalog.iastate.edu/azcourses/ind_d/
INDD,3700,STEM literacy: How Things Work,3.,Lecture 3.,,,,,"Dismantling mysteries surrounding science and technology. Identifying key concepts from applied science, engineering and technology to obtain better understanding on how things work. Review and explanation of the principles behind the technologies that define our modern way of life. Common everyday technology such as building electronic gadgets, interface hardware with computers, writing applications, systems applications and making functional electronics units, are some of the examples illustrating scientific knowledge and applications.",,https://catalog.iastate.edu/azcourses/ind_d/
INDD,3800,History and Culture of Objects,3.,Lecture 3.,,,,,"Critical examination of meanings of objects from the perspectives of history, design, material culture, philosophy and cultural studies. Discussion of social, political, cultural and technological context for industrial design.",,https://catalog.iastate.edu/azcourses/ind_d/
INDD,3810X,Exploration of Design and Artisanship throughout Europe,2.,,,,True,,"Academic and cultural visits to major landmarks, production facilities, companies, museums in Germany, France, Belgium and the Netherlands that provide context for understanding more about the traditions and practice of design and craftsmanship.",Summer,https://catalog.iastate.edu/azcourses/ind_d/
INDD,3970,Industrial Design Internship,1-6.,,,,True,Enrollment in INDD major; INDD 2020 ; 18 credits in INDD; Permission of Instructor,"Professional industrial design, off-campus experience. Meets Industrial Design Experiential Learning Requirements.",,https://catalog.iastate.edu/azcourses/ind_d/
INDD,4010,Industrial Design Studio V: Commercial Practices,6.,Studio 12.,,,True,Industrial Design Undergraduate Majors and INDD 3010,Advanced topics focused on industrial design applications in commercial industries. Topics vary each time offered. Meets Industrial Design Experiential Learning Credits.,,https://catalog.iastate.edu/azcourses/ind_d/
INDD,4020,Industrial Design Studio: Design for Social Impact,6.,Studio 12.,,,True,Industrial Design Undergraduate Majors and INDD 3010,Advanced topics focused on industrial design applications in service-learning and community engagement projects. Topics vary each time offered.,"Fall, Spring, Summer",https://catalog.iastate.edu/azcourses/ind_d/
INDD,4200X,AI-Assisted User-Centered Industrial Design,3.,Lecture 3.,,,,,"User-centered concept generation using AI tools focuses on leveraging artificial intelligence to create ideas, products, or solutions tailored specifically to the needs, preferences, and pain points of the end users. The course will look at the existing industrial design process that utilizes behavioral research concepts to develop design insights, design interventions, and user testing strategies before creating a proposal that is economically viable, creates a better user experience, and addresses the core factors responsible for the issue at hand. The course focuses on the traditional industrial design process while utilizing cutting edge, AI-based tools.","Fall, Spring",https://catalog.iastate.edu/azcourses/ind_d/
INDD,4300X,The Science of Aesthetic Intelligence: Applying Principles to Industrial Design and Branding,3.,Lecture 3.,,,True,,"This course examines the critical role of aesthetic intelligence in creating human-centered products and brand identities. Exploration of the theory and practice of industrial design, focusing on how aesthetic elements can be strategically employed, evoke emotions, to differentiate brands, and drive consumer engagement. A series of lectures, workshops, self-reflections, and hands-on activities will develop a strong foundation in aesthetic intelligence and its application to industrial design. All aimed at creating visually compelling and emotionally resonant products that contribute to the success of brands.",Fall,https://catalog.iastate.edu/azcourses/ind_d/
INDD,4350,Strategic Design: Project Management,3.,Lecture 3.,,,,,"Review and development of executable strategies for entrepreneurial, commercial and business efforts. Focus on strategic thinking, economics of innovation, tactical approaches and effective measures in order to integrate a full cycle of product/service development. Advanced technical design processes, design management, decision-making and value proposition.",,https://catalog.iastate.edu/azcourses/ind_d/
INDD,4400,Portfolio and Professional Practice,3.,,,,,Industrial Design Undergraduate Majors and INDD 3010,"Discussion of industrial design practices, job market and career roadmap planning. Development and preparation of personal promotional materials for a range of media, including professional websites, personal brand, resumes, cover letters, business cards, print and/or digital portfolios.",,https://catalog.iastate.edu/azcourses/ind_d/
INDD,4450X,Concept to Spotlight: AI-Enhanced Digital Narratives,3.,Lecture 3.,,,,,This course covers advanced artificial intelligence tools and methodologies to design compelling stories about the solutions they have created in other classes/studios aimed at specific audiences to create an effective narrative. The course will utilize digital/social platforms to not only analyze the current trends but also create content.,Fall,https://catalog.iastate.edu/azcourses/ind_d/
INDD,4600,Product Realization,3.,Lecture 3.,,,,Industrial Design Majors and INDD 2020,"Advanced techniques of prototyping and model making for industrial design, using materials and manufacturing methods for product development. Exploration of the stages of design fabrication, systems-level implementation, testing, and constructing a par with the engineering realm. Use of typical prototyping materials, such as foam, wood, metal, plastic, plus new and emerging materials; CNC and 3D printing technologies will also be applied. Coupling the ""makers-lab"" movement with design entrepreneurship, development of advanced functional models and high-fidelity prototypes.",,https://catalog.iastate.edu/azcourses/ind_d/
INDD,4650,Textiles for Soft Goods,3.,Lecture 3.,,,True,,"Provides a foundational understanding of textiles from a material science and engineering perspective, focusing on their application in industrial soft goods. Instructional methodology includes theory, application-oriented projects focused on the manufacture, acquisition, and utilization of textiles for product development and industrial uses.",,https://catalog.iastate.edu/azcourses/ind_d/
INDD,4900A,"Special Topics: Theory, Criticism, Methodology",1-6.,,,,True,Instructor Permission for Course,"Advanced topics focused on theory, criticism, and methodologies in industrial design applications.","Fall, Spring, Summer",https://catalog.iastate.edu/azcourses/ind_d/
INDD,4900B,Special Topics: Experimental Techniques,1-6.,,,,True,Instructor Permission for Course,Advanced topics focused on industrial design applications. Topics vary each time offered.,"Fall, Spring, Summer",https://catalog.iastate.edu/azcourses/ind_d/
INDD,4900C,Special Topics: Three-Dimensional Design,1-6.,,,,True,Instructor Permission for Course,Advanced topics focused on distributed collaboration in industrial design applications. Topics vary each time offered.,"Fall, Spring, Summer",https://catalog.iastate.edu/azcourses/ind_d/
INDD,4900D,Special Topics: Distributed Collaboration,1-6.,,,,True,Instructor Permission for Course,Advanced topics focused on distributed collaboration in industrial design applications. Topics vary each time offered.,"Fall, Spring, Summer",https://catalog.iastate.edu/azcourses/ind_d/
INDD,4900H,Honors Independent Study,1-6.,,,,True,Membership in the University Honors Program,Independent investigation.,"Fall, Spring",https://catalog.iastate.edu/azcourses/ind_d/
INDD,4930X,Experiential Projects in Industrial Design,1-12.,Studio 24.,,,True,Industrial Design Undergraduate major or Permission of Instructor,"Project-based topics related to user-based design, design with various internal and external stakeholders, experimental learning, three dimensional design, distributed collaboration that supports experiential learning.","Fall, Spring, Summer",https://catalog.iastate.edu/azcourses/ind_d/
INDD,4935X,Topics in Industrial Design,1-3.,Lecture 3.,,,True,,"Advanced topics focused on industrial design applications. Topics include theory, criticism, methodology, experimental techniques, and three dimensional design.","Fall, Spring, Summer, Winter Session",https://catalog.iastate.edu/azcourses/ind_d/
INDD,4950,Study Abroad Option,1-6.,Studio 12.,,,True,Enrollment in INDD major; INDD 2020 ; Permission of Instructor,"Special topics in Industrial Design, design history, environmental design, historic and contemporary practice. Travel to relevant countries. General cultural and historical studies, topical projects, and individual inquiry. Courses may be taught by departmental faculty or faculty from approved Iowa State Study Abroad programs. See current offerings for detailed syllabus. Meetings industrial design experiential credit requirements.","Fall, Spring, Summer",https://catalog.iastate.edu/azcourses/ind_d/
INDD,4990,Senior Project,6.,Studio 12.,,,,"Enrollment in INDD major; ( DSNS 5460 , INDD 4010 , INDD 3970 , or INDD 4950 ); Senior classification in INDD","In this capstone course, students will showcase their abilities as emerging design professionals. Drawing from their acquired skills and knowledge, they will undertake a research-driven, user-centered project aimed at creating innovative products or systems. Through the presentation of comprehensive documentation and prototypes, students will demonstrate the viability of their designs.",,https://catalog.iastate.edu/azcourses/ind_d/
INDD,5010,Industrial Design Graduate Studio I,6.,Studio 12.,,,,Graduate Standing or Permission of Instructor,"Fundamental concepts, design processes, and techniques for industrial design. Emphasis on project-based application of design models and procedures for form development, structure, function and communication.",,https://catalog.iastate.edu/azcourses/ind_d/
INDD,5020,Industrial Design Graduate Studio II,6.,Studio 12.,,,,Graduate Standing or Permission of Instructor,"Advanced project-based application of industrial design theories and techniques. Emphasis on service and systems design, and its implications for community and social innovation. Application of entrepreneurial factors and systematic design methodology of complex design problems and innovative solutions.",,https://catalog.iastate.edu/azcourses/ind_d/
INDD,5050,MInD Lab I,3.,"Lecture 1, Studio 4.",,,True,Graduate Standing or Permission of Instructor,"Workshop training sessions based on project-based themes of industrial design: weekly series of 'how-tos' and other practical demos regarding fundaments, concepts and techniques of Design. Offerings vary with each term; check with department for available sections. Course contact hours can range from (2-0) to (3-0) depending on number of credits.",,https://catalog.iastate.edu/azcourses/ind_d/
INDD,5070,Industrial Design Practicum,6.,Studio 12.,,,True,Graduate Standing or Permission of Instructor,Studio project focused on topics generated with external partners. Topics vary. Meets Industrial Design Experiential Learning Requirements.,,https://catalog.iastate.edu/azcourses/ind_d/
