subject_code,course_number,title_name,credits,contact_hours,cross_listed,dual_listed,repeatable,prerequisites,description,typically_offered,source_url
INTST,2350,Introduction to International Studies,3.,Lecture 3.,,,,,"Overview of international studies, emphasizing cultural, geographic, economic, and political characteristics of major world areas and nations. Meets International Perspectives Requirement.","Fall, Summer",https://catalog.iastate.edu/azcourses/intst/
INTST,2500,The World's Regions in a Global Context,3.,Lecture 3.,,,,,"Comparative study of the world's regions beyond North America (Africa, Asia, Europe, Latin America and the Caribbean, and the Middle East) within the context of globalization and regionalization. Framework for understanding how environmental, demographic, political and socio-cultural relationships in each region are affected by geographic connections. Exploration of how these relationships will shape future regional geographies. Meets International Perspectives Requirement.","Fall, Spring",https://catalog.iastate.edu/azcourses/intst/
INTST,2950,International Experience Abroad,1-8.,,,,True,,"Supervised instruction in an international setting, augmented by practical living experience. Meets International Perspectives Requirement.","Fall, Spring, Summer",https://catalog.iastate.edu/azcourses/intst/
INTST,3500,Topics in International Studies,2-4.,Lecture 4.,,,,,Exploration of key topics and themes in International Studies. Topics vary each time offered. Meets International Perspectives Requirement.,,https://catalog.iastate.edu/azcourses/intst/
INTST,3950A,Interdisciplinary Study Abroad: Pre-Departure Seminar,1.,Lecture 1.,,,True,,Multi-faceted exploration of a selected world region directed at developing a comprehensive understanding of a selected culture's role in contemporary society.,,https://catalog.iastate.edu/azcourses/intst/
INTST,3950B,Interdisciplinary Study Abroad: Humanities,1-4.,,,,True,,Multi-faceted exploration of a selected world region directed at developing a comprehensive understanding of a selected culture's role in contemporary society.,,https://catalog.iastate.edu/azcourses/intst/
INTST,3950C,Interdisciplinary Study Abroad: Communications,1-4.,,,,True,,Multi-faceted exploration of a selected world region directed at developing a comprehensive understanding of a selected culture's role in contemporary society.,,https://catalog.iastate.edu/azcourses/intst/
INTST,3950D,Interdisciplinary Study Abroad: Mathematics and Natural Science,1-4.,,,,True,,Multi-faceted exploration of a selected world region directed at developing a comprehensive understanding of a selected culture's role in contemporary society.,,https://catalog.iastate.edu/azcourses/intst/
INTST,3950E,Interdisciplinary Study Abroad: Social Sciences,1-4.,,,,True,,Multi-faceted exploration of a selected world region directed at developing a comprehensive understanding of a selected culture's role in contemporary society.,,https://catalog.iastate.edu/azcourses/intst/
INTST,4300,Seminar in International Studies,3.,Lecture 3.,,,,INTST 2350 ; Junior classification or higher,"Capstone seminar in international studies focused on economic development, women's issues, war and ethnic conflict, population, the environment, globalization, human rights, international trade and business and other issues. Students develop a project on a subject linked to their area of professional interest or academic specialization. Meets International Perspectives Requirement.",Spring,https://catalog.iastate.edu/azcourses/intst/
INTST,4900,Independent Study,1-3.,,,,True,Permission of Instructor; Permission of International Studies Director,Designed to meet the needs of students who wish to study in areas other than those in which courses are offered or to integrate areas of study appropriate to special problems with international foci. Graduation Restriction: No more than 3 credits of INTST 4900 may be used in the International Studies major or minor.,,https://catalog.iastate.edu/azcourses/intst/
INTST,4910,Experiences Abroad: Learning to Think Globally,1.,Lecture 1.,,,True,Minimum of 3 credits of study abroad and/or internship abroad,"Students returning from study abroad gain perspective on the personal, academic, and professional impact of their time spent abroad through readings and discussions. Students will be expected to make one presentation about the culture they experienced to an audience outside ISU. Offered on a satisfactory-fail basis only.",,https://catalog.iastate.edu/azcourses/intst/
