subject_code,course_number,title_name,credits,contact_hours,cross_listed,dual_listed,repeatable,prerequisites,description,typically_offered,source_url
KIN,1010,Swimming I,1.,Laboratory 3.,,,,,Basic course for nonswimmers. Emphasis on two fundamental strokes and personal water safety skills. Offered on a satisfactory-fail basis only.,"Fall, Spring",https://catalog.iastate.edu/azcourses/kin/
KIN,1020,Swimming II,1.,Laboratory 3.,,,,KIN 1010,Intermediate course. Emphasis on learning and improving five basic strokes and personal water safety skills. Offered on a satisfactory-fail basis only.,"Fall, Spring",https://catalog.iastate.edu/azcourses/kin/
KIN,1080,Aquatic Fitness,1.,Laboratory 3.,,,,KIN 1020 or Permission of Instructor,"Water related exercises, activities, and swimming workouts to improve physical fitness. Offered on a satisfactory-fail basis only.","Fall, Spring",https://catalog.iastate.edu/azcourses/kin/
KIN,1220,Badminton,1.,Laboratory 2.,,,,,Introduction to fundamental badminton skills and strategic game play. Offered on a satisfactory-fail basis only.,"Fall, Spring",https://catalog.iastate.edu/azcourses/kin/
KIN,1230X,Pickleball,1.,Laboratory 3.,,,,,Introduction to pickleball and strategic game play. . Offered on a satisfactory-fail basis only.,"Fall, Spring",https://catalog.iastate.edu/azcourses/kin/
KIN,1290,Bowling,1.,Laboratory 2.,,,,,Introduction to bowling skills and strategic game play. Offered on a satisfactory-fail basis only.,"Fall, Spring",https://catalog.iastate.edu/azcourses/kin/
KIN,1350,Golf,1.,Laboratory 2.,,,,,Introduction to fundamental golf skills and strategic game play. Offered on a satisfactory-fail basis only.,"Fall, Spring",https://catalog.iastate.edu/azcourses/kin/
KIN,1440,Racquetball,1.,Laboratory 2.,,,,,Introduction to fundamental racquetball skills and strategic game play. Offered on a satisfactory-fail basis only.,"Fall, Spring",https://catalog.iastate.edu/azcourses/kin/
KIN,1530,Ice Skating,1.,Laboratory 2.,,,,,Introduction to fundamental ice skating skills and strategic game play. Offered on a satisfactory-fail basis only.,"Fall, Spring",https://catalog.iastate.edu/azcourses/kin/
KIN,1580,Tennis,1.,Laboratory 2.,,,,,"Introduction to basic skills (forehand, backhand, service) and basic knowledge of game play. Offered on a satisfactory-fail basis only.","Fall, Spring",https://catalog.iastate.edu/azcourses/kin/
