subject_code,course_number,title_name,credits,contact_hours,cross_listed,dual_listed,repeatable,prerequisites,description,typically_offered,source_url
LA,2010,Studio: Landscape Interpretation and Representation,6.,Studio 12.,,,,Landscape Architecture professional program,"Reading and representing varied landscapes; development of aesthetic sensitivity to the geomorphology, vegetation, and cultural influences on these landscapes. Small-scale interventions and exploration of landscape phenomena and change. Emphasis on a variety of documentation and drawing techniques.",Fall,https://catalog.iastate.edu/azcourses/l_a/
LA,2020,Studio: Site Design I,6.,Studio 12.,,,,LA 2010,"Fundamental issues of landscape planning and design at a site scale. Projects introduce a variety of (objective and subjective) site inquiry methods, space and place making, and sensitive integration of architecture and landscape for specific land uses. User needs, precedent study, programming, site engineering, planting design, and outdoor space design expressed through a variety of three-dimensional modeling, graphic, and written media.",Spring,https://catalog.iastate.edu/azcourses/l_a/
LA,2110,Digital Design Methods for Landscape Architecture,3.,Lecture 3.,,,,,"Foundational knowledge and basic skills in 2D, 3D, and 4D computer applications used for design development and communication, with emphasis on 3D modeling and workflow interoperability.",Spring,https://catalog.iastate.edu/azcourses/l_a/
LA,2210,Native Plants of the Savanna Ecotone,3.,"Lecture 2, Laboratory 3.",,,,Landscape Architecture professional program,"Observation and study of the wetland, prairie, and woodland vegetation native to the savanna ecotone. Emphasis on plant communities, their distribution, structure, habitat and aesthetics. Plant identification and use in landscape design. Precedent and case studies of vegetation preservation, restoration and use in built works.",Fall,https://catalog.iastate.edu/azcourses/l_a/
LA,2220,Introduced Plants of the Midwest,3.,"Lecture 2, Studio 3.",,,,LA 2210,"Identification, observation, and study of plants introduced to cultivation in the Midwest region. Plant cultural requirements, including adaptations to climate changes, solar exposure, and soil conditions. Investigation of history of plant introduction and use in designed landscape, including consequent impacts of plant introduction such as plant invasion. Introduction to planting design at the site scale, including matching plant cultural requirements to site conditions, functional uses of plants and expressive composition using plant form, texture and color.",Spring,https://catalog.iastate.edu/azcourses/l_a/
LA,2410,Developing Identity as a Landscape Architect,1.,Lecture 1.,,,,Landscape Architecture professional program,"Development of life skills for conflict resolution, effective interpersonal communication, and CPR/First Aid. Examination of personal values as they relate to the backgrounds, abilities, attitudes, and values of others; exploration of how these influence personal decision-making and group interaction. Reading, discussion, class activities, journal-keeping, writing. Offered on a satisfactory-fail basis only.",Fall,https://catalog.iastate.edu/azcourses/l_a/
LA,2700,Foundations in Natural Resource Policy and History,3.,Lecture 3.,,,,,"The development of natural resource conservation philosophy and policy from the Colonial Era to the present. North American wildlife, forestry, and environmental policy; national parks and other protected lands; federal and state agencies. Relationship to cultural contexts, including urban reform and American planning movement. Discussion of common pool resources, public and private lands.",Fall,https://catalog.iastate.edu/azcourses/l_a/
LA,2720,Landscape Studies,3.,Lecture 3.,,,,Landscape Architecture professional program,"Exploration of landscapes, from broad settlement patterns to individual sites. Investigation of relationships between vernacular and designed landscapes. Landscapes considered as modes of cultural production that shape and are shaped by social, political, and economic processes. Lectures, reading, field studies, and writing. Meets U.S. Cultures and Communities Requirement.",Fall,https://catalog.iastate.edu/azcourses/l_a/
LA,2810,"Investigating Landscape Form, Process, and Detail",3.,"Lecture 1, Laboratory 6.",,,,Landscape Architecture professional program,"Exploration of the poetics and principles of landscape construction. Investigation and interpretation of landform and geomorphic processes such as the hydrologic cycle, erosion, and sedimentation. Close observation and representation of detail design, with an emphasis on material types, their connections, and weathering. Readings, field studies, and drawings in analog and digital media.",Fall,https://catalog.iastate.edu/azcourses/l_a/
LA,3010,Site Design II,6.,Studio 12.,,,,LA 2020,"Iterative development of half-acre to hundred-acre landscape design and planning proposals. Assess and interpret a program of use, organize subjective and objective site inventory and analysis, and develop functional and poetic conceptual design strategies. Development of high-quality verbal and graphic skills to support design process and iteration.",Fall,https://catalog.iastate.edu/azcourses/l_a/
