subject_code,course_number,title_name,credits,contact_hours,cross_listed,dual_listed,repeatable,prerequisites,description,typically_offered,source_url
LAS,1010,Orientation,1.,Lecture 1.,,,,Major in the College of Liberal Arts and Sciences (LAS),"For first-year LAS students. Introduction to university policies and deadlines, campus resources and services, academic success strategies, degree planning, and registration procedures. Assists with a successful academic transition to the university. Introduction to career resources. . Offered on a satisfactory-fail basis only.",Fall,https://catalog.iastate.edu/azcourses/las/
LAS,1030A,Frontiers of Research: General,1.,Lecture 1.,,,True,,"Introduction to ""cutting edge"" research activities of faculty members. Graduation Restriction: A maximum of three total credits of LAS 1030A , 1030B, 1030C, 1030D, 1030E can count for graduation. Offered on a satisfactory-fail basis only.",,https://catalog.iastate.edu/azcourses/las/
LAS,1030B,Frontiers of Research: Humanities,1.,Lecture 1.,,,True,,"Introduction to ""cutting edge"" research activities of faculty members. Graduation Restriction: A maximum of three total credits of LAS 1030A , 1030B, 1030C, 1030D, 1030E can count for graduation. Offered on a satisfactory-fail basis only.",,https://catalog.iastate.edu/azcourses/las/
LAS,1030C,Frontiers of Research: Communication,1.,Lecture 1.,,,True,,"Introduction to ""cutting edge"" research activities of faculty members. Graduation Restriction: A maximum of three total credits of LAS 1030A , 1030B, 1030C, 1030D, 1030E can count for graduation. Offered on a satisfactory-fail basis only.",,https://catalog.iastate.edu/azcourses/las/
LAS,1030D,Frontiers of Research: Mathematics and Natural Sciences,1.,Lecture 1.,,,True,,"Introduction to ""cutting edge"" research activities of faculty members. Graduation Restriction: A maximum of three total credits of LAS 1030A , 1030B, 1030C, 1030D, 1030E can count for graduation. Offered on a satisfactory-fail basis only.",,https://catalog.iastate.edu/azcourses/las/
LAS,1030E,Frontiers of Research: Social Sciences,1.,Lecture 1.,,,True,,"Introduction to ""cutting edge"" research activities of faculty members. Graduation Restriction: A maximum of three total credits of LAS 1030A , 1030B, 1030C, 1030D, 1030E can count for graduation. Offered on a satisfactory-fail basis only.",,https://catalog.iastate.edu/azcourses/las/
LAS,1050,BOLD Learning Community Orientation,1.,Lecture 1.,,,,,"Orientation to the university for BOLD Learning Community students. Support for academic, social, and leadership development. Opportunity to connect with campus and college resources, explore career opportunities and build group identity. Includes regular one-on-one mentoring with the Director of Student Leadership Initiatives and student leaders. Offered on a satisfactory-fail basis only.",Fall,https://catalog.iastate.edu/azcourses/las/
LAS,1060,BOLD Learning Community Seminar,1.,Lecture 1.,,,,,"Continued exploration of university services, academic, social, and leadership development for BOLD Learning Community students. Individual and group identity development. Includes regular one-on-one mentoring with the Director of Student Leadership Initiatives and student leaders. Students complete an assessed service-learning component. Offered on a satisfactory-fail basis only.",Spring,https://catalog.iastate.edu/azcourses/las/
LAS,1250A,Special Topics: General,1.,Lecture 1.,,,,Freshman Classification,Non-disciplinary-specific special topics. Offered on a satisfactory-fail basis only.,,https://catalog.iastate.edu/azcourses/las/
LAS,1250B,Special Topics: Humanities,1.,Lecture 1.,,,,Freshman Classification,Humanities special topics. Offered on a satisfactory-fail basis only.,,https://catalog.iastate.edu/azcourses/las/
LAS,1250C,Special Topics: Communication,1.,Lecture 1.,,,,Freshman Classification,Communication special topics. Offered on a satisfactory-fail basis only.,,https://catalog.iastate.edu/azcourses/las/
LAS,1250D,Special Topics: Mathematics and Natural Sciences,1.,Lecture 1.,,,,Freshman Classification,Special topics in mathematics and natural sciences. Offered on a satisfactory-fail basis only.,,https://catalog.iastate.edu/azcourses/las/
LAS,1250E,Special Topics: Social Sciences,1.,Lecture 1.,,,,Freshman Classification,Special topics in social science. Offered on a satisfactory-fail basis only.,,https://catalog.iastate.edu/azcourses/las/
LAS,1510,Dean's Leadership Seminar I,1.,Lecture 1.,,,,College Registration Approver Permission for Course,"Beginning to study leadership through applied examples, including the importance of community, communication, trust, shared responsibility, modeling the way, and inspiring a shared vision. Students will be introduced to campus leadership opportunities. Selection based on application.",Fall,https://catalog.iastate.edu/azcourses/las/
LAS,1780X,American Civics,3.,Lecture 3.,,,,,Examination of people's rights and responsibilities in the context of the republican system of government in the United States. Reading original documents from the American founding to discern the founders’ intentions. Drawing upon Supreme Court decisions and writings from later thinkers to explore how interpretations of these documents have evolved. .,Spring,https://catalog.iastate.edu/azcourses/las/
LAS,2030,Professional Career Preparation,1.,Lecture 1.,,,,"Liberal Arts and Sciences Sophomores, Juniors, or Seniors","Overview of practical skills such as writing resumes and cover letters, implementing an internship or job search, interviewing, evaluating offers, professional etiquette, and networking. Exploration of resources and online professional tools. Offered on a satisfactory-fail basis only.","Fall, Spring, Summer",https://catalog.iastate.edu/azcourses/las/
LAS,2050,BOLD Learning Community Leadership in Practice,1.,,,,,,Second year experience for students in the BOLD Learning Community to support the retention of undergraduate students in the College of Liberal Arts and Sciences. Continued discussion on multicultural leadership practice in higher education. Students are provided with the opportunity to design and execute student-focused campus leadership projects. Includes regular one-on-one and group peer mentoring with the Director of Student Leadership Initiatives and student leaders.,Fall,https://catalog.iastate.edu/azcourses/las/
LAS,2060,BOLD Learning Community Leadership and Communication,1.,,,,,,"Second year experience for students in the BOLD Learning Community to support the retention of undergraduate students in the College of Liberal Arts and Sciences. The course expands on previous BOLD courses by examining leadership communication using a multicultural leadership perspective. Through a combination of guest lectures, group discussions, and interactive exercises, students will learn how to effectively communicate with and lead individuals from all backgrounds, as well as develop strategies for creating empowering environments where all students can flourish.",Spring,https://catalog.iastate.edu/azcourses/las/
LAS,2400,Pre-Law Seminar,1.,Lecture 1.,,,,,"Preparation for law school and careers in law. Introduction to the culture of law school, law school application process and admission criteria, strategies for Law School Admissions Test preparation, and how to finance a legal education. Offered on a satisfactory-fail basis only.",,https://catalog.iastate.edu/azcourses/las/
LAS,2450,STEM Scholars Seminar,1.,Lecture 1.,,,,,Introduction to the culture of science at a research university. Concepts and strategies supporting success in science courses and in career pathways in science. Offered on a satisfactory-fail basis only.,"Fall, Spring",https://catalog.iastate.edu/azcourses/las/
LAS,2900,Independent Study,1-3.,,,,True,College Registration Approver Permission for Course,"Independent work as appropriate to the student’s degree program. Academic work under faculty supervision may include written projects, presentations, reports, and guided readings.","Fall, Spring, Summer",https://catalog.iastate.edu/azcourses/las/
LAS,2910A,Service Learning: General,1-4.,,,,True,College Registration Approver Permission for Course,"Integration of meaningful service work with instruction and reflection. Academic work may include written projects, presentations, reports, and guided readings.","Fall, Spring, Summer",https://catalog.iastate.edu/azcourses/las/
LAS,2910B,Service Learning: U.S. Diversity Project,1-4.,,,,True,College Registration Approver Permission for Course,"Integration of meaningful service work with instruction and reflection with a US Diversity focus. Academic work may include written projects, presentations, reports, and guided readings.","Fall, Spring, Summer",https://catalog.iastate.edu/azcourses/las/
LAS,2910C,Service Learning: International Perspectives Project,1-4.,,,,True,College Registration Approver Permission for Course,"Integration of meaningful service work with instruction and reflection with an International Perspectives focus. Academic work may include written projects, presentations, reports, and guided readings. Meets International Perspectives Requirement.","Fall, Spring, Summer",https://catalog.iastate.edu/azcourses/las/
LAS,2930A,Special Projects: LAS Ambassadors,1-3.,,,,True,College Registration Approver Permission for Course,Offered on a satisfactory-fail basis only.,"Fall, Spring, Summer",https://catalog.iastate.edu/azcourses/las/
LAS,2930B,Special Projects: Advising Project,1-3.,,,,True,College Registration Approver Permission for Course,Offered on a satisfactory-fail basis only.,"Fall, Spring, Summer",https://catalog.iastate.edu/azcourses/las/
LAS,2930C,Special Projects: Career Services,1-3.,,,,True,College Registration Approver Permission for Course,Special Project supervised by LAS Career Services. Offered on a satisfactory-fail basis only.,"Fall, Spring, Summer",https://catalog.iastate.edu/azcourses/las/
LAS,2930D,Special Projects: General,1-3.,,,,True,College Registration Approver Permission for Course,Special project supervised by the College of Liberal Arts and Sciences. Offered on a satisfactory-fail basis only.,"Fall, Spring, Summer",https://catalog.iastate.edu/azcourses/las/
LAS,2980,Internship/Co-op,Required.,,,,True,,Students participating in an internship or co-op on a full-time or part-time basis must register for this course prior to beginning their work experience to remain in student status. Offered on a satisfactory-fail basis only.,"Fall, Spring, Summer",https://catalog.iastate.edu/azcourses/las/
LAS,3450,Innovation and Entrepreneurship I,1.,Lecture 1.,,,,Accepted into Start Something LAS Academy,"Introduction to the entrepreneurial mindset and key concepts related to innovation and entrepreneurship. Application of principles through case studies, group work and direct mentoring. Opportunities for experiential learning with LAS mentors, entrepreneurs, and alumni.",Fall,https://catalog.iastate.edu/azcourses/las/
