subject_code,course_number,title_name,credits,contact_hours,cross_listed,dual_listed,repeatable,prerequisites,description,typically_offered,source_url
LDST,1220,Leading with Purpose,1.,Lecture 1.,,,,,"Designed for emerging student leaders. Basic leadership skills covering personal skills development, goal achievement, values-based behaviors and mission statement development.","Fall, Spring",https://catalog.iastate.edu/azcourses/ld_st/
LDST,2230X,Read Like a Boss,3.,Lecture 3.,,,,,"Introduction to critical reading strategies used by highly successful people. Students will explore what, why, and how some of the most successful people read and consider the applications for their own academic, professional, and personal goals. .","Fall, Spring",https://catalog.iastate.edu/azcourses/ld_st/
LDST,2700,Campus Leadership Development,3.,Lecture 3.,,,,,Introduce effective leadership practices for emerging leaders. Engage in experiential campus leadership opportunities.,"Fall, Spring, Summer",https://catalog.iastate.edu/azcourses/ld_st/
LDST,2900,Independent Study,1-3.,,,,,Instructor Permission for Course,Independent study in leadership studies. Graduation Restriction: No more than 6 credits of LDST 2900 or LDST 4900 may count toward graduation.,"Fall, Spring, Summer",https://catalog.iastate.edu/azcourses/ld_st/
LDST,2910A,Leading Change: General,1-4.,"Discussion 2, Lecture 2.",,,True,,Understand leading change and analyzing social issues through meaningful experiential learning.,"Fall, Spring, Summer",https://catalog.iastate.edu/azcourses/ld_st/
LDST,2910B,Leading Change: U.S. Diversity,1-4.,Lecture 4.,,,True,,Understand leading change and analyzing social issues through meaningful experiential learning with a U.S. Diversity focus.,"Fall, Spring, Summer",https://catalog.iastate.edu/azcourses/ld_st/
LDST,2910C,Leading Change: International Perspectives,1-4.,Lecture 4.,,,True,,Understand leading change and analyzing social issues through meaningful experiential learning with an international perspectives focus. Meets International Perspectives Requirement.,"Fall, Spring, Summer",https://catalog.iastate.edu/azcourses/ld_st/
LDST,2930,Special Projects,1-3.,,,,,Instructor Permission for Course,Special projects for the Leadership Studies Program.,"Fall, Spring, Summer",https://catalog.iastate.edu/azcourses/ld_st/
LDST,3010,Leadership Theory and Practice,3.,Lecture 3.,,,,,Critical examination of historical and contemporary leadership theory. Apply leadership theory to practice.,"Fall, Spring, Summer",https://catalog.iastate.edu/azcourses/ld_st/
LDST,3220,Leadership in a Diverse Society,3.,Lecture 3.,,,,,"Experiential opportunity to understand, develop, and apply diversity-informed leadership practices. Meets U.S. Cultures and Communities Requirement.","Fall, Spring, Summer",https://catalog.iastate.edu/azcourses/ld_st/
LDST,3330,"Women, Gender, and Leadership",3.,Lecture 3.,,,,Sophomore classification,"An intersectional approach to understanding gender and leadership as it relates to women from various races, ethnicities, gender identities, sexual orientations and abilities. Meets U.S. Cultures and Communities Requirement.",,https://catalog.iastate.edu/azcourses/ld_st/
LDST,3600,Cultural Competency and Global Leadership,3.,Lecture 3.,,,,,Development of an intercultural mindset and leadership practice in international contexts. An analysis and development of global leadership capacities.,"Fall (irregularly), Spring (annually), Summer (annually). Meets International Perspectives Requirement",https://catalog.iastate.edu/azcourses/ld_st/
LDST,3700,Special Topics,1-3.,Lecture 3.,,,True,,"Seminar on special topics, research, or theory in leadership studies. Students must register for a different topic each time. Offered irregularly.","Fall, Spring, Summer",https://catalog.iastate.edu/azcourses/ld_st/
LDST,4220,Leadership Capstone Seminar: Theory to Practice,3.,Lecture 3.,,,,LDST 3010 or LDST 3220 or Permission of Instructor,"Analysis of adaptive leadership theory to inform practice, with emphasis on ethical leadership and creating change.",Spring,https://catalog.iastate.edu/azcourses/ld_st/
LDST,4900,Independent Study,1-3.,,,,True,Instructor Permission for Course,Independent study in leadership studies. Graduation Restriction: No more than 6 credits of LDST 2900 or LDST 4900 may count toward graduation.,"Fall, Spring, Summer",https://catalog.iastate.edu/azcourses/ld_st/
