subject_code,course_number,title_name,credits,contact_hours,cross_listed,dual_listed,repeatable,prerequisites,description,typically_offered,source_url
MATE,1010,Materials Science & Engineering Learning Community Seminar,Required.,Lecture 1.,,,,,Introduction to the Materials Science & Engineering Department and resources available to support student success. Offered on a satisfactory-fail basis only.,Fall,https://catalog.iastate.edu/azcourses/mat_e/
MATE,1700,"Numeric, Symbolic, and Graphical Methods for Materials Engineering",3.,,,,,ENGR 1600,"Introduction to computer-based problem solving techniques including data analysis, data visualization, and materials simulation using spreadsheet, array, and symbolic methods that are necessary for materials science. Introduction to 3D CAD with consideration for additive manufacturing techniques.",Spring,https://catalog.iastate.edu/azcourses/mat_e/
MATE,2140,Structural Characterization of Materials,3.,"Lecture 2, Laboratory 2.",,,,( MATE 2150 or MATE 2730 or MATE 3920 ); PHYS 2310,"Structural characterization of materials. Techniques include optical and electron microscopy, x-ray diffraction, and thermal analysis. Identification of materials type, microstructure, and crystal structure.","Fall, Spring",https://catalog.iastate.edu/azcourses/mat_e/
MATE,2150,Introduction to Materials Science and Engineering I,3.,Lecture 3.,,,,( CHEM 1670 or CHEM 1770 ); MATH 1650,"Introduction to the structure and properties of engineering materials. Structure of crystalline solids and imperfections. Atomic diffusion. Mechanical properties and failure of ductile and brittle materials. Dislocations and strengthening mechanisms. Phase equilibria, phase transformations, microstructure development, and heat treatment principles of common metallurgical systems including steels and aluminum alloys. Engineering applications. Graduation Restriction: Only one of MATE 2150 , MATE 2730 , or MATE 3920 may count toward graduation.","Fall, Spring",https://catalog.iastate.edu/azcourses/mat_e/
MATE,2150L,Introduction to Materials Science and Engineering I - Lab,1.,Laboratory 2.,,,,Credit or enrollment in MATE 2150 or MATE 2730 or MATE 3920,Materials Engineering majors only. Laboratory exercise in materials.,"Fall, Spring",https://catalog.iastate.edu/azcourses/mat_e/
MATE,2160,Introduction to Materials Science and Engineering II,3.,Lecture 3.,,,,"MATE 2150 , MATE 2730 or MATE 3920 ; credit or enrollment in PHYS 2320","Materials Engineering majors only. Fundamentals of ceramic, polymeric, and composite materials; electronic, thermal, magnetic, and optical properties of materials. Materials for energy, biomaterials, and nanomaterials.","Fall, Spring",https://catalog.iastate.edu/azcourses/mat_e/
MATE,2160L,Introduction to Materials Science and Engineering II - Lab,1.,Laboratory 2.,,,,Credit or enrollment in MATE 2160,Materials Engineering majors only. Laboratory exercise in materials.,"Fall, Spring",https://catalog.iastate.edu/azcourses/mat_e/
MATE,2200,Globalization and Sustainability,3.,Lecture 3.,,,,,"An introduction to understanding the key global issues in sustainability. Focuses on interconnected roles of energy, materials, human resources, economics, and technology in building and maintaining sustainable systems. Applications discussed will include challenges in both the developed and developing world and will examine the role of technology in a resource-constrained world. Graduation Restriction: Cannot be used for technical elective credit in any engineering department. Meets International Perspectives Requirement.","Fall, Spring",https://catalog.iastate.edu/azcourses/mat_e/
MATE,2730,Principles of Materials Science and Engineering,3.,Lecture 3.,,,,( CHEM 1670 or CHEM 1770 ); MATH 1650,"Introduction to the structure and properties of engineering materials. Structure of crystalline solids and imperfections. Atomic diffusion. Mechanical properties and failure of ductile and brittle materials. Dislocations and strengthening mechanisms. Phase equilibria, phase transformations, microstructure development, and heat treatment principles of common metallurgical systems including steels and aluminum alloys. Structure and mechanical properties of ceramic, polymeric and composite materials. Thermal properties of materials. Corrosion and degradation. Basic electronic properties of materials. Engineering applications. Graduation Restriction: Only one of MATE 2150 , MATE 2730 , or MATE 3920 may count toward graduation.","Fall, Spring",https://catalog.iastate.edu/azcourses/mat_e/
MATE,3010,Materials Engineering Professional Planning,Required.,Lecture 1.,,,,Sophomore classification and MATE majors only,"Preparation for a career in industry or advanced study in graduate school. Lectures and guest speakers discuss various topics, including: strategies to achieve academic and technical success; strategies for effective communication and teamwork; professional ethics, safety, and standards; entrepreneurial/intrapreneurial skills; resumes and interviewing; leadership and networking; and career pathways and graduate school opportunities. Offered on a satisfactory-fail basis only. Offered on a satisfactory-fail basis only.",Spring,https://catalog.iastate.edu/azcourses/mat_e/
MATE,3110,Thermodynamics in Materials Engineering,3.,Lecture 3.,,,,CHEM 1780 ; MATE 2150 or MATE 2730 or MATE 3920 ; and credit or enrollment in MATE 2160 and MATH 2670,"Basic laws of thermodynamics applied to phase stability, phase equilibria, transformations, and reactions in materials. Concepts of heat, work, energy, and entropy. Reversible and irreversible processes. Ideal and non-ideal behavior in single-component and multi-component systems. Interpretation of unary, binary, and ternary phase diagrams. Methods for experimental measurement and computational modeling. Applications in materials design.",Fall,https://catalog.iastate.edu/azcourses/mat_e/
MATE,3140,Kinetics and Phase Equilibria in Materials,3.,Lecture 3.,,,,MATE 2140 ; MATE 2160 ; MATE 3110,"The energetics and kinetics of transformations in materials. Quantitative descriptions of materials state, stability, and time-dependent evolution of constitution and microstructure. Relationships between phenomenology, driving forces, mechanisms, and kinetics as tools for controlling material state and associated properties. Fundamental concepts of thermodynamics, diffusional transport, interfaces, and other heterogeneities - applied to various types of diffusional and diffusionless transformations in materials state. Methods for experimental measurement and computational modeling. Applications in process design.",Spring,https://catalog.iastate.edu/azcourses/mat_e/
MATE,3170,Introduction to Electronic Properties of Materials,3.,Lecture 3.,,,,MATE 2160 ; PHYS 2320,Materials Engineering majors only. Introduction to electronic properties of materials and their practical applications. Classical conduction models and electronic properties of metallic and ceramic materials. Elementary quantum mechanics and band theory of electron states in solids. Quantum theory of metallic conduction. Elementary semiconductor theory and devices. Polarization and dielectric properties of materials.,Fall,https://catalog.iastate.edu/azcourses/mat_e/
MATE,3190,Mechanics of Structures and Materials,3.,Lecture 3.,,,,PHYS 2310 ; credit or concurrent enrollment in MATH 1660,Fundamentals of engineering mechanics as applied to materials. Forces and moments; stresses in loaded bodies; elasticity and stress analysis including stress / strain relationships. Graduation Restriction: Only one of MATE 3190 or EM 3240 may be used for graduation requirements.,Spring,https://catalog.iastate.edu/azcourses/mat_e/
MATE,3210,Introduction to Ceramic Science,3.,Lecture 3.,,,,MATE 2160,"Ceramic crystal structures, defects, diffusion and transport. Phase equilibria and microstructures. Thermal, electronic, optical and magnetic properties of ceramics.",Fall,https://catalog.iastate.edu/azcourses/mat_e/
MATE,3220,Introduction to Ceramic Processing,3.,"Lecture 2, Laboratory 3.",,,,MATE 3210,"Synthesis and characterization of ceramic powders. Colloidal phenomena, rheology of suspensions, ceramic forming methods, and drying. High temperature ceramic reactions, liquid and solid-state sintering, grain growth, microstructure development. Processing/microstructure/property relationships.",Spring,https://catalog.iastate.edu/azcourses/mat_e/
MATE,3320,Semiconductor Materials and Devices,3.,Lecture 3.,,,,CPRE and EE majors; EE 2300 OR MATE majors and MATE 3170,"Introduction to semiconductor material and device physics. Quantum mechanics and band theory of semiconductors. Charge carrier distributions, generation/recombination, transport properties. Physical and electrical properties and fabrication of semiconductor devices such as MOSFETs, bipolar transistors, laser diodes and LED's.",Spring,https://catalog.iastate.edu/azcourses/mat_e/
