subject_code,course_number,title_name,credits,contact_hours,cross_listed,dual_listed,repeatable,prerequisites,description,typically_offered,source_url
MATH,1010,Orientation in Mathematics,1.,Lecture 1.,,,,,"A required orientation for all first-year and transfer students in mathematics. Provides information about campus resources and opportunities available to students, assists with transition to the University, and academic planning. Offered on a satisfactory/fail basis only. Offered on a satisfactory-fail basis only.",Fall,https://catalog.iastate.edu/azcourses/math/
MATH,1040,Introduction to Probability,3.,Lecture 3.,,,,Satisfactory math placement test score (ALEKS 15+),"Permutations, combinations, probability, expected value, and applications. Satisfactory placement scores can be found at https://math.iastate.edu/academics/undergraduate/aleks/placement/.","Fall, Spring, Summer",https://catalog.iastate.edu/azcourses/math/
MATH,1050,Introduction to Mathematical Ideas,3.,Lecture 3.,,,,Satisfactory math placement test score (ALEKS 15+),"Introduction to the use of basic mathematics to solve real-world problems in the areas of voting issues, measuring power in situations where people have different numbers of votes, apportionment, fair division, and elementary game theory. No prior background in politics or history is necessary for this course. Satisfactory placement scores can be found at https://math.iastate.edu/academics/undergraduate/aleks/placement/.","Fall, Spring, Summer",https://catalog.iastate.edu/azcourses/math/
MATH,1390,College Algebra Supplement,1.,Lecture 1.,,,,Satisfactory math placement test score (ALEKS 15+),Math concepts to provide supplemental assistance with course topics of MATH 1400 . Satisfactory placement scores can be found at https://math.iastate.edu/academics/undergraduate/aleks/placement/. Offered on a satisfactory-fail basis only.,"Fall, Spring",https://catalog.iastate.edu/azcourses/math/
MATH,1400,College Algebra,3.,"Lecture 2, Discussion 1.",,,,"Satisfactory math placement test score (ALEKS, 39+) or (concurrent enrollment in MATH 1390 and ALEKS 15+)","Coordinate geometry, quadratic and polynomial equations, functions, graphing, rational functions, exponential and logarithmic functions, inverse functions, quadratic inequalities, systems of linear equations. Satisfactory placement scores can be found at https://math.iastate.edu/academics/undergraduate/aleks/placement/Credits earned in MATH 1400 cannot be applied toward graduation by Math majors.","Fall, Spring, Summer",https://catalog.iastate.edu/azcourses/math/
MATH,1430,Preparation for Calculus,4.,"Lecture 2, Discussion 2.",,,,Satisfactory performance on placement assessment or MATH 1400,"Preparation for MATH 1600 or MATH 1650 . Functions, graphing, basic trigonometry, logarithms, exponentials. Emphasis on co-variational reasoning. Satisfactory placement scores can be found at https://math.iastate.edu/academics/undergraduate/aleks/placement/. Graduation Restriction: Only one of MATH 1430 and MATH 1450 may count toward graduation.","Fall, Spring",https://catalog.iastate.edu/azcourses/math/
MATH,1450,Applied Trigonometry,3.,"Lecture 2, Discussion 1.",,,,Satisfactory performance on placement assessment or MATH 1400,"Mathematical ideas regarding the conception of space. General trigonometry, with an emphasis on the calculation of lengths, areas, and angles. The Law of Sines and the Law of Cosines. Polar, cylindrical, and spherical coordinate systems. Conic sections and quadric surfaces. Satisfactory placement scores can be found at https://math.iastate.edu/academics/undergraduate/aleks/placement/. Graduation Restriction: Only one of MATH 1430 and MATH 1450 may count toward graduation.","Fall, Spring",https://catalog.iastate.edu/azcourses/math/
MATH,1490,Discrete Mathematics for Business and Social Sciences Supplement,1.,Lecture 1.,,,,Satisfactory math placement test score (ALEKS 15+),Math concepts to provide supplemental assistance with course topics of MATH 1500 . Satisfactory placement scores can be found at https://math.iastate.edu/academics/undergraduate/aleks/placement/. Offered on a satisfactory-fail basis only.,"Fall, Spring",https://catalog.iastate.edu/azcourses/math/
MATH,1500,Discrete Mathematics for Business and Social Sciences,3.,Lecture 3.,,,,ALEKS 39+ OR (Concurrent enrollment in MATH 1490 AND ALEKS 15+),"Linear equations and inequalities, matrix algebra, linear programming, discrete probability. Satisfactory placement scores can be found at https://math.iastate.edu/academics/undergraduate/aleks/placement/.","Fall, Spring, Summer",https://catalog.iastate.edu/azcourses/math/
MATH,1510,Calculus for Business and Social Sciences,3.,"Lecture 2, Discussion 1.",,,,"Satisfactory math placement test score (ALEKS, 51+) OR MATH 1400","Differential calculus, applications to max-min problems, integral calculus and applications. Will not serve as prerequisite for MATH 2650 or MATH 2660 . Satisfactory placement scores can be found at https://math.iastate.edu/academics/undergraduate/aleks/placement/. Graduation Restriction: Only one of MATH 1510 , MATH 1600 , or the sequence MATH 1650 - MATH 1660 may be counted towards graduation. Credits Earned In MATH 1510 Cannot Be Applied Toward Graduation By Math Majors.","Fall, Spring, Summer",https://catalog.iastate.edu/azcourses/math/
MATH,1600,Survey of Calculus,4.,Lecture 4.,,,,Satisfactory performance on placement assessment or minimum of C- in ( MATH 1400 or MATH 1430 ),"Analytic geometry, derivatives and integrals of elementary functions, simple differential equations, and applications. Will not serve as a prerequisite for MATH 2650 or MATH 2660 . Satisfactory placement scores can be found at https://math.iastate.edu/academics/undergraduate/aleks/placement/. Graduation Restriction: Only one of MATH 1510 , MATH 1600 , or the sequence MATH 1650 - MATH 1660 may be counted towards graduation.","Fall, Spring",https://catalog.iastate.edu/azcourses/math/
MATH,1630X,Elements of Calculus,4.,Lecture 4.,,,,,"Preparation for MATH 1600 and MATH 1650 . Functions, graphing, basic trigonometry, logarithms, exponentials, limits, continuity, basics of differentiation. Graduation Restriction: Only one of MATH 1630 and MATH 1650 may count toward graduation. Also, only one of MATH 1430 and MATH 1630 may count toward graduation.",Fall,https://catalog.iastate.edu/azcourses/math/
MATH,1640X,Advanced Elements of Calculus,3.,Lecture 4.,,,,Credit or enrollment in MATH 1630X,"Advanced differentiation, applications of the derivative, introduction to integral calculus.Graduation Restriction: Only one of MATH 1510 or MATH 1600 or MATH 1640 or MATH 1650 may be counted towards graduation.",Spring,https://catalog.iastate.edu/azcourses/math/
MATH,1650,Calculus I,4.,"Lecture 3, Discussion 1.",,,,Minimum C- in MATH 1430 or satisfactory score on placement exam,"Differential calculus, applications of the derivative, introduction to integral calculus. Satisfactory placement scores can be found at https://math.iastate.edu/academics/undergraduate/aleks/placement/.Graduation Restriction: Only one of MATH 1510 , MATH 1600 , or the sequence MATH 1650 - MATH 1660 may be counted towards graduation.","Fall, Spring, Summer",https://catalog.iastate.edu/azcourses/math/
