subject_code,course_number,title_name,credits,contact_hours,cross_listed,dual_listed,repeatable,prerequisites,description,typically_offered,source_url
ME,1600,Mechanical Engineering Problem Solving with Computer Applications,3.,,,,,"Mechanical Engineering majors only. Credit or enrollment in MATH 1650 , MATH 1660 , MATH 2650 , or MATH 2670","Introduction to the field of Mechanical Engineering through problem-solving in a range of topics including statics, mechanics of materials and thermo-fluids. Techniques to professionally present and communicate solutions. Use of Python computer programming to aid problem solving, including curve fitting and graphing. Graduation Restriction: Only one of ENGR 1600 , ABE 1600 , AERE 1600 , CE 1600 , CHE 1600 , CPRE 1850 , EE 1850 , IE 1480, ME 1600 , and SE 1850 may count toward graduation.","Fall, Spring",https://catalog.iastate.edu/azcourses/m_e/
ME,1700,Engineering Graphics and Introductory Design,3.,,,,,Credit or concurrent enrollment in MATH 1430 or MATH 1450 or MATH 1650 (or satisfactory scores on mathematics placement assessments),"Integration of fundamental graphics, computer modeling, and engineering design. Applications of multiview drawings and dimensioning. Techniques for visualizing, analyzing, and communicating 3-D geometries. Application of the design process including written and oral reports. Freehand and computer methods. Satisfactory placement scores can be found at: https://math.iastate.edu/academics/undergraduate/aleks/placement/.","Fall, Spring",https://catalog.iastate.edu/azcourses/m_e/
ME,1900,Learning Communities,1.,Lecture 1.,,,True,,Enrollment in ME learning communities.,"Fall, Spring",https://catalog.iastate.edu/azcourses/m_e/
ME,2020,Mechanical Engineering - Professional Planning,Required.,Lecture 1.,,,,Sophomore Standing.,"Preparation for a career in mechanical engineering; discussion of opportunities for leadership, undergraduate research, experiential learning. Offered on a satisfactory-fail basis only.","Fall, Spring",https://catalog.iastate.edu/azcourses/m_e/
ME,2200,Globalization and Sustainability,3.,Lecture 3.,,,,,"An introduction to understanding the key global issues in sustainability. Focuses on interconnected roles of energy, materials, human resources, economics, and technology in building and maintaining sustainable systems. Applications discussed will include challenges in both the developed and developing world and will examine the role of technology in a resource-constrained world. Graduation Restriction: Cannot be used for technical elective credit in any engineering department. Meets International Perspectives Requirement.","Fall, Spring",https://catalog.iastate.edu/azcourses/m_e/
ME,2310,Engineering Thermodynamics I,3.,Lecture 3.,,,,CHEM 1670 ; MATH 1660 or MATH 1660H ; PHYS 2310 or PHYS 2310H ; PHYS 2310L,"Fundamental concepts based on zeroth, first and second laws of thermodynamics. Properties and processes for ideal gases and solid-liquid-vapor phases of pure substances. Applications to vapor power cycles.","Fall, Spring, Summer",https://catalog.iastate.edu/azcourses/m_e/
ME,2700,Introduction to Mechanical Engineering Design,3.,,,,,"ME 1600 or ( ABE 1600 , AERE 1600 , BME 1600 , CE 1600 , CHE 1600 , CPRE 1850 , EE 1850 , ENGR 1600 , IE 1600 , or SE 1850); ( ABE 1700 or ENGR 1700 or ME 1700); PHYS 2310 and PHYS 2310L",Overview of mechanical engineering design with applications to thermal and mechanical systems. Introduction to current design practices used in industry. Semester-long team project focused on addressing societal needs. Past projects include designing human powered charging systems and products for developing nations.,"Fall, Spring",https://catalog.iastate.edu/azcourses/m_e/
ME,2800,Design and Analysis of Cyber-Physical Systems,3.,Lecture 3.,,,,ENGR 1600 or equivalent; PHYS 2310,"Introduction to the basic concepts of cyber-physical systems (CPS); physical and cyber considerations and constraints for design, analysis, performance monitoring and control of human-engineered physical systems; basic concepts of sensing, information processing and feedback actuation. Substantial hands-on computer programming and project activity relevant to CPS applications.",Fall,https://catalog.iastate.edu/azcourses/m_e/
ME,3240,Manufacturing Engineering,3.,Lecture 3.,,,,ME 2700 OR [ ABE 2180 AND PHYS 2310 AND PHYS 2310L ]; EM 3240 ; MATE 2730 ; ME 3240L,"Fundamentals of manufacturing processes including forming, machining, casting and welding with emphasis on design considerations in manufacturing. Mechanical behavior of metallic materials. Modern manufacturing practices.","Fall, Spring, Summer",https://catalog.iastate.edu/azcourses/m_e/
ME,3240L,Manufacturing Engineering Laboratory,1.,Laboratory 2.,,,,ENGL 2500 ; MATE 2730 ; ME 2700,"Laboratory exercises in metrology, mechanical testing (tensile/compression and hardness tests), computer aided design (CAD), machining operations, metal welding, metal casting, and bulk/sheet metal forming.","Fall, Spring",https://catalog.iastate.edu/azcourses/m_e/
ME,3250,Mechanical Component Design,3.,Lecture 3.,,,,EM 3240 ; ME 1700 or ENGR 1700; STAT 3050,"Philosophy of design and design methodology. Consideration of stresses and failure models useful for static and fatigue loading. Analysis, selection and synthesis of machine elements.","Fall, Spring",https://catalog.iastate.edu/azcourses/m_e/
ME,3320,Engineering Thermodynamics II,3.,Lecture 3.,,,,ME 2310,"Gas power cycles. Fundamentals of gas mixtures, psychrometry, and thermochemistry. Applications to one-dimensional compressible flow, refrigeration, air conditioning and combustion processes.","Fall, Spring, Summer",https://catalog.iastate.edu/azcourses/m_e/
ME,3350,Fluid Flow,4.,"Lecture 3, Laboratory 2.",,,,MATH 2650 ; ( MATH 2660 or MATH 2670 ); (credit or concurrent enrollment in ME 3320); ME 3450,Incompressible and compressible fluid flow fundamentals. Dimensional analysis and similitude. Internal and external flow applications. Lab experiments emphasizing concepts in thermodynamics and fluid flow. Written reports are required.,"Fall, Spring, Summer",https://catalog.iastate.edu/azcourses/m_e/
ME,3450,Engineering Dynamics,3.,Lecture 3.,,,,CE 2740 AND (credit or concurrent enrollment in MATH 2660 or MATH 2670 ),"Particle and rigid body kinematics, Newton's laws of motion, kinetics of plane motion, rigid body problems using work-energy, linear, and angular impulse-momentum principles, vibrations.","Fall, Spring",https://catalog.iastate.edu/azcourses/m_e/
ME,3700,Engineering Measurements,3.,"Laboratory 2, Lecture 2.",,,,EE 4420 and STAT 3050,"Fundamentals of design, selection, and operation of components of measuring systems. Measurement processes, data acquisition systems, analysis of data, and propagation of measurement uncertainty.","Fall, Spring",https://catalog.iastate.edu/azcourses/m_e/
ME,3730,Science and Practice of Brewing,3.,"Lecture 1.5, Laboratory 4.5.",,,,"21 years of age and one course from this list: BIOL 2110 , BIOL 2120 , CHEM 167, CHEM 1770 , PHYS 2310 , PHYS 2320","Introduction to brewing science and technology. Understanding the role of malts, hops, water, and yeast in production of ale and lager beers. Unit operations in brewing. Health, safety, and environmental sustainability in alcohol production and consumption. Weekly laboratory in practical aspects of beer production.","Fall, Spring",https://catalog.iastate.edu/azcourses/m_e/
ME,4010,"Human Centered Design, Pre-Departure Course.",1.,Lecture 1.,,,,,A pre-departure course for ME 4020 . Safety and health issues while on site; travel logistics; required travel documents and deadlines; cultural norms. Offered irregularly. Offered on a satisfactory-fail basis only.,Spring,https://catalog.iastate.edu/azcourses/m_e/
ME,4020,Field Engineering: Human Centered Design Concepts.,3.,,,,,ME 4010,"Design methodology and field engineering principles for use in engineering problem solving in developing nations; application of principals will be on site. Awareness of culture, use of local artisans, crafts people and engineers will be emphasized for the purpose of ensuring sustainable and appropriate technology. Offered irregularly. Meets International Perspectives Requirement.",Summer,https://catalog.iastate.edu/azcourses/m_e/
ME,4100,Mechanical Engineering Applications of Mechatronics,3.,"Lecture 2, Laboratory 2.",,,,"EE 4420 , EE 4480 and Credit or concurrent enrollment in ME 4210","Fundamentals of sensor characterization, signal conditioning and motion control, coupled with concepts of embedded computer control. Digital and analog components used for interfacing with computer controlled systems. Mechanical system analysis combined with various control approaches. Focus on automation of hydraulic actuation processes. Laboratory experiences provide hands-on development of mechanical systems. Offered irregularly.",Spring,https://catalog.iastate.edu/azcourses/m_e/
ME,4110,Automatic Controls,3.,"Lecture 2, Laboratory 2.",,,,ME 3700 or (credit or concurrent enrollment in ME 4210),"Methods and principles of automatic control. Pneumatic, hydraulic, and electrical systems. Representative applications of automatic control systems. Mathematical analysis of control systems.",Fall,https://catalog.iastate.edu/azcourses/m_e/
ME,4120,Ethical Responsibilities of a Practicing Engineer,3.,Lecture 3.,,,,Credit or enrollment in ME 3250,"The study of ethics in engineering design and the engineering profession. A comprehensive look at when ethical decisions must be made and an approach to make them. The approach takes into account moral, legal, technical, experiential, and standards to aid in ethical decision making. Each area will be studied through lectures, debates, guest speakers, class discussion, and case studies.",Fall,https://catalog.iastate.edu/azcourses/m_e/
