subject_code,course_number,title_name,credits,contact_hours,cross_listed,dual_listed,repeatable,prerequisites,description,typically_offered,source_url
MICRO,1010,Microbial World,3.,Lecture 3.,,,,,"Introduction to the importance of viruses, bacteria, fungi, archaea and parasites both to humans and to the biosphere. Topics include past and present microbial impact on humans and society, ecology and diversity of microbes, biotechnology and microbial impact on the biosphere. Recommended: High School Biology.",Fall,https://catalog.iastate.edu/azcourses/micro/
MICRO,1100,Professional and Educational Preparation in Microbiology,1.,Lecture 1.,,,,,"An introduction to curriculum and research opportunities in microbiology at Iowa State. Topics include: easing the transition to life as a university student, development of specific goals, strengthening interpersonal communication, professional portfolio creation and resume building. Offered on a satisfactory-fail basis only.",Fall,https://catalog.iastate.edu/azcourses/micro/
MICRO,1150,Phage Discovery Lab,2.,,,,,,"An exploratory laboratory where students will purify phage from soil, visualize phage using electron microscopy and isolate genomic material for nucleic acid sequencing.",Fall,https://catalog.iastate.edu/azcourses/micro/
MICRO,1160,Phage Genome Annotation Lab,2.,Laboratory 4.,,,,,An experiential microbiology laboratory where students learn to annotate and submit a complete phage genome. MICRO 1150 recommended.,Spring,https://catalog.iastate.edu/azcourses/micro/
MICRO,2010,Introduction to Microbiology,2.,Lecture 2.,,,,"One BIOL course except BIOL 1100 , BIOL 1110 , BIOL 1120 , BIOL 1730 , BIOL 2010 , BIOL 3070","Selected topics in microbiology with emphasis on the relationship of microorganisms to human and animal health, agricultural technology, and the environment. With written petition to the chair of the supervisory committee, students who obtain a grade of B or better may substitute 2010 for MICRO 3020 in advanced courses.","Fall, Spring",https://catalog.iastate.edu/azcourses/micro/
MICRO,2010L,Introductory Microbiology Laboratory,1.,Laboratory 3.,,,,Credit or concurrent enrollment in MICRO 2010 or MICRO 3020,"Basic microbiology laboratory techniques for non-microbiology majors. Graduation Restriction: Credit for either MICRO 2010L or 3020L, but not both, may be applied toward graduation.","Fall, Spring",https://catalog.iastate.edu/azcourses/micro/
MICRO,2650,Predicting the Next Epidemic: Living in a One Health World,2.,"Lecture 2, Discussion 2.",,,,,"8 week course. “One Health” concept as a relatively new approach to disease control, sustainability, and the consequences of environmental disruption. Interconnectedness of human, animal, and environmental health. Importance of scientists communicating with the general public about One Health topics, such as habitat loss, agricultural practices, and the spread of antibiotic resistant organisms. Recommended: High School Biology or Environmental Science.","Fall, Spring",https://catalog.iastate.edu/azcourses/micro/
MICRO,3000L,Introductory Microbiology Laboratory,1.,Laboratory 3.,,,,Credit or concurrent enrollment in MICRO 2010 or MICRO 3020,Fundamental hands-on laboratory techniques used to study microorganisms.,"Fall, Spring",https://catalog.iastate.edu/azcourses/micro/
MICRO,3020,Biology of Microorganisms,3.,Lecture 3.,,,,Credit or concurrent enrollment in BIOL 2110 or BIOL 2120 ; 3 credits of CHEM,"Basic cell biology, physiology, metabolism, genetics and ecology of microorganisms, with an emphasis on prokaryotes and viruses, as well as the roles of microorganisms in the environment, disease, agriculture, and industry.","Fall, Spring, Summer",https://catalog.iastate.edu/azcourses/micro/
MICRO,3020L,Microbiology Laboratory,1.,Laboratory 3.,,,,Credit or concurrent enrollment in MICRO 2010 or MICRO 3020,"Basic microbiology laboratory techniques for majors in microbiology, biological sciences and related fields. Graduation Restriction: Credit for either MICRO 2010L or 3020L, but not both, may be applied toward graduation.","Fall, Spring",https://catalog.iastate.edu/azcourses/micro/
