subject_code,course_number,title_name,credits,contact_hours,cross_listed,dual_listed,repeatable,prerequisites,description,typically_offered,source_url
MIS,2070,Fundamentals of Programming for Business and Analytics,3.,Lecture 3.,,,,MATH 1500 or credit or enrollment in MATH 1400 or higher,"Introduction to programming (what it is and how it works) and problem-solving methods, emphasizing the basics of good programming techniques and style. Covers data types, control and data structures, functions, parameter passing, library functions, and object-oriented design to develop business and analytics applications.","Fall, Spring",https://catalog.iastate.edu/azcourses/mis/
MIS,3010,Management Information Systems,3.,Lecture 3.,,,,COMS 1130,"The role of information technology in organizations. Overview of methodologies for design and development of systems including decision support systems, expert systems, data bases, end-user computing, etc. Computer applications relate concepts to practice. Lecture and laboratory work emphasizes the enabling role of IT in contemporary organizations.","Fall, Spring, Summer",https://catalog.iastate.edu/azcourses/mis/
MIS,3070,Intermediate Business Programming,3.,Lecture 3.,,,,MIS 2070 and credit or enrollment in MIS 3010,"Introduction to the concepts and use of data structures, file accesses and object oriented programming methodologies in contemporary business environments. Application development environments will be covered.",,https://catalog.iastate.edu/azcourses/mis/
MIS,3100,Information Systems Analysis,3.,Lecture 3.,,,,Credit or enrollment in MIS 3010,"Critical analysis of business processes, data and process modeling, feasibility studies, CASE tools, and developing system design specifications.",,https://catalog.iastate.edu/azcourses/mis/
MIS,3116X,Data Visualization and Storytelling,3.,Lecture 3.,,,,MIS 3010,Learn various skills to transform complex data into compelling visual stories using business intelligence tools such as Tableau.,Spring,https://catalog.iastate.edu/azcourses/mis/
MIS,3150,Business Data Streams and Issues,3.,Lecture 3.,,,,ACCT 2840 and MIS 3010,"Identification of open data sources and other private data sources. Develop methods of data access, collection, and sharing; develop methods to validate and standardize data sources; develop methods to assess data worthiness (risk).","Fall (even-numbered years), Spring (odd-numbered years), Summer (annually",https://catalog.iastate.edu/azcourses/mis/
MIS,3200,Database Management Systems,3.,Lecture 3.,,,,Credit or enrollment in MIS 3010,"Database design, development, and implementation. Focus on data models, both classical and object oriented. Uses relational and/or object oriented database management systems.",,https://catalog.iastate.edu/azcourses/mis/
MIS,3400,Project Management,3.,Lecture 3.,,,,Credit or enrollment in MIS 3010,"Equips students to support team activities in the general project management environment and better manage their careers. Practical experience using project management techniques and tools. Course topics include project initiation and execution, risk assessment, estimating and contracts, planning, human factors, and standard methods.",,https://catalog.iastate.edu/azcourses/mis/
MIS,3670,Consultative Problem Solving,3.,Lecture 3.,,,,Sophomore classification,"Consultative problem-solving approach to address complex problems in marketing and related fields. Topics include problem definition, issue tree dis-aggregation, hypotheses development and the Pyramid Principle. Development of skills such as formulating problems, structuring and prioritizing problems, synthesizing results and communicating intuition from quantitative analyses.","Fall, Spring",https://catalog.iastate.edu/azcourses/mis/
MIS,4001X,Technology Entrepreneurship,3.,Lecture 3.,,,,MIS 3010,"This course focuses on how technology entrepreneurs take ideas from conception to commercialization. Topics will include innovation development, marketing, legal, organizational structure, operations, and business financing.",Spring,https://catalog.iastate.edu/azcourses/mis/
MIS,4030,Healthcare Information Systems,3.,Lecture 3.,,,,MIS 3010 and credit or enrollment in HCM 3010,"Explores the critical role information technologies and systems play in healthcare organizations. The focus is on evaluating and implementing software and IT systems that facilitate delivery of health care; understanding information technology governance, data privacy, and security; planning and project management; and tracking future developments of information technology in healthcare management. Introduction to Electronic Health Records (EHR) and other Management and Financial Information System applications used by healthcare organizations.",,https://catalog.iastate.edu/azcourses/mis/
MIS,4070,Advanced Business Programming,3.,Lecture 3.,,,,MIS 3070 .,"Advanced software development and topics in contemporary programming languages. Topics include basic syntax, advanced programming techniques, file structures and management, database access, algorithm design, web forms and graphical user interfaces.",,https://catalog.iastate.edu/azcourses/mis/
