subject_code,course_number,title_name,credits,contact_hours,cross_listed,dual_listed,repeatable,prerequisites,description,typically_offered,source_url
MKT,3400,Principles of Marketing,3.,Lecture 3.,,,,Credit or enrollment in ECON 1010,"The role of marketing in society. Markets, marketing institutions, and marketing functions with emphases on product, price, marketing communication, and marketing channel decisions.","Fall, Spring, Summer",https://catalog.iastate.edu/azcourses/mkt/
MKT,3420,Foundation Of Personal Selling,3.,Lecture 3.,,,,Sophomore classification,"The process of selling and how to sell effectively. Focus on selling in a business environment and applying to concepts to general interpersonal settings in personal life. Students will actively participate in class, collaborate with teammates to develop skills to sell ideas and become more effective in representing themselves and their company and its products and services. Develop skills necessary to build long-term, profitable relationships with clients.","Fall, Spring",https://catalog.iastate.edu/azcourses/mkt/
MKT,3510,Services Marketing,3.,Lecture 3.,,,,MKT 3400,"In-depth appreciation and understanding of the unique challenges inherent in creating, managing, and delivering quality services. Students will be introduced to and have the opportunity to work with concepts, tools, and strategies that address these challenges.",Fall,https://catalog.iastate.edu/azcourses/mkt/
MKT,3610,Social Media Marketing Strategy,3.,Lecture 3.,,,,MKT 3400,"The course will cover marketing, advertising and communications strategies in the new media landscape where traditional media (e.g., television, print) and the online social media (i.e., Web 2.0; e.g., online social networks, user-generated content, blogs, forums) co-exist. Students will be expected to have knowledge about the fundamentals of traditional advertising methods and strategies. With this background knowledge, the primary focus of this course will be on understanding social media, how to build social media marketing strategies, and how to track their effectiveness. This course will not look at more tactical aspects of advertising/communications such as creative, message management, and publicity. This will first and foremost be a marketing strategy course.",,https://catalog.iastate.edu/azcourses/mkt/
MKT,3620,Digital Marketing,3.,Lecture 3.,,,,MKT 3400,"A survey course that explores key topics and competencies that will help formulate a digital marketing strategy and power a digital marketing campaign. Digital marketing is a broader toolkit that includes search engine marketing (SEM), search engine optimization (SEO), content marketing, mobile marketing, email marketing, landing page optimization, social media marketing, and more.","Fall, Spring, Summer",https://catalog.iastate.edu/azcourses/mkt/
MKT,3630,Creative Tools for Digital Marketing,3.,Lecture 3.,,,,Sophomore classification,"An interactive course that explores the basics of design software (Canva, Photoshop, Lightroom,Illustrator, InDesign), non-linear editing software (Premiere Pro, After Effects, Media Encoder)photography, videography and lighting (DSLR and mobile), and working with and manipulatingassets developed by designers to promote companies, brands, events, and products on digitalplatforms.","Fall, Spring",https://catalog.iastate.edu/azcourses/mkt/
MKT,3670,Consultative Problem Solving,3.,Lecture 3.,,,,Sophomore classification,"Consultative problem-solving approach to address complex problems in marketing and related fields. Topics include problem definition, issue tree dis-aggregation, hypotheses development and the Pyramid Principle. Development of skills such as formulating problems, structuring and prioritizing problems, synthesizing results and communicating intuition from quantitative analyses.","Fall, Spring",https://catalog.iastate.edu/azcourses/mkt/
MKT,4100,Promotional Strategy,3.,Lecture 3.,,,,MKT 3400,"Principles, concepts, and problems involved in the development and implementation of promotional strategies. Coordination of a variety of promotional elements: advertising, sales promotion, direct marketing, public relations and publicity of web communications, and personal selling.","Fall, Spring",https://catalog.iastate.edu/azcourses/mkt/
MKT,4420,Sales Management,3.,Lecture 3.,,,,MKT 3400 and STAT 2260 or equivalent,"Functional aspects of sales force management; personal selling methods; procedures for recruiting, selecting, and training new salespeople; compensation and expense control systems; problems of sales force motivation and supervision; methods of territorial and quota assignment; sales department budgets; distributor-dealer relations; other selected topics.","Fall, Spring",https://catalog.iastate.edu/azcourses/mkt/
MKT,4430,Strategic Marketing Management,3.,Lecture 3.,,,,MKT 4440 and ( MKT 3420 or MKT 4470 ),Analysis of major elements of strategic marketing management. May include case studies or business simulations involving decision making using marketing tools from previous courses. (For marketing majors only.).,"Fall, Spring, Summer",https://catalog.iastate.edu/azcourses/mkt/
