subject_code,course_number,title_name,credits,contact_hours,cross_listed,dual_listed,repeatable,prerequisites,description,typically_offered,source_url
MSE,5010,Fundamentals of Materials Science and Engineering I,1.,Lecture 1.,,,True,Graduate Standing or Permission of Instructor,"An examination of structure-property-process relationships in materials, focusing on control and measurement of end-use performance characteristics. Materials design fundamentals are discussed as they pertain to various critical industries, applications, and manufacturing technologies. Offered on a satisfactory-fail basis only.",Fall,https://catalog.iastate.edu/azcourses/m_s_e/
MSE,5020,Fundamentals of Materials Science and Engineering II,1.,Lecture 1.,,,True,Graduate Standing or Permission of Instructor,"An examination of the physical behavior of materials, as underpinned by multiphase multicomponent thermodynamics, transport phenomena, interfaces, defect structures, the kinetics of phase transformations, and the mechanistic origins of structure-property-processing relationships in various types of materials. Offered on a satisfactory-fail basis only.",Fall,https://catalog.iastate.edu/azcourses/m_s_e/
MSE,5030,Fundamentals of Materials Science and Engineering III,1.,Lecture 1.,,,True,MSE 5010 and MSE 5020,"Directed study of advanced topics in Materials Science and Engineering. Fundamental principles and relationships connecting structure, chemistry, stability, physical behavior, properties, and processing response are reviewed. Experimental and computational methods for materials research are emphasized. Offered on a satisfactory-fail basis only.",Summer,https://catalog.iastate.edu/azcourses/m_s_e/
MSE,5100,Fundamentals of Structure and Chemistry of Materials,3.,Lecture 3.,,,,Graduate Standing or Permission of Instructor,"Crystal structure and symmetry operations, including geometric and algebraic representations of symmetry. Structure, chemistry, and basic properties of covalent, ionic, and metallic solids, glasses and liquids, and polymers. Interactions of materials with particles and waves. Relationships between direct and reciprocal spaces. The kinematical theory of diffraction, with an introduction to the dynamical theory.",Fall,https://catalog.iastate.edu/azcourses/m_s_e/
MSE,5190,Magnetism and Magnetic Materials,3.,Lecture 3.,,,,Graduate Standing or Permission of Instructor,"Magnetic fields, flux density and magnetization. Magnetic materials, magnetic measurements. Magnetic properties of materials. Domains, domain walls, domain processes, magnetization curves and hysteresis. Types of magnetic order, magnetic phases and critical phenome. Magnetic moments of electrons, theory of electron magnetism. Technological application, soft magnetic materials for electromagnets, hard magnetic materials, permanent magnets, magnetic recording technology, magnetic measurements of properties for materials evaluation. Offered odd-numbered years.",Fall,https://catalog.iastate.edu/azcourses/m_s_e/
MSE,5200,Thermodynamics and Kinetics in Multicomponent Materials,3.,Lecture 3.,,,,Graduate Standing or Permission of Instructor,"A review of the fundamental principles of heat, work, basic thermodynamic relations, and criteria for equilibrium. Analytical treatments for the thermodynamic description of multicomponent chemical solutions and reacting systems are developed and employed to predict phase equilibria in materials systems. Builds on the thermodynamic construction to treat the kinetics of chemical reactions and phase transformations. Topics include general first order and second order transitions, along with chemical diffusion. Detailed examples involving nucleation and diffusion limited growth, spinodal decomposition, martensitic transformations, magnetic and electric transitions, and glass formation will be considered.",Fall,https://catalog.iastate.edu/azcourses/m_s_e/
MSE,5210,Mechanical Behavior and Manufacturing of Polymers and Composites,3.,Lecture 3.,,,,"Junior, Senior, or Graduate Standing","Effect of chemical structure and morphology on properties. Linear viscoelasticity, damping and stress relaxation phenomena. Structure and mechanics of filler and fiber reinforced composites. Mechanical properties and failure mechanisms. Material selection and designing with polymers. Processing of polymer and composite parts.",Spring,https://catalog.iastate.edu/azcourses/m_s_e/
MSE,5300,Solid State Science,3.,Lecture 3.,,,,Graduate Standing or Permission of Instructor,"Development of a quantitative description of the electronic structure of solids starting with fundamentals of atoms, atomic bonding, basic crystallography, and band theory of solids. Continuum properties of solids in response to electromagnetic fields and thermal gradients. Quantitative description of the atomistic properties of solids through electron-electron interactions, electron-phonon interactions, and dipole interactions.",Spring,https://catalog.iastate.edu/azcourses/m_s_e/
MSE,5320,Microelectronics Fabrication Techniques,4.,"Lecture 2, Laboratory 4.",,,,Graduate Standing or Permission of Instructor,"Techniques used in modern integrated circuit fabrication, including diffusion, oxidation, ion implantation, lithography, evaporation, sputtering, chemical-vapor deposition, and etching. Process integration. Process evaluation and final device testing. Extensive laboratory exercises utilizing fabrication methods to build electronic devices. Use of computer simulation tools for predicting processing outcomes. Recent advances in processing CMOS ICs and micro-electro-mechanical systems (MEMS).",,https://catalog.iastate.edu/azcourses/m_s_e/
MSE,5370,Electronic Properties of Materials,3.,Lecture 3.,,,,Graduate Standing or Permission of Instructor,"Magnetic fields, flux density and magnetization. Magnetic materials, magnetic measurements. Magnetic properties of materials. Domains, domain walls, domain processes, magnetization curves and hysteresis. Types of magnetic order, magnetic phases and critical phenomena. Magnetic moments of electrons, theory of electron magnetism. Technological application, soft magnetic materials for electromagnets, hard magnetic materials, permanent magnets, magnetic recording technology, biomedical applications of magnetism, magnetic evaluation of materials.",Spring,https://catalog.iastate.edu/azcourses/m_s_e/
MSE,5400,Mechanical Behavior of Materials,3.,Lecture 3.,,,,Graduate Standing or Permission of Instructor,"Mechanical behavior of materials with emphasis on micromechanics of deformation in three generic regimes: elasticity, plasticity, and fracture. A materials science approach is followed to understand and model the mechanical behavior that combines continuum mechanics, thermodynamics, kinetics, and microstructure. Some topics include elastic properties of materials, permanent deformation mechanisms at different temperatures (e.g., via dislocation motion and creep), and fracture in ductile and brittle materials. Specific classes of materials that are studied: metals, ceramics, polymers, glasses and composites.",Spring,https://catalog.iastate.edu/azcourses/m_s_e/
MSE,5500,Nondestructive Evaluation,4.,"Lecture 3, Laboratory 2.",,,,Graduate Standing or Permission of Instructor,"Principles of five basic NDE methods and their application in engineering inspections. Materials behavior and simple failure analysis. NDE reliability, and damage-tolerant design. Advanced methods such as acoustic microscopy, laser ultrasonics, thermal waves, and computed tomography are analyzed. Computer-based experiments on a selection of methods: ultrasonics, eddy currents, x-rays are assigned for student completion.",Spring,https://catalog.iastate.edu/azcourses/m_s_e/
MSE,5510,Characterization Methods in Materials Science,3.,"Lecture 2, Laboratory 3.",,,,Graduate Standing or Permission of Instructor,"Characterization of ceramic, metal, polymer and glassy materials using modern analytical techniques. Spectroscopic (IR, Raman, UV/VIS/NIR, and NMR), thermal (DSC, DTA/TGA, and DMA) methods, mechanical and rheological testing, magnetic and electrical characterization, and powder characterization.",Spring,https://catalog.iastate.edu/azcourses/m_s_e/
MSE,5520,Scanning and Auger Electron Microscopy,3.,"Lecture 2, Laboratory 2.",,,,Graduate Standing or Permission of Instructor,"Characterization of materials using scanning electron microscopes (SEM) and variants thereof, including electron microprobe, Auger spectrometer, and DualBeam focused ion beams (FIB)/SEMs). Compositional determination using energy and wavelength dispersive x-ray and Auger spectroscopies. Orientation determination using electron backscattered diffraction. Specimen preparation. Laboratory covers SEM operation.",Fall,https://catalog.iastate.edu/azcourses/m_s_e/
MSE,5530,Physical and Mechanical Properties of Polymers,3.,"Lecture 2, Laboratory 2.",,,,Graduate Standing or Permission of Instructor,"Overview of polymer chemical composition, microstructure, thermal and mechanical properties, rheology, and principles of polymer materials selection. Intensive laboratory experiments include chemical composition studies, microstructural characterization, thermal analysis, and mechanical testing.",Fall,https://catalog.iastate.edu/azcourses/m_s_e/
MSE,5540,Polymer Composites and Processing,3.,Lecture 3.,,,,Graduate Standing or Permission of Instructor,"Basic concepts in polymer composites, blends, and block copolymers. Phase separation and miscibility, microstructures and mechanical behavior. Fiber reinforced and laminated composites. Viscosity, rheology, viscoelasticity of polymers. Polymer melt processing methods such as injection molding and extrusion; selection of suitable processing methods and their applications.",Spring,https://catalog.iastate.edu/azcourses/m_s_e/
MSE,5560,Biomaterials,3.,Lecture 3.,,,,Graduate Standing or Permission of Instructor,"Presentation of the basic chemical and physical properties of biomaterials, with special emphasis on metallic, ceramic, polymeric, and composite biomaterials, as they are related to their manipulation by the engineer for incorporation into living systems. Role of microstructure and properties needed to select and design biomaterials used in medical devices, artificial organs, implants, and prostheses. Overview of medical science vis-à-vis materials science.",Fall,https://catalog.iastate.edu/azcourses/m_s_e/
MSE,5570,Chemical and Physical Metallurgy of Rare Earth Metals,3.,Lecture 3.,,,,Graduate Standing or Permission of Instructor,"Electronic configuration, valence states, minerals, ores, beneficiation, extraction, separation, metal preparation and purification. Crystal structures, phase transformations and polymorphism, and thermochemical properties of rare earth metals. Chemical properties: inorganic and organometallic compounds, alloy chemistry, nature of the chemical bonding. Physical properties: mechanical and elastic properties, magnetic properties, resistivity, and superconductivity.",Spring,https://catalog.iastate.edu/azcourses/m_s_e/
MSE,5640,Fracture and Fatigue,3.,Lecture 3.,,,,Graduate Standing or Permission of Instructor,"Materials and mechanics approach to fracture and fatigue. Fracture mechanics, brittle and ductile fracture, fracture and fatigue characteristics, fracture of thin films and layered structures. Fracture and fatigue tests, mechanics and materials designed to avoid fracture or fatigue. Offered even-numbered years.",Fall,https://catalog.iastate.edu/azcourses/m_s_e/
MSE,5690,Mechanics of Composite and Combined Materials,3.,Lecture 3.,,,,EM 3240,Mechanics of fiber-reinforced materials. Micromechanics of lamina. Macromechanical behavior of lamina and laminates. Strength and interlaminar stresses of laminates. Failure criteria. Stress analysis of laminates. Thermal moisture and residual stresses. Joints in composites. Offered even-numbered years.,Spring,https://catalog.iastate.edu/azcourses/m_s_e/
MSE,5800X,Introduction of Project Management for Thesis Research,1.,Lecture 1.,,,,Graduate Standing or Permission of Instructor,"Tools and skills of Project Management (PM) adapted from industry to improve efficiency in thesis research. Project charter initiation for thesis, timeline and meeting scheduling tools, expectation management, and communication with advisors. Practice of the PM skills using student's own thesis. Presentation of a project charter. Demonstration of knowledge of related PM skills and the ability of utilizing these skills for thesis research. Sharing thesis ideas and learning experience in the Graduate for Advancing Professional Skills (GAPS) learning community. Offered on a satisfactory-fail basis only.","Fall, Spring",https://catalog.iastate.edu/azcourses/m_s_e/
MSE,5810,Computational Modeling of Materials,3.,Lecture 3.,,,,Graduate Standing or Permission of Instructor,"Introduction to the basic methods used in the computational modeling and simulation of materials, from atomistic simulations to methods at the mesoscale. Students will be expected to develop and run sample programs. Topics to be covered include, for example, electronic structure calculations, molecular dynamics, Monte Carlo, phase-field methods, etc.",Fall,https://catalog.iastate.edu/azcourses/m_s_e/
MSE,5820X,Data Analytics and Machine Learning in Materials Research,3.,Lecture 3.,,,,Graduate Standing or Permission of Instructor,"Basics of data mining and machine learning as applied to materials data from both experiment and computational modeling. Focus on determining the correlation of structures and properties in a wide range of materials systems, with an emphasis on mesoscale structures (e.g., microstructures). Understanding of and proficiency in these tools to apply them in their research. Applications oriented, with those applications taken from real-world materials data.",,https://catalog.iastate.edu/azcourses/m_s_e/
MSE,5880,Eddy Current Nondestructive Evaluation,3.,Lecture 3.,,,,Graduate Standing or Permission of Instructor,"Electromagnetic fields of various eddy current probes. Probe field interaction with conductors, crack and other material defects. Ferromagnetic materials. Layered conductors. Elementary inversion of probe signals to characterize defects. Special techniques including remote-field, transient, potential drop nondestructive evaluation and the use of Hall sensors. Practical assignments using a 'virtual' eddy current instrument will demonstrate key concepts. Offered odd-numbered years.",Fall,https://catalog.iastate.edu/azcourses/m_s_e/
MSE,5900,Special Topics,1-30.,,,,True,Department Permission for Course,,"Fall, Spring, Summer",https://catalog.iastate.edu/azcourses/m_s_e/
MSE,5990,Creative Component,1-30.,,,,True,Instructor Permission for Course,,"Fall, Spring, Summer",https://catalog.iastate.edu/azcourses/m_s_e/
MSE,6010,Materials Seminar,1.,Lecture 1.,,,True,,Seminar course - presentations given on a weekly basis by leading U.S. and International researchers that are experts in their respective fields closely related to Materials Science. Offered on a satisfactory-fail basis only.,"Fall, Spring",https://catalog.iastate.edu/azcourses/m_s_e/
