subject_code,course_number,title_name,credits,contact_hours,cross_listed,dual_listed,repeatable,prerequisites,description,typically_offered,source_url
MTEOR,1070,Severe and Hazardous Weather,1.,Lecture 1.,,,,,"Understanding of atmospheric processes that play a role in creating severe and hazardous weather. Focus on thunderstorms, tornadoes, hurricanes, floods, blizzards, ice storms, and temperature extremes. Impacts on lives and property.",Fall,https://catalog.iastate.edu/azcourses/mteor/
MTEOR,1110,Synoptic Applications,1.,Lecture 1.,,,True,Credit or Enrollment in MATH 1650,Current weather discussions and introduction to synoptic-scale interpretation of meteorology. Application and use of calculus in meteorology. Course restricted to majors. Others with permission of instructor.,"Fall, Spring, Summer",https://catalog.iastate.edu/azcourses/mteor/
MTEOR,1120,Geoscience Orientation,1.,Lecture 1.,,,,,"Orientation course for students enrolled in the Earth, Wind and Fire Learning Community. Provides an introduction to Iowa State University and meteorology, geology, and Earth science programs for students enrolled in the department's learning community. Activities include academic and social activities, talks and presentations on academic success, resume writing, and study abroad, as well as research talks by faculty members.",Fall,https://catalog.iastate.edu/azcourses/mteor/
MTEOR,1130,"Spring Geoscience Orientation for Earth, Wind and Fire Learning Community",1.,Lecture 1.,,,,,"Spring orientation course for students enrolled in the 'Earth, Wind and Fire' Learning Community. Develop and apply quantitative, data-analysis, management, and communication skills on an authentic research project in a team to focus on professionalism and resilience. Introduction to interview strategies and the importance of creating a professional image on social media. Academic and social events, plus two field trips.",Spring,https://catalog.iastate.edu/azcourses/mteor/
MTEOR,1400,Climate and Society,3.,Lecture 3.,,,,,"The climate system of our planet. How nature and our actions alter the existing energy balance leading to climate change. Past climates on our planet. The influence of climate on society and resource availability during the Holocene (~ 11,000 years ago to present) with focus on changes post industrial revolution. Significant climate events that have altered our way of life in the past. Projected changes in future climate and potential impacts on society, environment and resources. Adaption to and mitigation of climate change. Meets International Perspectives Requirement.","Fall, Spring",https://catalog.iastate.edu/azcourses/mteor/
MTEOR,1600,Water Resources of the World,3.,Lecture 3.,,,,,"Study of the occurrence, history, development, and management of world water resources. Basic hydrologic principles including climate, surface water, groundwater, and water quality. Historical and current perspectives on water policy, use, and the role of water in society and the environment. Meets International Perspectives Requirement.",Spring,https://catalog.iastate.edu/azcourses/mteor/
MTEOR,2010,Introductory Seminar,Required.,Lecture 1.,,,,Credit or enrollment in PHYS 2310 or 2310H,"An overview of the atmospheric sciences, the meteorology program at Iowa State, and the major research journals used in the discipline.",Fall,https://catalog.iastate.edu/azcourses/mteor/
MTEOR,2060,Introduction to Weather and Climate,3.,Lecture 3.,,,,,"Basic concepts in weather and climate, including atmospheric measurements, radiation, stability, precipitation, winds, fronts, forecasting, and severe weather. Applied topics include global warming, ozone depletion, world climates and weather safety.","Fall, Spring",https://catalog.iastate.edu/azcourses/mteor/
MTEOR,2270,Computational Meteorology I,3.,"Lecture 2, Laboratory 2.",,,,Credit or concurrent enrollment in MTEOR 2060 ; Credit or concurrent enrollment in PHYS 2310,"An introduction to computer programming using FORTRAN and Python with focus on meteorological applications. Emphasis on basics of good programming techniques and style through extensive practice in top-down design, writing, running, and debugging small programs. Topics include operations and functions, selective execution, repetitive execution, arrays, input/output, file processing, and subprograms. This course is designed for majors.",Fall,https://catalog.iastate.edu/azcourses/mteor/
MTEOR,2900,Independent Study,1-4.,,,,True,Instructor Permission for Course,Independent study for freshman and sophomore students.,,https://catalog.iastate.edu/azcourses/mteor/
MTEOR,2980,Cooperative Education,Required.,,,,True,Department Cooperative Education Coordinator Permission for Course,Required of all cooperative education students. Students must register for this course prior to commencing the work period.,"Fall, Spring, Summer",https://catalog.iastate.edu/azcourses/mteor/
MTEOR,3010,General Meteorology,4.,Lecture 4.,,,,"MATH 1660 , credit or enrollment in PHYS 2320","Global distribution of temperature, wind, and atmospheric constituents; atmospheric thermodynamics, radiative transfer, global energy balance, storms and clouds, introductory dynamics.",Spring,https://catalog.iastate.edu/azcourses/mteor/
MTEOR,3110,Introduction to Synoptic Meteorology,2.,"Lecture 1, Laboratory 2.",,,,MTEOR 3010,Concepts of weather map plotting and analysis. Introduction to forecasting and to the use of real-time UNIDATA computer products.,Fall,https://catalog.iastate.edu/azcourses/mteor/
MTEOR,3210,Meteorology Internship,1-2.,,,,True,MTEOR 3110 ; Permission of the Department Cooperative Education Coordinator,"Supervised practical experience in a professional meteorological agency. Experiences may include providing weather information for radio, TV, utilities, government agencies, construction, or agribusiness. Offered on a satisfactory-fail basis only.","Fall, Spring, Summer",https://catalog.iastate.edu/azcourses/mteor/
MTEOR,3240,Energy and the Environment,3.,Lecture 3.,,,,,"Exploration of Earth's energy resources and the environmental and climatic impacts of energy acquisition and consumption. Renewable and non-renewable energy resources within an Earth-system context. Various environmentally-relevant topics such as water quality and availability, habitat destruction, greenhouse-gas emissions, and health and safety hazards to wildlife and human communities. Designed for students with a college-level understanding of chemistry and physics.",Spring,https://catalog.iastate.edu/azcourses/mteor/
MTEOR,3410,Atmospheric Physics I,3.,Lecture 3.,,,,"PHYS 2320 , MTEOR 3010 , credit or enrollment in MATH 2660 or MATH 2670","Basic laws of thermodynamics, thermodynamics of water vapor, mixtures of gases, stability, and hydrostatics.",Fall,https://catalog.iastate.edu/azcourses/mteor/
MTEOR,3420,Atmospheric Physics II,3.,Lecture 3.,,,,MTEOR 3410,"Cloud and precipitation physics, radar meteorology, and atmospheric radiation.",Spring,https://catalog.iastate.edu/azcourses/mteor/
MTEOR,3600,Ocean-Atmosphere Interactions,3.,,,,,MTEOR 2060,"The physical interactions between the atmosphere and ocean, and their influence on weather and climate; coupled modes of climate variability and their teleconnections; air-sea feedback in the tropics and mid-latitudes. Applied topics include seasonal prediction and climate data analysis. Offered odd-numbered years.",Spring,https://catalog.iastate.edu/azcourses/mteor/
MTEOR,3980,Cooperative Education,Required.,,,,True,Department Cooperative Education Coordinator Permission for Course,Required of all cooperative education students. Students must register for this course prior to commencing the work period.,"Fall, Spring, Summer",https://catalog.iastate.edu/azcourses/mteor/
MTEOR,3990,Writing for Research,2.,Lecture 2.,,,,ENGL 2500 ; MTEOR 3110 ; MTEOR major,Principles of effective scientific writing and communication. Concepts covered are intended to be applied in MTEOR 4990 : Senior Research.,Spring,https://catalog.iastate.edu/azcourses/mteor/
MTEOR,4020,Watershed Hydrology,3.,"Lecture 2, Laboratory 3.",,,,,"Examination of watersheds as systems, emphasizing the surface components of the hydrologic cycle. Combines qualitative understanding of hydrological processes and uncertainty with quantitative representation. Laboratory emphasizes field investigation and measurement of watershed processes.",Fall,https://catalog.iastate.edu/azcourses/mteor/
MTEOR,4040,Global Change,3.,Lecture 3.,,,,,"Recent changes in global biogeochemical cycles and climate; models of future changes in the climate system; impacts of global change on agriculture, water resources and human health; ethical issues of global environmental change.","Fall, Spring",https://catalog.iastate.edu/azcourses/mteor/
MTEOR,4050,Soil-Plant-Animal-Atmosphere Physics,3.,Lecture 3.,,,,MATH 1600 or MATH 1650,"The movement of energy and mass among the soil, vegetation, and atmosphere. The heat and water budget of humans, other animals, plants, and plant communities. Relevance to weather and climate, the effect of climate change on organisms, and remote sensing. Some exposure to computer programming (any language) recommended. Offered odd-numbered years.",Spring,https://catalog.iastate.edu/azcourses/mteor/
MTEOR,4060,World Climates,3.,Lecture 3.,,,,AGRON 2060 or MTEOR 2060,"Distribution and causes of different climates around the world. Effects of climate and climate variations on human activities including society, economy and agriculture. Current issues such as climate change and international efforts to assess and mitigate the consequences of a changing climate. Semester project and in-class presentation required. Meets International Perspectives Requirement.",Spring,https://catalog.iastate.edu/azcourses/mteor/
MTEOR,4070,Mesoscale Meteorology,3.,Lecture 3.,,,,MATH 1660 ; MTEOR 4430,"Physical nature and practical consequences of mesoscale atmospheric phenomena. Mesoscale convective systems, fronts, terrain-forced circulations. Observation, analysis, and prediction of mesoscale atmospheric structure. Offered even-numbered years.",Spring,https://catalog.iastate.edu/azcourses/mteor/
MTEOR,4080,Numerical Weather and Climate Prediction,3.,"Lecture 2, Laboratory 2.",,,,MTEOR 2270 or equivalent; MTEOR 4430,"Numerical solutions of the differential equations that describe weather and climate. Survey of numerical solution techniques with focus on advantages and limitations of different methods. Physical parameterizations for turbulence, clouds, and land surface processes. Forecast verification. Applications including designing and running simulations on high-performance computing systems. Offered even-numbered years.",Spring,https://catalog.iastate.edu/azcourses/mteor/
MTEOR,4110,Synoptic Meteorology,3.,"Lecture 1, Laboratory 4.",,,,MTEOR 3110,"Applications of atmospheric physics and dynamics to larger-scale weather systems, emphasizing forecasting of real-time weather situations.",Fall,https://catalog.iastate.edu/azcourses/mteor/
MTEOR,4160,Hydrologic Modeling and Analysis,3.,"Lecture 2, Laboratory 3.",,,,,"Study of the basic principles of hydrologic modeling, including rainfall-runoff analysis, lumped and distributed modeling, conceptual and physical models, parameter estimation and sensitivity analysis, input and validation data, uncertainty analysis, and the use of models in surface water hydrology. A range of common models are applied to study hydrologic topics such as flood forecasting and land use change impacts. Previous experience with Matlab or other programming language is needed. Offered odd-numbered years.",Spring,https://catalog.iastate.edu/azcourses/mteor/
MTEOR,4170,Mesoscale Forecasting Laboratory,3.,Laboratory 6.,,,,Credit or concurrent enrollment in MTEOR 4110,"Applications of atmospheric physics and dynamics to smaller-scale weather phenomena, emphasizing forecasting of real-time weather situations. Studies of severe weather, lake-effect snow, CSI, cold-air damming.",Spring,https://catalog.iastate.edu/azcourses/mteor/
MTEOR,4320,Instrumentation and Measurements,3.,"Lecture 2, Laboratory 2.",,,,,"Principles of meteorological sensing and data analysis. Thermometry, barometry, hygrometry, anemometry, precipitation measurements, radiometry, radar, remote sensing, visibility, and cloud height. Calibration and measurement uncertainties. Digital signal processing. Field trip to the National Weather Service. Labs emphasize dataloggers and modern weather stations. Introductory physics and calculus 1 recommended.",Spring,https://catalog.iastate.edu/azcourses/mteor/
MTEOR,4350,Radar Applications in Meteorology,3.,Lecture 3.,,,,Credit or concurrent enrollment in MTEOR 3410,"Fundamentals of radar meteorology with emphasis on applications. Topics presented include theory of radar, engineering principles, Doppler radar, polarimetric radar, and applications to remote sensing of clouds and precipitation.",Spring,https://catalog.iastate.edu/azcourses/mteor/
MTEOR,4400,Tropical Meteorology,3.,Lecture 3.,,,,Credit or concurrent enrollment in MTEOR 3410,"Weather and climate of the tropical atmosphere. Weekly forecast discussions related to the development of tropical cyclones and teleconnection patterns between the tropics and higher latitudes. Topics covered include easterly waves, tropical cyclogenesis (i.e., hurricanes, typhoons, cyclones), equatorial waves, El Niño-Southern oscillation, Madden-Julian oscillation, and monsoons. Offered odd-numbered years.",Fall,https://catalog.iastate.edu/azcourses/mteor/
MTEOR,4430,Dynamic Meteorology I,3.,Lecture 3.,,,,MTEOR 3410,"An introduction to the mathematical description and theory of atmospheric flows. Topics include coordinate systems and vectors; forces and rotating reference frames; governing equations of atmospheric motion; mass and energy conservation; force balance and stability; circulation, vorticity, and potential vorticity.",Fall,https://catalog.iastate.edu/azcourses/mteor/
MTEOR,4520,Climate Modeling,3.,Lecture 3.,,,,,"Developing and working with climate models based on fundamental physical principles that govern the climate systems of the Earth and other planets. Emphasis on coupled, nonlinear-system interactions of physical processes such as circulation dynamics, radiative transfer, and cloud/precipitation physics, starting with fairly simple 0- and 1-dimensional analytical and numerical models based on energy, mass, and momentum conservation. Observational study of seasonally evolving weather patterns that form climates around the world. An understanding of atmospheric physics comparable to MTEOR 3010 is advantageous. Offered even-numbered years. .",Spring,https://catalog.iastate.edu/azcourses/mteor/
MTEOR,4540,Dynamic Meteorology II,3.,Lecture 3.,,,,MTEOR 4430,"Planetary boundary layer, linear perturbation theory, atmospheric wave motions, baroclinic and convective instability, mesoscale circulations.",Spring,https://catalog.iastate.edu/azcourses/mteor/
MTEOR,4550X,Atmospheric Boundary Layers,3.,Lecture 3.,,,,MTEOR 4430 AND MTEOR 2270,"An introduction to the atmospheric boundary layer, with emphasis on applications to weather and climate prediction. Topics include surface energy balance, mesoscale secondary circulations, boundary layer clouds, low-level jets, density currents, shear-layer vortices, and turbulence. Observational and modeling approaches will be explored with a variety of operational datasets and case studies. The Python programming language will be used to gain quantitative skills related to forecasting and analysis of boundary layer phenomena. Offered odd-numbered years.",,https://catalog.iastate.edu/azcourses/mteor/
MTEOR,4600X,Atmospheric Chemistry,3.,Lecture 3.,,,,,"Fundamental concepts in atmospheric chemistry. Topics include: atmospheric gaseous and aerosol constituents, sources, and chemical reactions; impact of atmospheric gases and aerosols on global climate, climate change, air quality, and public health; transport of atmospheric constituents; and tropospheric and stratospheric chemistry.",Spring,https://catalog.iastate.edu/azcourses/mteor/
MTEOR,4680,Applied Geostatistics for Geoscientists,3.,"Lecture 2, Laboratory 2.",,,,GEOL 4520 ; CRP 3510 ; CRP 4520 ; ( NREM 3450 or NREM 4470),"Introduction to geospatial data collection, analysis, interpretation, and presentation. Geospatial techniques including geographic information systems (GIS), remote sensing (RS), and global positioning systems (GPS). Study of applied geostatistical analysis (e.g., interpolation and spatial regression). Offered even-numbered years.",Fall,https://catalog.iastate.edu/azcourses/mteor/
MTEOR,4890,Survey of Remote Sensing Technologies,3.,Lecture 3.,,,,,"Electromagnetic-radiation principles, active and passive sensors, multispectral and hyperspectral sensors, imaging radar, SAR, thermal imaging, lidar. Examples of applications. Also offered online S.",Fall,https://catalog.iastate.edu/azcourses/mteor/
MTEOR,4890L,Satellite Remote Sensing Laboratory,1.,Laboratory 3.,,,,Completion or concurrent enrollment in MTEOR/GEOL/NREM/ EE 4890 /5890,Processing and analysis of satellite sensor data (optical and radar). Provides practical applications in an environmental context.,Fall,https://catalog.iastate.edu/azcourses/mteor/
MTEOR,4900A,Independent Study: Synoptic Meteorology,1-3.,,,,True,"Six credits in MTEOR, Permission of Instructor",Graduation Restriction: No more than 9 credits in MTEOR 4900 may be counted toward graduation.,"Fall, Spring, Summer",https://catalog.iastate.edu/azcourses/mteor/
MTEOR,4900B,Independent Study: Dynamic Meteorology,1-3.,,,,True,"Six credits in MTEOR, Permission of Instructor",,"Fall, Spring, Summer",https://catalog.iastate.edu/azcourses/mteor/
MTEOR,4900C,Independent Study: Physical Meteorology,1-3.,,,,True,"Six credits in MTEOR, Permission of Instructor",Course will include Atmospheric Chemistry. Graduation Restriction: No more than 9 credits in MTEOR 4900 may be counted toward graduation.,"Fall, Spring, Summer",https://catalog.iastate.edu/azcourses/mteor/
MTEOR,4900D,Independent Study: Instrumentation,1-3.,,,,True,"Six credits in MTEOR, Permission of Instructor",Graduation Restriction: No more than 9 credits in MTEOR 4900 may be counted toward graduation.,"Fall, Spring, Summer",https://catalog.iastate.edu/azcourses/mteor/
MTEOR,4900E,Independent Study: Hydrology,1-3.,,,,True,"Six credits in MTEOR, Permission of Instructor",Graduation Restriction: No more than 9 credits in MTEOR 4900 may be counted toward graduation.,"Fall, Spring, Summer",https://catalog.iastate.edu/azcourses/mteor/
MTEOR,4900F,Independent Study: Climate/Atmospheric Water Cycle,1-3.,,,,True,"Six credits in MTEOR, Permission of Instructor",Graduation Restriction: No more than 9 credits in MTEOR 4900 may be counted toward graduation.,"Spring, Summer",https://catalog.iastate.edu/azcourses/mteor/
MTEOR,4900G,Independent Study: Atmosphere/Ocean Interactions,1-3.,,,,True,"Six credits in MTEOR, Permission of Instructor",Graduation Restriction: No more than 9 credits in MTEOR 4900 may be counted toward graduation.,,https://catalog.iastate.edu/azcourses/mteor/
MTEOR,4980,Cooperative Education,Required.,,,,True,Permission of Department Cooperative Education Coordinator; Senior classification,Required of all cooperative education students. Students must register for this course prior to commencing each work period.,"Fall, Spring, Summer",https://catalog.iastate.edu/azcourses/mteor/
