subject_code,course_number,title_name,credits,contact_hours,cross_listed,dual_listed,repeatable,prerequisites,description,typically_offered,source_url
NREM,1040,Practical Work Experience,Required.,,,,,,"Three months of relevant work experience in natural resources, animal ecology, or forestry. Study at a summer biological station may be applicable. See advisor for specific requirements and approval process.",,https://catalog.iastate.edu/azcourses/nrem/
NREM,1100,Orientation in Natural Resource Ecology and Management,1.,Lecture 1.,,,,,"Orientation to the University and to the Department of Natural Resource Ecology and Management. Discussion of departmental learning outcomes, strategies for academic success and academic planning. Offered on a satisfactory-fail basis only.",Fall,https://catalog.iastate.edu/azcourses/nrem/
NREM,1110,NREM Transitions Learning Community Seminar,1.,Lecture 1.,,,True,,Enrollment limited to members of the NREM Transitions Learning Community. Designed to assist new transfer students and continuing sophomore students with their transition to the academic expectations and professional development aspects of the natural resource program. Offered on a satisfactory-fail basis only.,"Fall, Spring",https://catalog.iastate.edu/azcourses/nrem/
NREM,1150,Explorations in Natural Resource Ecology & Management,1.,Lecture 1.,,,,(Animal Ecology or Forestry major); Permission of Instructor,"Interact with faculty in the Department of Natural Resource Ecology and Management through lectures, discussions, and field experiences. Offered during the second half of Spring semester.",Spring,https://catalog.iastate.edu/azcourses/nrem/
NREM,1200,Introduction to Renewable Resources,3.,Lecture 3.,,,,,"Overview of soil, water, plants, and animals as renewable natural resources in an ecosystem context. History and organization of resource management. Concepts of integrated resource management.","Fall, Spring",https://catalog.iastate.edu/azcourses/nrem/
NREM,1300,Natural Resources and Agriculture,3.,Lecture 3.,,,,,"Survey of the ecology and management of fish, forest, and wildlife resources in areas of intensive agriculture, with emphasis on Iowa. Conservation and management practices for private agricultural lands. Designed for nonmajors.",Spring,https://catalog.iastate.edu/azcourses/nrem/
NREM,2070,Natural Resource Management under the North American Model of Conservation,1.,Lecture 1.,,,,,"Introduction to North American model of conservation, current funding for natural resource management, role of hunting and angling in the North American model, critique and refinement of the model for the 21st century, and introduction to natural resource leadership, and outdoor skills and recreation. Offered on a satisfactory-fail basis only.",Fall,https://catalog.iastate.edu/azcourses/nrem/
NREM,2110,Careers in Natural Resources,1.,Lecture 1.,,,,Sophomore classification,"Career planning exploration in natural resources. Discussion of the job application process, including techniques for successful interviewing and development of an effective resume. Offered on a satisfactory-fail basis only.","Fall, Spring",https://catalog.iastate.edu/azcourses/nrem/
NREM,2400,Quantitative Problem Solving in Natural Resources,3.,"Lecture 2, Laboratory 2.",,,,(STAT 1010 or STAT 1040) or Permission of Instructor,"Applied quantitative problem-solving skills for natural resource management. Focus on group and individual exercises, with practical problems in geography, hydrology, forestry and ecology. Laboratory includes field data collection and computer data processing and modeling.",Spring,https://catalog.iastate.edu/azcourses/nrem/
NREM,2500,Environmental Geography,3.,Lecture 3.,,,,,"The distribution, origins and functions of the earth's physical systems and the spatial relationship between human activity and the natural world.",Fall,https://catalog.iastate.edu/azcourses/nrem/
NREM,2700,Foundations in Natural Resource Policy and History,3.,Lecture 3.,,,,,"The development of natural resource conservation philosophy and policy from the Colonial Era to the present. North American wildlife, forestry, and environmental policy; national parks and other protected lands; federal and state agencies. Relationship to cultural contexts, including urban reform and American planning movement. Discussion of common pool resources, public and private lands.",Fall,https://catalog.iastate.edu/azcourses/nrem/
NREM,3010,Natural Resource Ecology and Soils,4.,"Lecture 3, Laboratory 3.",,,,"BIOL 2110 , BIOL 2110L ; FOR 2010 or a second course in biology","Effects of environmental factors on ecosystem structure and function using forest, prairie and agricultural ecosystems as models. Special emphasis is given to soil-forming factors and the role of soil in nutrient and water cycling and ecosystem dynamics. Additional emphasis is given to human influences on natural ecosystems and the role of perennial plant communities in agricultural landscapes.",Fall,https://catalog.iastate.edu/azcourses/nrem/
