subject_code,course_number,title_name,credits,contact_hours,cross_listed,dual_listed,repeatable,prerequisites,description,typically_offered,source_url
NS,1110,Introduction to Naval Science,3.,"Lecture 3, Laboratory 3.",,,,,"Introduction to the organization, regulations, and capabilities of the US Navy, with emphasis on mission and principal warfare components.",Fall,https://catalog.iastate.edu/azcourses/n_s/
NS,2120,Seapower and Maritime Affairs,3.,"Lecture 3, Laboratory 3.",,,,,"An historical survey of sea power in terms of national domestic environments, foreign policy, and the evolution of maritime forces with trends in technology, doctrine, and tactics. The student will develop an understanding of the role the US Navy has played in the nation's history, both in peace and war. Naval events, forces and policies will be studied as elements in the shaping of the national consciousness and sense of purpose. Course content will include the development of the concept of sea power, the role of various warfare components of the Navy, the implementation of sea power as an instrument of national policy, the evolution of naval tactics, and the influence of maritime affairs around the world.",Spring,https://catalog.iastate.edu/azcourses/n_s/
NS,2200,Leadership and Management,3.,"Lecture 3, Laboratory 3.",,,,,"Introduction to the basic concepts of management and organization, their application to operations and personnel management. Experiential approach to learning principles of leadership and management by examining various management theories and their applications. Skills are developed in the areas of communication, counseling, control, direction, management, and leadership through active guided participation.",Fall,https://catalog.iastate.edu/azcourses/n_s/
NS,2300,Navigation,3.,"Lecture 3, Laboratory 3.",,,,Sophomore classification,Study of the fundamentals of marine navigation used by ships at sea; includes practical exercises in piloting using visual and electronic means. In-depth discussion of laws that govern conduct of vessels in national and international waters. Course is supplemented with review and analysis of case studies involving actual navigation incidents.,Spring,https://catalog.iastate.edu/azcourses/n_s/
NS,2400,Fundamentals of Maneuver Warfare,3.,Lecture 3.,,,,NS 1110,"Concepts, definition, and need for maneuver warfare and expeditionary operations. US Marine Corps case studies of specific battles, development, and implementation. Structure, operation and capabilities of the Marine expeditionary unit, Marine air-ground task force and expeditionary strike group, Discussion and incorporation of leadership traits and principles. Offered odd-numbered years.",Spring,https://catalog.iastate.edu/azcourses/n_s/
NS,3200,Naval Ship Systems I (Engineering),3.,"Lecture 3, Laboratory 3.",,,,PHYS 2310 ; PHYS 2310L ; Sophomore classification,"An introduction to naval engineering with emphasis on the equipment and machinery involved in the conversion of energy for propulsion and other purposes aboard the major ship types of the U.S. fleet. Basic concepts of the theory and design of steam, gas turbine, diesel, and nuclear propulsion. Introduction to ship design, stability, hydrodynamic forces, compartmentalization, electrical and auxiliary systems.",Fall,https://catalog.iastate.edu/azcourses/n_s/
NS,3210,Evolution of Warfare,3.,"Lecture 2, Laboratory 2.",,,,Sophomore classification,"Evolution of warfare from 3500 B.C. to contemporary times; analysis of the impact of historical precedents on modern military thought and action; emphasis on the historical development of military tactics, strategy, and technology. Offered even-numbered years.",Spring,https://catalog.iastate.edu/azcourses/n_s/
NS,3300,Naval Ship Systems II (Weapons),3.,"Lecture 3, Laboratory 3.",,,,PHYS 2310 ; Sophomore classification,"Introduction to the theory and principles of operation of naval weapon systems. Included coverage of types of weapons and fire control systems, capabilities and limitations; theory of target acquisition, identification and tracking; basics of naval ordnance.",Spring,https://catalog.iastate.edu/azcourses/n_s/
NS,4100,Naval Operations and Seamanship,3.,"Lecture 3, Laboratory 3.",,,,NS 2300 ; Senior classification,"Study of tactical naval operations; employs practical use of maneuvering boards together with shiphandling principles to arrive at tactical shipboard maneuvering solutions. Study also of naval command and control, communications, and the Naval Warfare Doctrine.",Fall,https://catalog.iastate.edu/azcourses/n_s/
NS,4120,Leadership and Ethics,3.,"Lecture 3, Laboratory 3.",,,,NS 1110 ; ( HIST 3890 or NS 2120); NS 2200 ; NS 2300 ; NS 3200 ; NS 3300 ; NS 4100,"Basic background concerning the duties and responsibilities of the junior naval officer and division officer in the areas of integrity and ethics, human resources management, personnel management, material management, and the administration of discipline. Preparation for responsibilities encountered immediately upon commissioning.",Spring,https://catalog.iastate.edu/azcourses/n_s/
NS,4400,Senior Naval Science Seminar,1.,Lecture 1.,,,,,"Current leadership issues in the US Navy which will challenge the newly commissioned officer. Opportunities to analyze, provide solutions, and discuss actions related to a variety of real world situations.","Fall, Spring",https://catalog.iastate.edu/azcourses/n_s/
NS,4900,Independent Study,1-3.,,,,True,6 credits in NS; Permission of Department Chair; Senior classification,Graduation Restriction: No more than 9 credits of NS 4900 may be counted toward graduation.,,https://catalog.iastate.edu/azcourses/n_s/
