subject_code,course_number,title_name,credits,contact_hours,cross_listed,dual_listed,repeatable,prerequisites,description,typically_offered,source_url
NUTRS,5040,Nutrition and Epigenetic Regulation of Gene Expression,1.,Lecture 1.,,,,Graduate Standing or Permission of Instructor,"Discussion of epigenetic regulation of gene expression and the role that nutrition plays in this process. Examination of current research literature to understand how different nutrients and physiological states influence epigenetics, as well as, the research methodology used to address these relations.","Fall, Spring, Summer",https://catalog.iastate.edu/azcourses/nutrs/
NUTRS,5050,Short Course,1.,Lecture 1.,,,True,Instructor Permission for Course,,"Fall, Spring, Summer",https://catalog.iastate.edu/azcourses/nutrs/
NUTRS,5100,Advanced Nutrition and Metabolism in Health and Disease: Macronutrients,2.,Lecture 2.,,,,,"Metabolism of carbohydrates, lipids, and proteins; relation of these macronutrients to health and disease.",Fall,https://catalog.iastate.edu/azcourses/nutrs/
NUTRS,5110,Advanced Nutrition and Metabolism in Health and Disease: Micronutrients,2.,Lecture 2.,,,,,Metabolism of vitamins (fat and water-soluble) and minerals; relation of these micronutrients to health and disease.,Spring,https://catalog.iastate.edu/azcourses/nutrs/
NUTRS,5180,Digestive Physiology and Metabolism of Non Ruminants,3.,Lecture 3.,,,,ANS 4190 or NUTRS 5010 or Graduate Classification,Digestion and metabolism of nutrients. Nutritional requirements and current research and feeding programs for poultry and swine. Offered odd-numbered years.,Spring,https://catalog.iastate.edu/azcourses/nutrs/
NUTRS,5200,Digestive Physiology and Metabolism of Ruminants,3.,"Lecture 2, Laboratory 2.",,,,ANS 4190 or NUTRS 5010 or Graduate Classification,Digestive physiology and nutrient metabolism in ruminant and preruminant animals. Offered even-numbered years.,Spring,https://catalog.iastate.edu/azcourses/nutrs/
NUTRS,5420A,Introduction to Molecular Biology Techniques: DNA Techniques,1.,"Lecture 0.5, Laboratory 1.",,,True,Graduate Standing or Permission of Instructor,"Includes genetic engineering procedures, sequencing, PCR, and genotyping. Offered on a satisfactory-fail basis only.","Fall, Spring",https://catalog.iastate.edu/azcourses/nutrs/
NUTRS,5420B,Introduction to Molecular Biology Techniques: Protein,1.,,,,True,Graduate Standing or Permission of Instructor,"Includes: immunophenotyping, ELISA, flow cytometry, microscopic techniques, image analysis, confocal, multiphoton and laser capture microdissection. Offered on a satisfactory-fail basis only.","Spring, Summer",https://catalog.iastate.edu/azcourses/nutrs/
NUTRS,5420C,Introduction to Molecular Biology Techniques: Cell Techniques,1.,Laboratory 2.,,,True,Graduate Standing or Permission of Instructor,"Includes: immunophenotyping, ELISA, flow cytometry, microscopic techniques, image analysis, confocal, multiphoton and laser capture microdissection.ular biology techniques and related procedures. Offered on a satisfactory-fail basis only.","Fall, Spring",https://catalog.iastate.edu/azcourses/nutrs/
NUTRS,5420E,Introduction to Molecular Biology Techniques: Proteomics,1.,"Lecture 0.5, Laboratory 1.",,,True,Graduate Standing or Permission of Instructor,"Includes: two-dimensional electrophoresis, laser scanning, mass spectrometry, and database searching. Offered on a satisfactory-fail basis only.",Fall,https://catalog.iastate.edu/azcourses/nutrs/
NUTRS,5420F,Introduction to Molecular Biology Techniques: Metabolomics,1.,"Lecture 0.5, Laboratory 1.",,,True,Graduate Standing or Permission of Instructor,Includes: metabolomics and the techniques involved in metabolite profiling. For non-chemistry majoring students who are seeking analytical aspects into their biological research projects. Offered on a satisfactory-fail basis only.,Fall,https://catalog.iastate.edu/azcourses/nutrs/
NUTRS,5490,Advanced Vertebrate Physiology I,4.,Lecture 4.,,,,Undergraduate course in Physiology and Biochemistry,"Overview of mammalian physiology. Cell biology, endocrinology, cardiovascular, respiratory, immune, digestive, skeletal muscle and reproductive systems.",Fall,https://catalog.iastate.edu/azcourses/nutrs/
NUTRS,5610,Medical Nutrition and Disease I,4.,Lecture 4.,,,,BIOL 2560 or BIOL 3350 ; FSHN 3600 ; FSHN 3610 ; FSHN 3670,Pathophysiology of selected chronic disease states and their associated medical problems. Specific attention will be directed to medical nutrition needs of patients in the treatment of each disease state to optimize nutritional status and improve health.,"Fall, Spring, Summer",https://catalog.iastate.edu/azcourses/nutrs/
NUTRS,5630,Community Nutrition and Health,3.,Lecture 3.,,,,FSHN 2650 or FSHN 3600 ; FSHN 3610,Dual listed with FSHN 4630 . Survey of current public health nutrition problems among nutritionally vulnerable individuals and groups. Discussion of the multidimensional nature of those problems and of community programs addressing them. Grant writing as a means for funding community nutrition program development. Significant emphasis on written and oral communication at the lay and professional level.,"Fall, Spring, Summer",https://catalog.iastate.edu/azcourses/nutrs/
NUTRS,5640,Medical Nutrition and Disease II,4.,Lecture 4.,,,,FSHN 3600 ; FSHN 4610 or NUTRS 5610,Dual listed with FSHN 4640 . Pathophysiology of selected acute and chronic disease states and their associated medical problems. Specific attention will be directed to medical nutrition needs of patients in the treatment of each disease state to optimize nutritional status and promote health.,"Fall, Spring, Summer",https://catalog.iastate.edu/azcourses/nutrs/
NUTRS,5890,"Systems Neuroscience: Brain, Behavior, and Nutrition-Related Integrative Physiology",2.,Lecture 2.,,,,Graduate Standing or Qualified Undergraduate with Permission of Instructor,"Structural, functional, and biochemical aspects of brain and non-motor behavior across the human lifespan. Types of neuroimaging used to assess the brain. Current research is leveraged to gauge how nutrition, diseases related to nutrition, and associated physiological processes influence the brain, particularly for common developmental, psychological, and neurological disorders.",Spring,https://catalog.iastate.edu/azcourses/nutrs/
NUTRS,6180,Vitamins and Minerals,2.,Lecture 2.,,,,,"Understanding molecular aspects of vitamin and mineral metabolism and homeostasis in humans and animals. An in-depth examination of the chemistry of vitamins and minerals, including genetic mutations, proteins involved in absorption and excretion, and their necessity in biological processes. Offered even-numbered years.",Spring,https://catalog.iastate.edu/azcourses/nutrs/
NUTRS,6190,Advanced Nutrition and Metabolism - Protein,2.,Lecture 2.,,,,BBMB 4050,"Digestion, absorption, and intermediary metabolism of amino acids and protein. Regulation of protein synthesis and degradation. Integration of cellular biochemistry and physiology of mammalian protein metabolism. Offered odd-numbered years.",Fall,https://catalog.iastate.edu/azcourses/nutrs/
NUTRS,6200,Advanced Nutrition and Metabolism - Energy,2.,Lecture 2.,,,,BBMB 4050,Energy constituents of feedstuffs and energy needs of animals as related to cellular biochemistry and physiology. Interpretations of classical and current research. Offered odd-numbered years.,Fall,https://catalog.iastate.edu/azcourses/nutrs/
NUTRS,6800,Modern Views of Nutrition,Required.,Lecture 1.,,,True,,Current concepts in nutrition and related fields.,"Fall, Spring, Summer",https://catalog.iastate.edu/azcourses/nutrs/
NUTRS,6900,Special Problems,1-30.,,,,True,,,"Fall, Spring, Summer",https://catalog.iastate.edu/azcourses/nutrs/
NUTRS,6950,Grant Proposal Writing,1.,Lecture 1.,,,,3 credits of graduate course work in food science or nutritional sciences,"Grant proposal preparation experiences including writing and critiquing ofproposals and budget planning. Understanding the grant funding process from federal, foundation, and commodity agencies. Includes preparing a grant for possible submission and participation in the review of proposals. Discussion of the role of successful grant writing in career development.","Fall, Spring",https://catalog.iastate.edu/azcourses/nutrs/
NUTRS,6990,Research in Nutritional Sciences,1-30.,,,,True,,,"Fall, Spring, Summer",https://catalog.iastate.edu/azcourses/nutrs/
