subject_code,course_number,title_name,credits,contact_hours,cross_listed,dual_listed,repeatable,prerequisites,description,typically_offered,source_url
,,AESHM 4700MX: Supervised Professional Internship: Apparel (Out-of-state),3-6.,,,,True,Department Permission for Course,"Supervised work experience with a cooperating firm or organization. Graduation Restrictions: No more than 12 credits from AESHM 1700, 2700, and 4700 may be applied toward graduation.","Fall, Spring, Summer",https://catalog.iastate.edu/azcourses/aeshm/
,,BIOL 3xxx: Gene Editing and AI Integration in Plant Biotechonlogy,2.,Lecture 2.,,,,,"This course introduces students to emerging tools and concepts at the forefront of modern plant biotechnology. Focusing on gene editing technologies such as CRISPR and the integration of artificial intelligence (AI) in plant research, the course bridges fundamental molecular biology with computational innovation. Students will learn the principles of gene editing, transgene delivery, and plant tissue culture, while gaining hands-on experience in designing recombinant DNA constructs in silico. Emphasis is placed on how AI is transforming precision gene editing and data-driven approaches in plant science. Ethical and regulatory considerations surrounding genetic modification in plants will also be explored.Through interactive discussions, computational exercises, and project-based learning, students will develop both conceptual understanding and practical skills applicable to advanced plant biotechnology research.",,https://catalog.iastate.edu/azcourses/biol/
,,BIOL 3xxx: Gene Editing and AI Integration in Plant Biotechonlogy,2.,Lecture 2.,,,,,"This course introduces students to emerging tools and concepts at the forefront of modern plant biotechnology. Focusing on gene editing technologies such as CRISPR and the integration of artificial intelligence (AI) in plant research, the course bridges fundamental molecular biology with computational innovation. Students will learn the principles of gene editing, transgene delivery, and plant tissue culture, while gaining hands-on experience in designing recombinant DNA constructs in silico. Emphasis is placed on how AI is transforming precision gene editing and data-driven approaches in plant science. Ethical and regulatory considerations surrounding genetic modification in plants will also be explored.Through interactive discussions, computational exercises, and project-based learning, students will develop both conceptual understanding and practical skills applicable to advanced plant biotechnology research.",,https://catalog.iastate.edu/azcourses/biol/
,,EDUC 5910EX: Graduate Level Pre-Student Teaching Experience: Secondary English Education,0.5-6.,,,,True,Graduate Standing or Permission of Instructor,Pre-Stdnt Tchng-Eng. Offered on a satisfactory-fail basis only.,Fall,https://catalog.iastate.edu/azcourses/education/
,,ENTSP 6200AX: Special Topics: Resources and Capabilities,1.,Lecture 3.,,,,,"Provide students with a deeper content knowledge of innovation. Analysis of classic and recent readings in Strategic Management of Innovation. Topics include an introduction to the main theories of innovation, technology strategy, types and measurement of innovation, ambidexterity, the influence of strategic leadership on innovation, and innovation challenges in established firms. Multiple levels of analysis and consideration of how these topics emerge across different areas of management (micro and macro) and entrepreneurship research. Theory and empirical research embedded within the applied context of the strategic management innovation field. Emphasis on systematic and scientific approach to deepening our knowledge and understanding of topics.",Spring,https://catalog.iastate.edu/azcourses/entsp/
,,ENTSP 6200BX: Entrepreneur Well-Being,1.,Lecture 3.,,,,,"Provides deeper content knowledge of entrepreneur well-being. Covers the broad goals of entrepreneur well-being research and examines differences between two critical types of well-being: hedonic and eudaimonic. Addresses why entrepreneurs can achieve and entrepreneur working environments can produce well-being outcomes distinct from those seen by non-entrepreneurs in more traditional waged work environments. Addresses the different coping behaviors used by entrepreneurs, as well as the complex relationship between well-being and venture performance. Approaches course topics from multiple levels of analysis and considers how these topics emerge across different areas of management (micro and macro) and entrepreneurship research. Emphasis on a systematic and scientific approach to deepening knowledge and understanding of topics.",Fall,https://catalog.iastate.edu/azcourses/entsp/
,,ENTSP 6200CX: Self-Regulation and Entrepreneurship,1.,Lecture 3.,,,,,Provide content knowledge regarding the importance of self-regulation to entrepreneurs. Explore existing research from a number of domains (primarily psychology and entrepreneurship) that has explored various aspects of self-regulation. Understand connections between various self-regulatory mechanisms and how those individual capabilities potentially relate to a host of entrepreneurial behaviors and outcomes. Examine course topics from multiple levels of analysis and consider how these topics emerge across different areas of management (micro and macro) and entrepreneurship research. Blend of theory and empirical research within the applied context of the management field. Emphasis on a systematic and scientific approach to deepening knowledge and understanding of topics.,Fall,https://catalog.iastate.edu/azcourses/entsp/
,,ENTSP 6200DX: Special Topics: Crafting Research Ideas,1.,Lecture 3.,,,,,"Role as a scholar is more than publishing research. The purpose of scholarship is to add to usable knowledge - which means knowledge that can be used to solve real - world problems. To publish an article, students need to convince other scholars of the quality of their research. To create usable knowledge, you need to solve a problem that managers face and communicate that solution to managers. Most managers do not read academic journals, so the publication of an article does not guarantee that anyone who needs the knowledge will find it. Introduction an ideal form of scholarship that Andy Van de Ven calls 'engaged scholarship.' This form of scholarship requires the rigorous theory and methods by adds the additional component of connecting research to practitioners throughout the research process.",Spring,https://catalog.iastate.edu/azcourses/entsp/
,,ENTSP 6200EX: Special Topics: Effective Academic Writing,1.,Lecture 3.,,,,,"Provide skills and training necessary to navigate the professional landscape of the management and entrepreneurship fields. Discussion of effective academic writing, focusing on the discipline of management (but certainly applicable beyond this field). Blend of theory, research and practice focused on understanding one's role as a scholar, the implications of scholarly work, and successful advancement through career stages.",Spring,https://catalog.iastate.edu/azcourses/entsp/
,,ENTSP 6200FX: Special Topics: Professional Development in Management and Entrepreneurship Research,1.,Lecture 3.,,,True,,"Provide skills and training necessary to navigate the professional landscape of the management/entrepreneurship fields. Includes topics such as research collaborations and networking, the peer review process, ethics, scholarly writing, presenting scholarly work, developing a research identity, understanding the research process, receiving and utilizing feedback, and navigating career milestones. Blend of theory, research, and practice focused on understanding one's role as a scholar, the implications of scholarly work, and successful advancement through career stages.",Fall,https://catalog.iastate.edu/azcourses/entsp/
