subject_code,course_number,title_name,credits,contact_hours,cross_listed,dual_listed,repeatable,prerequisites,description,typically_offered,source_url
PHIL,2010,Introduction to Philosophy,3.,Lecture 3.,,,,,It has been rumored that the unexamined life is not worth living. Philosophy is an attempt to begin examining life by considering such questions as: What makes us human? What is the world ultimately like? How should we relate to other people? Is there a god? How can we know anything about these questions? Understanding questions of this kind and proposed answers to them is what this course is all about.,"Fall, Spring, Summer",https://catalog.iastate.edu/azcourses/phil/
PHIL,2060,Introduction to Logic and Scientific Reasoning,3.,Lecture 3.,,,,,Basic principles of critical reasoning and argument evaluation. A consideration of basic forms of argumentation in science and everyday life. Application to contemporary issues and controversies.,Fall,https://catalog.iastate.edu/azcourses/phil/
PHIL,2070,Introduction to Symbolic Logic,3.,Lecture 3.,,,,,Introduction to fundamental logical concepts and logical symbolism. Development of natural deduction through first order predicate logic with identity. Applications to arguments in ordinary English and to philosophical issues. Linguistics majors should take LING/ PHIL 2070 as early as possible.,"Fall, Spring",https://catalog.iastate.edu/azcourses/phil/
PHIL,2300,Moral Theory and Practice,3.,Lecture 3.,,,,,"Investigation of moral issues in the context of major ethical theories of value and obligation; e.g., punishment, abortion, economic justice, job discrimination, world hunger, and sexual morality. Emphasis on critical reasoning and argument analysis.","Fall, Spring, Summer",https://catalog.iastate.edu/azcourses/phil/
PHIL,2350,Ethical Issues in a Diverse Society,3.,Lecture 3.,,,,,"This course will examine a range of arguments on diversity issues. Topics will include: the social status of women, the moral status of sexuality and homosexuality, the nature and role of racism in contemporary society, the relationship between biology, gender roles and social status, and various proposals for change from a variety of political perspectives. Meets U.S. Cultures and Communities Requirement.","Fall, Spring",https://catalog.iastate.edu/azcourses/phil/
PHIL,3100,Ancient Philosophy,3.,Lecture 3.,,,,3 credits in PHIL or Permission of Instructor,"Survey of ancient Greek philosophy, focusing on the pre-Socratics, Plato, and Aristotle. Questions concerning being, knowledge, language, and the good life are treated in depth.",Fall,https://catalog.iastate.edu/azcourses/phil/
PHIL,3140,17th Century Philosophy,3.,Lecture 3.,,,,,"Readings from philosophers such as Hobbes, Descartes, Spinoza, Leibniz, and Locke. Changing conceptions of knowledge, self, and deities in response to Galileo's new science and post-reformation challenge to ecclesiastical authority. Offered even-numbered years.",Spring,https://catalog.iastate.edu/azcourses/phil/
PHIL,3150,18th Century Philosophy,3.,Lecture 3.,,,,,"Readings from philosophers such as Berkeley, Hume, and Kant. Development of Enlightenment thought. Issues include idealism, causation, freedom, and knowledge regarding science, ethics, and deities. Offered odd-numbered years.",Spring,https://catalog.iastate.edu/azcourses/phil/
PHIL,3160,19th Century Continental Philosophy,3.,Lecture 3.,,,,3 credits in PHIL or Permission of Instructor,"The thought of Hegel, Marx, Nietzsche, and their contemporaries. Various perspectives on the philosophy of history, the nature of reason and subjectivity, the contrast between dialectical and nondialectical philosophy, and the relationship between philosophy and society.",Fall,https://catalog.iastate.edu/azcourses/phil/
PHIL,3170,"Truth, Meaning, and Necessity",3.,Lecture 3.,,,,3 credits in PHIL,"Major movements in recent and contemporary philosophy such as realism, logical positivism, ordinary language philosophy, and naturalism. Russell, Wittgenstein, Quine and other leading figures. Topics include knowledge of the material world, mind, language, values, and philosophical method. PHIL 2010 recommended.",Spring,https://catalog.iastate.edu/azcourses/phil/
