subject_code,course_number,title_name,credits,contact_hours,cross_listed,dual_listed,repeatable,prerequisites,description,typically_offered,source_url
PHYS,0500,Intro Physics Prep,0.,Lecture 3.,,,,,"An in‐depth active learning experience designed to impart the fundamental concepts and principles of physics, with an emphasis on applied mathematical techniques and logical thinking. For students intending to enroll in classical physics ( PHYS 2310 /2320) who have not taken high school physics, who have not had a high school college preparatory physics course, or who need a review of physics problem solving and physics concepts. 1 year high school algebra recommended.","Fall, Spring",https://catalog.iastate.edu/azcourses/phys/
PHYS,1010,Physics for the Nonscientist,3.,Lecture 3.,,,,,Survey of the principal areas of both classical and modern physics. Emphasis on the nature of the physical universe and the application of physical principles to life in the modern world.,"Fall, Spring, Summer",https://catalog.iastate.edu/azcourses/phys/
PHYS,1020L,Physical Sciences for Elementary Education,3.,"Lecture 1, Laboratory 4.",,,,,"Physical science principles for future elementary teachers. Emphasis on experiments that address current elementary science education standards and that are appropriate for their future students to do, such as measurements of mass, length, time, light from atoms, charge and current, motion due to forces, energy and work, heat, waves, optics, building bridges and making musical instruments, studying states of matter and chemical reactions.","Fall, Spring",https://catalog.iastate.edu/azcourses/phys/
PHYS,1150,Physics for the Life Sciences,4.,"Lecture 3, Discussion 1.",,,,,"Emphasis on basic physics principles applied to biological problems. Topics include mechanics, fluids, thermodynamics, heat, light, sound, electricity and magnetism. A coordinated laboratory, PHYS 1150L laboratory is available. 1.5 yr. HS algebra, 1 yr. HS geometry, 1 semester HS trigonometry recommended.","Fall, Spring",https://catalog.iastate.edu/azcourses/phys/
PHYS,1150L,Laboratory in Physics for the Life Sciences,1.,Laboratory 2.,,,,Credit or enrollment in PHYS 1150,"Experiments related to the elementary topics of physics for the life sciences. Mechanics, fluids, thermodynamics, heat, light, sound, electricity and magnetism.","Fall, Spring",https://catalog.iastate.edu/azcourses/phys/
PHYS,1310,General Physics I,4.,"Lecture 3, Discussion 1.",,,,,"General background in physical concepts, principles, and methods for those who do not plan advanced study in physics or engineering. Mechanics, fluids, heat and thermodynamics, vibrations, waves, sound. 1.5 yr. HS algebra, 1 yr. HS geometry, 1 semester HS trigonometry recommended.","Fall, Spring, Summer",https://catalog.iastate.edu/azcourses/phys/
PHYS,1310L,General Physics I Laboratory,1.,Laboratory 2.,,,,Credit or enrollment in PHYS 1310,"Laboratory experiments in elementary kinematics, work and energy, conservation laws, rotational motion, waves and fluids. 1.5 yr. HS algebra, 1 yr. HS geometry, 1 semester HS trigonometry recommended.","Fall, Spring, Summer",https://catalog.iastate.edu/azcourses/phys/
PHYS,1320,General Physics II,4.,"Lecture 3, Discussion 1.",,,,PHYS 1310 or PHYS 2310,"General background in physical concepts, principles, and methods for those who do not plan advanced study in physics or engineering. Electricity and magnetism, ray and wave optics, topics in modern physics.","Fall, Spring, Summer",https://catalog.iastate.edu/azcourses/phys/
PHYS,1320L,General Physics II Laboratory,1.,Laboratory 2.,,,,Credit or enrollment in PHYS 1320,"Laboratory experiments in Electricity and Magnetism, Wave and Optics.","Fall, Spring, Summer",https://catalog.iastate.edu/azcourses/phys/
PHYS,1320Q,Ap - General Physics II Laboratory,0-99.,Laboratory 2.,,,,,,,https://catalog.iastate.edu/azcourses/phys/
PHYS,1990,Introductory Seminar,1.,,,,,,"Gain experience in key skills that physicists/astronomers use routinely, but are rarely explicitly taught in formal courses. Participate in faculty-led discussions on frontier areas and careers. Offered on a satisfactory-fail basis only.",Fall,https://catalog.iastate.edu/azcourses/phys/
PHYS,2310,Introduction to Classical Physics I,4.,"Discussion 1, Lecture 3.",,,,[ MATH 1650 OR ( MATH 1630X AND 1640X)] AND Credit or concurrent enrollment in MATH 1660,"Tailored toward engineering majors (For a broader set of physics topics consider PHYS 2410 ). 3 hours of lecture each week plus 1 recitation each week. Review of basic vector manipulation, elementary mechanics including kinematics and dynamics of particles, work and energy, linear andangular momentum, conservation laws, rotational motion, oscillations, gravitation. .","Fall, Spring, Summer",https://catalog.iastate.edu/azcourses/phys/
PHYS,2310H,Introduction to Classical Physics I: Honors,4.,"Lecture 3, Discussion 1.",,,,[ MATH 1650 OR ( MATH 1630X AND 1640X)]; Credit or concurrent enrollment in MATH 1660 ; Membership in the University Honors Program,"Tailored toward engineering majors (For a broader set of physics topics consider PHYS 2410 ). 3 hours of lecture each week plus 1 recitation each week. Review of basic vector manipulation, elementary mechanics including kinematics and dynamics of particles, work and energy, linear andangular momentum, conservation laws, rotational motion, oscillations, gravitation.","Fall, Spring, Summer",https://catalog.iastate.edu/azcourses/phys/
PHYS,2310L,Introduction to Classical Physics I Laboratory,1.,Laboratory 2.,,,,MATH 1650 AND (credit or enrollment in MATH 1660 ) AND (credit or concurrent enrollment in PHYS 2310 or PHYS 2410 ),"Laboratory experiments in elementary kinematics, work and energy, conservation laws, and rotational motion. Proficiency in algebra, trigonometry, vector manipulation required.","Fall, Spring, Summer",https://catalog.iastate.edu/azcourses/phys/
PHYS,2310Q,Ap - Introduction to Classical Physics I Laboratory,0-99.,Laboratory 2.,,,,,,,https://catalog.iastate.edu/azcourses/phys/
PHYS,2320,Introduction to Classical Physics II,4.,"Discussion 1, Lecture 3.",,,,MATH 1660 ; PHYS 2310 or PHYS 2410,"3 hours of lecture each week plus 1 recitation each week. Electric forces and fields; Electrical currents; DC circuits; Magnetic forces and fields; LR, LC, LCR circuits; AC circuits.","Fall, Spring, Summer",https://catalog.iastate.edu/azcourses/phys/
PHYS,2320H,Introduction to Classical Physics II: Honors,4.,"Lecture 3, Discussion 1.",,,,MATH 1660 ; PHYS 2310 or PHYS 2410 ; Membership in the University Honors Program,"3 hours of lecture each week plus 1 recitation each week. Electric forces and fields; Electrical currents; DC circuits; Magnetic forces and fields; LR, LC, LCR circuits; AC circuits.","Fall, Spring",https://catalog.iastate.edu/azcourses/phys/
PHYS,2320L,Introduction to Classical Physics II Laboratory,1.,Laboratory 2.,,,,MATH 1660 AND (Credit or concurrent enrollment in PHYS 2320 or PHYS 2420 ),"Laboratory experiments in fluid dynamics, electric forces and fields, electrical currents, DC circuits, magnetic forces and fields, and wave optics.","Fall, Spring, Summer",https://catalog.iastate.edu/azcourses/phys/
PHYS,2410,Principles and Symmetries in Classical Physics I,5.,"Lecture 3, Discussion 1.5, Laboratory 1.",,,,MATH 1650 ; credit or concurrent enrollment in MATH 1660,"Covers all of mechanics; kinematics and dynamics of particles, work and energy, linear and angular momentum, conservation laws, rotational motion, oscillations, gravitation, and extremum principles. Topics in kinetic theory, thermodynamics, waves and sound. Proficiency in algebra, trigonometry, vector manipulation required.",Fall,https://catalog.iastate.edu/azcourses/phys/
PHYS,2410H,Principles and Symmetries in Classical Physics I: Honors,5.,"Lecture 3, Discussion 1.5, Laboratory 1.",,,,[ MATH 1650 OR ( MATH 1630X AND 1640X)]; Credit or concurrent enrollment in MATH 1660 ; Membership in the University Honors Program,"Covers all of mechanics; kinematics and dynamics of particles, work and energy, linear and angular momentum, conservation laws, rotational motion, oscillations, gravitation, and extremum principles. Topics in kinetic theory, thermodynamics, waves and sound. Proficiency in algebra, trigonometry, vector manipulation required.",Fall,https://catalog.iastate.edu/azcourses/phys/
PHYS,2420,Principles and Symmetries in Classical Physics II,5.,"Lecture 3, Discussion 1, Laboratory 2.",,,,PHYS 2310 or PHYS 2410 ; credit or concurrent enrollment in MATH 1660,"Fluid dynamics, electrostatics, potentials and fields, currents, fields of moving charges, the magnetic field, electromagnetic induction, DC and AC circuits, Maxwell's equations and electromagnetic waves, electric and magnetic fields in matter. Topics in optics and special relativity.",Spring,https://catalog.iastate.edu/azcourses/phys/
PHYS,2420H,Principles and Symmetries in Classical Physics II: Honors,5.,"Lecture 3, Discussion 1, Laboratory 2.",,,,PHYS 2310 or PHYS 2410 ; credit or concurrent enrollment in MATH 1660 ; Membership in University Honors Program,"Fluid dynamics, electrostatics, potentials and fields, currents, fields of moving charges, the magnetic field, electromagnetic induction, DC and AC circuits, Maxwell's equations and electromagnetic waves, electric and magnetic fields in matter. Topics in optics and special relativity.",Spring,https://catalog.iastate.edu/azcourses/phys/
PHYS,2900,Independent Study,1-4.,,,,True,Instructor Permission for Course,Offered on a satisfactory-fail basis only.,"Fall, Spring, Summer",https://catalog.iastate.edu/azcourses/phys/
PHYS,2990,Intermediate Seminar,1-2.,Lecture 2.,,,,,Conduct research or an independent study on topics in physics and astronomy. Learn science communication skills that physicists and astronomers use routinely. Offered on a satisfactory-fail basis only.,Spring,https://catalog.iastate.edu/azcourses/phys/
PHYS,3020,The Challenge of Contemporary Physics,3.,Lecture 3.,,,,Sophomore classification,"A largely nonmathematical but intellectually challenging exploration of physics, which assumes no previous work in the field. Selected material from classical and modern physics establishes the conceptual framework for the study of major areas of contemporary physics, culminating in the discussion of topics at the frontier of present knowledge. Topics vary yearly and may include quarks, lasers, superconductivity, fission and fusion, solid state devices, gravitational waves, string theory, facilities, left handed materials, and quantum computing.",Spring,https://catalog.iastate.edu/azcourses/phys/
PHYS,3040,Thermal Physics,3.,Lecture 3.,,,,( MATH 2660 or MATH 2670 ); ([ PHYS 2320 ; PHYS 2320L ] or [ PHYS 2420 ]),"Concepts of temperature, entropy, and other characteristic thermodynamic functions, with application to macroscopic properties of matter. The laws of thermodynamics. Introduction to statistical mechanics, including quantum statistics. Application to black body radiation, crystalline vibrations, magnetic ions in solids, electronic heat capacity of metals. Phase transformations and chemical reactions.",Spring,https://catalog.iastate.edu/azcourses/phys/
PHYS,3100,Electronic Instrumentation for Experimental Physics,4.,"Lecture 2, Laboratory 4.",,,,MATH 1660 ; ([ PHYS 2320 ; PHYS 2320L ] or [ PHYS 2420 ]),"Common electrical instruments; power supplies; transducers; passive and active devices, analog integrated circuits, including filters and amplifiers; digital integrated circuits; signal transmission and enhancement.",Fall,https://catalog.iastate.edu/azcourses/phys/
PHYS,3110,Intermediate Laboratory,1-2.,Laboratory 6.,,,True,PHYS 3220,Experiments in classical and modern physics performed independently by each student.,Spring,https://catalog.iastate.edu/azcourses/phys/
PHYS,3110T,Intermediate Laboratory for Secondary Physics Teachers,3.,Laboratory 6.,,,True,( PHYS 1320 ; PHYS 1320L ) or ( PHYS 2320 or PHYS 2320H ; PHYS 2320L ) or PHYS 2420,Experiments in classical and modern physics performed independently by each student. For students preparing for a career in high school teaching.,Spring,https://catalog.iastate.edu/azcourses/phys/
PHYS,3210,Introduction to Modern Physics I,3.,Lecture 3.,,,,Credit or concurrent enrollment in ( MATH 2660 or MATH 2670 ); ([ PHYS 2320 ; PHYS 2320L ] or [ PHYS 2420 or PHYS 2420H ]),"Quantum nature of matter: photons, de Broglie's postulate: wave-like properties of matter; Bohr's model of hydrogen atom; Schrodinger equations in one dimension: energy quantization; detailed solutions for potential steps, barriers and wells; one-electron atoms, spin and magnetic interactions; ground states, optical and x-ray excitations of multi-electron atoms.",Fall,https://catalog.iastate.edu/azcourses/phys/
PHYS,3210L,Introductory Laboratory in Modern Physics I,1.,Laboratory 2.,,,,Credit or enrollment in PHYS 3210,"Experiments related to the foundations of modern physics. The dual wave and particle character of electrons and photons, statistics, interferometry and x-ray spectroscopy.",Fall,https://catalog.iastate.edu/azcourses/phys/
PHYS,3220,Introduction to Modern Physics II,3.,Lecture 3.,,,,PHYS 3210,"Quantum statistics; lasers; physics of molecules. Properties of solids, including electron band structure, superconductivity and magnetism. Nuclear physics, including nuclear sizes and masses, stability, decay modes, reactions, fission and fusion. Elementary particles, including strangeness, charm, and quarks. Fundamental forces of nature.",Spring,https://catalog.iastate.edu/azcourses/phys/
PHYS,3220L,Introductory Laboratory in Modern Physics II,1.,Laboratory 2.,,,,Credit or enrollment in PHYS 3220,"Experiments related to the foundations of modern physics. Radioactive decay, elementary particles, Hall effect, quantization, spectroscopy, statistics and instrumentation.",Spring,https://catalog.iastate.edu/azcourses/phys/
PHYS,3610,Classical Mechanics,3.,Lecture 3.,,,,MATH 2650 ; credit or concurrent enrollment in ( MATH 2660 or MATH 2670 ); ([PHYS 2220 or PHYS 2220H] or [ PHYS 2320 or PHYS 2320H ; PHYS 2320L ] or [ PHYS 2420 or PHYS 2420H ]),"Newtonian mechanics including forced oscillations, central forces and orbital motion, collisions, moving frames of reference, Lagrange's equations.",Spring,https://catalog.iastate.edu/azcourses/phys/
PHYS,3620,Intermediate Mechanics,3.,Lecture 3.,,,,PHYS 3610,"Rigid body motion; small oscillations, normal modes. Special relativity including length contraction, time dilation, simultaneity, Lorentz transformation, 4-vector covariant formalism, relativistic mechanics.",Fall,https://catalog.iastate.edu/azcourses/phys/
PHYS,3640,Electricity and Magnetism I,3.,Lecture 3.,,,,( MATH 2660 or MATH 2670 ); ([ PHYS 2320 ; PHYS 2320L ] or [ PHYS 2420 ]),"Static electric and magnetic fields, potential theory; electromagnetism, Maxwell's equations.",Fall,https://catalog.iastate.edu/azcourses/phys/
PHYS,3650,Electricity and Magnetism II,3.,Lecture 3.,,,,PHYS 3640 and MATH 3850,Relativistic electromagnetic theory; radiation and propagation of electromagnetic waves; interaction with matter.,Spring,https://catalog.iastate.edu/azcourses/phys/
PHYS,3990,Seminar on Secondary School Physics,1-2.,Lecture 2.,,,True,Instructor Permission for Course,Review of materials and curricula for secondary school physics presented and discussed by members of the class. Required for approval to teach physics in secondary schools.,Spring,https://catalog.iastate.edu/azcourses/phys/
PHYS,4210,Ultrafast Laser Science and Spectroscopy,3.,Lecture 3.,,,,(PHYS 3210; PHYS 3650) or Permission of Instructor,"Introduction to ultrafast lasers, nonlinear optics, and their applications. Topics selected from: basic optics, atom-photon interactions, electrodynamics of condensed matter, laser physics, ultrafast and nonlinear optics, ultrashort pulse generation, broadband pulse generation, time-resolved spectroscopy and instrumentation.",Fall,https://catalog.iastate.edu/azcourses/phys/
PHYS,4220,Foundations of Quantum Computing,3.,Lecture 3.,,,,,Overview of quantum computation and quantum information processing from a physics perspective. Introduction to classical computation; primer on quantum mechanics; quantum circuits and quantum algorithms; physical realizations; applications and near-term quantum algorithms. Previous coursework equivalent to MATH 2070 (Matrices and Linear Algebra) or MATH 3170 (Theory of Linear Algebra) is necessary for success in this course.,Spring,https://catalog.iastate.edu/azcourses/phys/
PHYS,4320,Molecular and Cell Biophysics,3.,Lecture 3.,,,,,"Quantitative description of biological systems using basic physical laws, including a brief discussion of a variety of biophysical techniques. Topics include: thermodynamics, chemical equilibrium, gene expression, structure and physical properties of nucleic acids and proteins, folding of nucleic acids and proteins, chemical kinetics, catalysis, allosteric enzymes, cell membrane structure and physical properties, and machines in cell membranes. Previous coursework equivalent to PHYS 3040 (Thermal Physics) or CHEM 3250 (Chemical Thermodynamics) is necessary for success in this course.",Spring,https://catalog.iastate.edu/azcourses/phys/
PHYS,4500,Undergraduate Research,1-6.,,,,True,Instructor Permission for Course,Theoretical research under supervision of physics faculty. Offered on a satisfactory-fail basis only.,"Fall, Spring, Summer",https://catalog.iastate.edu/azcourses/phys/
PHYS,4500L,Undergraduate Research,1-6.,,,,True,PHYS 3220L; Permission of Instructor,Laboratory project under supervision of physics faculty. Offered on a satisfactory-fail basis only.,"Fall, Spring, Summer",https://catalog.iastate.edu/azcourses/phys/
PHYS,4510X,Computational Physics,3.,"Laboratory 2, Lecture 2.",,,,PHYS 3650 and Credit or Enrollment in PHYS 4810,Use of computational methods to solve complex problems in physics and carry out data analysis. Some programming experience is highly recommended.,Spring,https://catalog.iastate.edu/azcourses/phys/
PHYS,4800,Quantum Mechanics I,3.,Lecture 3.,,,,"MATH 3850 , PHYS 3210",First semester of a full-year course. A systematic development of the formalism and applications of quantum mechanics. Solutions to the time independent Schrodinger equation for various one-dimensional potentials including the harmonic oscillator; operator methods; Heisenberg picture; angular momentum; the hydrogen atom; spin; symmetry properties.,Fall,https://catalog.iastate.edu/azcourses/phys/
PHYS,4810,Quantum Mechanics II,3.,Lecture 3.,,,,PHYS 4800,Continuation of 4800. Addition of angular momentum; charged particles in electromagnetic fields; time-independent perturbation theory; variational principles; WKB approximation; interaction picture; time-dependent perturbation theory; adiabatic approximation; scattering; selected topics in radiation theory; quantum paradoxes.,"Fall, Spring, Summer",https://catalog.iastate.edu/azcourses/phys/
PHYS,4900,Independent Study,1-4.,,,,True,6 credits in PHYS; Permission of Instructor,Graduation Restriction: No more than 9 credits of PHYS 4900 may be counted toward graduation. Offered on a satisfactory-fail basis only.,"Fall, Spring, Summer",https://catalog.iastate.edu/azcourses/phys/
PHYS,4900H,Independent Study: Honors,1-4.,,,,True,6 credits in PHYS; Permission of Instructor; Membership in the University Honors Program,Graduation Restriction: No more than 9 credits of PHYS 4900 may be counted toward graduation. Offered on a satisfactory-fail basis only.,"Fall, Spring, Summer",https://catalog.iastate.edu/azcourses/phys/
PHYS,4960,Modern Optics,3.,Lecture 3.,,,,"(Credit or enrollment in PHYS 3220 , PHYS 3650 , and PHYS 4800 ) OR Graduate Standing","Review of wave and electromagnetic theory; topics selected from: reflection/refraction, interference, geometrical optics, Fourier analysis, dispersion, coherence, Fraunhofer and Fresnel diffraction, holography, quantum optics, nonlinear optics.",Fall,https://catalog.iastate.edu/azcourses/phys/
PHYS,5010,Oral Communication of Physics Seminar,1.,Lecture 1.,,,True,Graduate Standing or Permission of Instructor,A practical introduction to communication methods in physics and astronomy classrooms and professional settings. For graduate physics majors only. Offered on a satisfactory-fail basis only.,"Fall, Spring, Summer",https://catalog.iastate.edu/azcourses/phys/
PHYS,5020,Introductory Research Seminar,Required.,Lecture 1.,,,,Graduate Standing or Permission of Instructor,"Discussion by research staff of their research areas, expected thesis research work, and opportunities in the field. For graduate physics majors only. Offered on a satisfactory-fail basis only.",Fall,https://catalog.iastate.edu/azcourses/phys/
PHYS,5110,Condensed Matter Physics I,3.,Lecture 3.,,,,Graduate Standing or Permission of Instructor,First semester of a full-year course. Free electron model; crystal symmetry; band theory of solids; transport properties; Fermi surface; phonons; semiconductors; crystal surfaces; magnetism; superconductivity. Previous coursework equivalent to PHYS 3040 (Thermal Physics) is necessary. Previous or current enrollment in PHYS 4810 (Quantum Mechanics II) is encouraged.,"Fall, Spring, Summer",https://catalog.iastate.edu/azcourses/phys/
PHYS,5120,Condensed Matter Physics II,3.,Lecture 3.,,,,PHYS 5110,Continuation of 5110. Free electron model; crystal symmetry; band theory of solids; transport properties; Fermi surface; phonons; semiconductors; crystal surfaces; magnetism; superconductivity.,"Fall, Spring, Summer",https://catalog.iastate.edu/azcourses/phys/
PHYS,5220,Foundations of Quantum Computing,3.,Lecture 3.,,,,Graduate Standing or Permission of Instructor,Overview of quantum computation and quantum information processing from a physics perspective. Introduction to a classical computation; primer on quantum mechanics; quantum circuits and quantum algorithms; physical realizations; applications and near-term quantum algorithms. Previous coursework equivalent to MATH 2070 (Matrices and Linear Algebra) or MATH 3170 (Theory of Linear Algebra) is necessary for success in this course.,"Fall, Spring, Summer",https://catalog.iastate.edu/azcourses/phys/
