subject_code,course_number,title_name,credits,contact_hours,cross_listed,dual_listed,repeatable,prerequisites,description,typically_offered,source_url
PLP,4080,Principles of Plant Path,3.,"Lecture 2, Laboratory 2.",,,,,"Principles underlying the nature, diagnosis, and management of plant diseases. Laboratory complements lecture topics and provides experience in plant disease diagnosis.","Fall, Spring",https://catalog.iastate.edu/azcourses/pl_p/
PLP,4160,Forest Insects and Diseases,3.,"Lecture 2, Laboratory 2.",,,,,Nature of insects and pathogens of forest and shade trees; their role in the dynamics of natural and managed forest ecosystems; and the management of indigenous and exotic pests. Laboratory experience working with insect and fungal pests of trees.,Fall,https://catalog.iastate.edu/azcourses/pl_p/
PLP,4520,Integrated Management of Diseases and Insect Pests of Turfgrasses,3.,Lecture 3.,,,,HORT 3510,Identification and biology of important diseases and insect pests of turfgrasses. Development of integrated pest management programs in various turfgrass environments. Offered even-numbered years.,Spring,https://catalog.iastate.edu/azcourses/pl_p/
PLP,4770,Bacterial-Plant Interactions,3.,Lecture 3.,,,,3 credits in MICRO or PLP,"Overview of plant-associated bacteria including their ecology, diversity, and the physiological and molecular mechanisms involved with their interactions with plants. The course covers bacterial plant pathogens and pathogenesis, nitrogen fixation and plant symbioses, biological control and plant growth promotion, bacterial disease diagnosis and management, and approaches to the study of microbial communities in the rhizosphere and on leaves. Offered even-numbered years.",Spring,https://catalog.iastate.edu/azcourses/pl_p/
PLP,4900A,Independent Study: Plant Pathology,1-3.,,,,True,7 credits in BIOL; Junior or Senior classification; Permission of Instructor,Graduation Restriction: A maximum of 6 credits of PLP 4900 may be used toward the total of 128 credits required for graduation.,"Fall, Spring, Summer",https://catalog.iastate.edu/azcourses/pl_p/
PLP,4900H,Independent Study: Honors,1-3.,,,,True,7 credits in BIOL; Junior or Senior classification; Permission of Instructor; Membership in the University Honors Program,Graduation Restriction: A maximum of 6 credits of PLP 4900 may be used toward the total of 128 credits required for graduation.,"Fall, Spring, Summer",https://catalog.iastate.edu/azcourses/pl_p/
PLP,4940,Seed Pathology,2.,Lecture 2.,,,,PLP 4080,"Significance of biotic and abiotic diseases that affect the production and utilization of seeds, during each phase of the seed life cycle: growing, harvesting, conditioning, storing, and planting seed. Mechanisms of seed infection and seed-to-seedling transmission are considered for fungi, bacteria, viruses/viroids, and nematodes. Aspects of epidemiology, management, and host-pathogen relationships are discussed. Emphases include the role of seed health testing in the global seed industry for quality control and phytosanitary certification, as well as the use of seed treatments to mage seedborne and soilborne pathogens and pests. Concurrent enrollment in PLP 4940L /5940L (Seed Pathology Laboratory) is strongly encouraged (on-campus students only). Graduation Restriction: Credit may not be obtained for both PLP/STB 5920 and PLP 5940 . Offered odd-numbered years.",Fall,https://catalog.iastate.edu/azcourses/pl_p/
PLP,4940L,Seed Pathology Laboratory,1.,Laboratory 3.,,,,PLP 4080,Laboratory in seed pathology. Seed health testing methods; effects of seed treatments and seed conditioning on seedborne pathogens. Offered odd-numbered years.,Fall,https://catalog.iastate.edu/azcourses/pl_p/
PLP,4950X,Plant Pathology Travel Course Preparation,2.,Lecture 2.,,,,"Minimum 2.0 GPA AND Sophomore, Junior, Senior or Graduate Classification","Topics include preparation for safe international travel, agricultural production and associated diseases, as well as the country's history and culture. Students enroll in this course the term immediately before travel to the foreign country for PLP 4960X.",Spring,https://catalog.iastate.edu/azcourses/pl_p/
PLP,5060,Plant-Pathogen Interactions,2.,Lecture 2.,,,,(BIOL 3130 and PLP 4080 or PLP 4160) or Graduate Classification,Introduction to mechanisms of plant-parasite interaction. Genetics and molecular genetics of plant disease resistance and pathogenicity. Offered odd-numbered years.,Spring,https://catalog.iastate.edu/azcourses/pl_p/
