subject_code,course_number,title_name,credits,contact_hours,cross_listed,dual_listed,repeatable,prerequisites,description,typically_offered,source_url
PSYCH,1010,Introduction to Psychology,3.,"Lecture 2, Discussion 1.",,,,,Fundamental psychological concepts derived from the application of the scientific method to the study of behavior and mental processes. Applications of psychology.,"Fall, Spring, Summer",https://catalog.iastate.edu/azcourses/psych/
PSYCH,1020,Laboratory in Introductory Psychology,1.,Laboratory 2.,,,,Credit or concurrent enrollment in PSYCH 1010,Laboratory to accompany 1010.,"Fall, Spring",https://catalog.iastate.edu/azcourses/psych/
PSYCH,1110,Orientation to Psychology,1.,Lecture 1.,,,,,Program requirements and degree/career options. Required of psychology majors.,"Fall, Spring",https://catalog.iastate.edu/azcourses/psych/
PSYCH,1120,Psychology Learning Community Seminar,1.,Lecture 1.,,,True,,"Topics include orientation to academic program requirements, career awareness, strategies for successful transition to college, connections with other disciplines, and applying psychology via service learning opportunities.","Fall, Spring",https://catalog.iastate.edu/azcourses/psych/
PSYCH,1310,Academic Learning Skills,1.,Lecture 1.,,,,,"Evidence-based approach to learning and applying academic skills such as time management, note-taking, reading, test preparation, goal setting and motivation, and well-being. Hybrid course structured in a team-based learning format.","Fall, Spring",https://catalog.iastate.edu/azcourses/psych/
PSYCH,2110,Career Opportunities in Psychology,1.,Lecture 1.,,,,PSYCH 1110 or PSYCH 1120 or Sophomore classification,"Introduction to career options for psychology majors. Development of foundational career preparation topics like resume writing, interviewing, and other career-related topics. Thorough introduction to the sub-fields of psychology. Guidance on applying to graduate school or seeking a job with a bachelor's degree.","Fall, Spring",https://catalog.iastate.edu/azcourses/psych/
PSYCH,2210X,Clinical Psychology,3.,Lecture 3.,,,True,PSYCH 1010,"Overview of the field of clinical psychology. Readings, small group work, class discussion, lectures, and videos to describe the field of clinical psychology.",,https://catalog.iastate.edu/azcourses/psych/
PSYCH,2300,Developmental Psychology,3.,Lecture 3.,,,,,"Life-span development of physical traits, cognition, intelligence, language, social and emotional behavior, personality, and adjustment.","Fall, Spring, Summer",https://catalog.iastate.edu/azcourses/psych/
PSYCH,2400X,Psychology and the Good Life,3.,Lecture 3.,,,,,"This course aims to acquaint students with basic research and theory on positive psychology and increase skills related to life adjustment and self-care through assignments, reflection, and class discussion.","Fall, Spring, Summer",https://catalog.iastate.edu/azcourses/psych/
PSYCH,2500,Psychology of the Workplace,3.,Lecture 3.,,,,,"Survey of theories and research methods of psychology applied to the workplace. Consideration of employee selection, training, performance evaluation, leadership, work groups, employee motivation, job attitudes and behaviors, organizational culture, organizational development, human factors, and job design from the scientist-practitioner approach.",,https://catalog.iastate.edu/azcourses/psych/
