subject_code,course_number,title_name,credits,contact_hours,cross_listed,dual_listed,repeatable,prerequisites,description,typically_offered,source_url
RESEV,5500,Introduction to Educational Research,3.,Lecture 3.,,,,Graduate Standing or Permission of Instructor,Understanding the nature of quantitative and qualitative research; reviewing the literature; developing research problems and questions; research designs; data collection and analysis issues; evaluating research studies.,"Fall, Spring, Summer",https://catalog.iastate.edu/azcourses/resev/
RESEV,5520,Basic Educational Statistics,3.,Lecture 3.,,,,Graduate Standing or Permission of Instructor,"Statistical concepts and procedures for analyzing educational data; descriptive statistics, correlation, t tests, and chi square with computer applications.",Fall,https://catalog.iastate.edu/azcourses/resev/
RESEV,5530,Intermediate Educational Statistics,3.,Lecture 3.,,,,Graduate Standing or Permission of Instructor,"A continuation of statistical concepts and procedures for analyzing educational data, using multiple regression and logistic regression.",,https://catalog.iastate.edu/azcourses/resev/
RESEV,5540,Intermediate Research Methods,3.,Lecture 3.,,,,Graduate Standing or Permission of Instructor,"Intermediate quantitative research methodology in preparation for carrying out thesis and dissertation research, with an emphasis on the estimation of causal effects using observational data.","Fall, Summer",https://catalog.iastate.edu/azcourses/resev/
RESEV,5700,Surveys in Educational Research,3.,Lecture 3.,,,,Graduate Standing or Permission of Instructor,"Examination of survey design and administration in educational research. Designing surveys; developing, evaluating, and asking survey questions; survey sampling; measuring survey reliability and validity; administering mail and web surveys; decreasing survey nonresponse; conducting post-collection survey data processing; conducting survey research with integrity.",Spring,https://catalog.iastate.edu/azcourses/resev/
RESEV,5800,Introduction to Qualitative Research Methodology,3.,Lecture 3.,,,,Graduate Standing or Permission of Instructor,"Qualitative research in the human sciences, emphasizing education; principles of qualitative inquiry, including theoretical foundations, research design, and fieldwork.","Fall, Spring, Summer",https://catalog.iastate.edu/azcourses/resev/
RESEV,5900,Special Topics,1-3.,,,,True,Instructor Permission for Course,Guided reading and in research and evaluation study on special topic.,"Fall, Spring, Summer",https://catalog.iastate.edu/azcourses/resev/
RESEV,5910,Supervised Field Experience,2-4.,,,,True,RESEV 5530 or RESEV 6800 ; and Permission of Instructor,Supervised on the job field experience.,,https://catalog.iastate.edu/azcourses/resev/
RESEV,5930,Workshop,1-3.,Lecture 3.,,,True,Graduate Standing or Permission of Instructor,"Intensive, concentrated exposure to a special educational research or evaluation problem.","Fall, Spring, Summer",https://catalog.iastate.edu/azcourses/resev/
RESEV,5970,Program Assessment and Evaluation,3.,Lecture 3.,,,,Graduate Standing or Permission of Instructor,Evaluation models and professional standards. Techniques of evaluating educational programs. Emphasis on both theory and practical applications.,Spring,https://catalog.iastate.edu/azcourses/resev/
RESEV,6010,Foundations of Educational Inquiry,3.,Lecture 3.,,,,,Required course for all School of Education PhD students that introduces students into the community of educational scholars with a focus on: 1) the history of education as an academic field of study; (2) the philosophical underpinnings of social scientific and educational inquiry; and (3) the contemporary methodological landscape of the field of education.,Fall,https://catalog.iastate.edu/azcourses/resev/
RESEV,6030,Foundations of Qualitative Inquiry in Education,3.,Lecture 3.,,,,,"Focus on the nature of qualitative research, including the ways in which knowledge is produced through qualitative methodologies, the theoretical and epistemological underpinnings of qualitative research, the importance of theoretical and/or conceptual frameworks in qualitative research, and the various methodological approaches to qualitative research.",Spring,https://catalog.iastate.edu/azcourses/resev/
RESEV,6040,Advanced Qualitative Inquiry in Education,3.,Lecture 3.,,,,,Conceptions of data and analysis in qualitative methodologies; focus on applied topics in qualitative data analysis. Combination format of reading and discussion seminars and classroom workshops focusing on individual research projects (not for thesis or dissertation).,Fall,https://catalog.iastate.edu/azcourses/resev/
RESEV,6050X,Introduction to Mixed and Multiple Methods,3.,Lecture 3.,,,True,,Theoretical and practical considerations of designing a mixed methods or multiple methods research study in educational contexts and the broader social sciences.,,https://catalog.iastate.edu/azcourses/resev/
RESEV,6150,Current Topics in Research and Evaluation,1-3.,Lecture 3.,,,True,,,,https://catalog.iastate.edu/azcourses/resev/
RESEV,6800,Critical Qualitative Research,3.,Lecture 3.,,,,,"Feminist, indigenous, critical, queer, and other perspectives are used to raise important questions about qualitative research and help us rethink dilemmas of voice, appropriation, collaboration, and difference, and consider ethical and political issues that arise when engaging in research. Readings and assignments will concentrate on reciprocity, reflexivity, decolonization of research methods, and the necessity of engaging in culturally responsive and ethically informed research, particularly when working with colonized or marginalized communities, and when we aim to produce knowledge in the service of social justice and social change.",Spring,https://catalog.iastate.edu/azcourses/resev/
RESEV,6810,Analytical Approaches in Qualitative Inquiry,3.,Lecture 3.,,,,,"Conceptions of data and analysis in qualitative methodologies; focus on applied topics in qualitative data analysis, such as narrative analysis, ethnographic analysis, life history analysis, postmodern analyses, discourse analysis, arts-based analytical strategies, constructing data; combination format of reading and discussion seminars and classroom workshops focusing on individual research projects (not for thesis or dissertation).",Fall,https://catalog.iastate.edu/azcourses/resev/
RESEV,6900,Advanced Special Topics,1-3.,Lecture 3.,,,True,Instructor Permission for Course,Guided reading and/or study on special topics of an advanced nature.,,https://catalog.iastate.edu/azcourses/resev/
RESEV,6990,Research,1-30.,,,,True,Instructor Permission for Course,,"Fall, Spring, Summer",https://catalog.iastate.edu/azcourses/resev/
