subject_code,course_number,title_name,credits,contact_hours,cross_listed,dual_listed,repeatable,prerequisites,description,typically_offered,source_url
SCIVZ,3230,Scientific Illustration Principles and Techniques,3.,Studio 6.,,,True,Art and Scientific Illustration Visualization Majors AND DSNS 1310 ; ART 2300 ; BIOL 2110 or BIOL 2120 or Permission of Instructor,"Studio basics and professional techniques in black & white, continuous tone, and color. Introduction to professional practice and principles of communicating science through art. Emphasis on tools, materials, and rendering.",,https://catalog.iastate.edu/azcourses/bpm_i/
SCIVZ,3260,Digital Rendering,3.,Studio 6.,,,True,"ART 3230 / SCIVZ 3230 , or permission of the instructor","An introduction to digital illustration software. Application of painting, drawing, and image-making techniques using vector and raster-based programs.",,https://catalog.iastate.edu/azcourses/bpm_i/
SCIVZ,3270,Illustration as Communication,3.,Studio 6.,,,,"ART 3230 / SCIVZ 3230 , or permission of the instructor","Investigation of illustration as a form of communication. Emphasis on problem solving, effective composition, and advancement of rendering skills.",,https://catalog.iastate.edu/azcourses/bpm_i/
SCIVZ,3370,Application of Scientific Illustration Techniques,3.,Studio 6.,,,True,ART 3270 / SCIVZ 3270,Rendering techniques applied to different types of biological and scientific subjects emphasizing communication. The use of traditional and digital media. Term project required.,Spring,https://catalog.iastate.edu/azcourses/bpm_i/
SCIVZ,3400X,Artificial Intelligence (AI) in Art and Design,3.,Studio 6.,,,True,,"Artificial intelligence tools for art and design: strategies, principles, and tools for AI in visual art, applied art, and creative industry practices. The aesthetics of AI systems in creative practices. An overview of working with AI as artistic and visual communication media including using AI and machine learning applications, histories of AI in the arts, generative deep learning systems, supervised and unsupervised machine learning tasks, and integrating AI systems through art and design practices. Producing AI multimedia outputs that include a range of forms from imagery to sound.","Fall, Spring, Summer",https://catalog.iastate.edu/azcourses/bpm_i/
SCIVZ,3950,Field Illustration,1-3.,,,,True,ART 2300 or permission of instructor,"A combination seminar and field trip course emphasizing nature interpretation, field sketching techniques and preparation of a final illustration based on field experience.","Spring, Summer",https://catalog.iastate.edu/azcourses/bpm_i/
SCIVZ,3980,Cooperative Education,Required.,,,,,Junior standing or permission of instructor.,Required of all cooperative education students. Students must register for these courses prior to commencing each work period.,"Fall, Spring, Summer",https://catalog.iastate.edu/azcourses/bpm_i/
SCIVZ,4060,Introduction to 3D Organic Modeling in ZBrush,3.,Studio 6.,,,True,,"Introduction to organic 3D model creation in ZBrush. Digital clay sculpting informed by traditional techniques. 3D printing pipeline. Emphasis on science research and visual design thinking for science communication. Some experience with other 3D modeling software beneficial, but not required.",Spring,https://catalog.iastate.edu/azcourses/bpm_i/
SCIVZ,4700,"Data, Code, and Form",3.,Studio 6.,,,True,,"Data visualization strategies, principles, and tools for encoding data in visual art, applied art, and creative industry practices. The aesthetics of encoded data in creative practices. An overview of working with data as artistic and visual communication media including data acquisition, organization, representation, and interaction with data through art and design. Producing data display outputs that include a range of displays from screen to installation.",Fall,https://catalog.iastate.edu/azcourses/bpm_i/
SCIVZ,4900,Independent Study,1-3.,,,,True,Instructor Permission for Course,,,https://catalog.iastate.edu/azcourses/bpm_i/
SCIVZ,4910,Portfolio Design and Professional Development,2.,,,,True,ART 3270 / SCIVZ 3270,"Portfolio and professional preparation including identity package development, writing and speaking. Career-readiness, professional practice, leadership, networking, exploring research subfields within scientific visualization. Creating print and digital visual materials, learning approaches for entering the field, and developing business practice skills. Final portfolio materials presented at the end of the term.",Spring,https://catalog.iastate.edu/azcourses/bpm_i/
SCIVZ,4940,Special Topics in Illustration,1-3.,,,,True,Instructor Permission for Course,Intensive exploration of illustration techniques in a studio or field setting.,,https://catalog.iastate.edu/azcourses/bpm_i/
SCIVZ,4970,Illustration Internship,1-6.,,,,True,Instructor Permission for Course,Offered on a satisfactory-fail basis only.,,https://catalog.iastate.edu/azcourses/bpm_i/
