subject_code,course_number,title_name,credits,contact_hours,cross_listed,dual_listed,repeatable,prerequisites,description,typically_offered,source_url
SCM,3010,Supply Chain Management,3.,Lecture 3.,,,,ECON 1010 ..,"Introduction to a wide range of supply chain management (SCM) terminology, analytical tools, and theories as related to the supply chain operations reference model (SCOR). The SCOR model focuses on planning, sourcing, making, delivering, returning, and integrating key aspects within SCM. Using an analytical approach to solve real world problems, specific topics include: strategic sourcing, supply management, demand forecasting, inventory management, process management, logistics, process integration, and returns.",,https://catalog.iastate.edu/azcourses/scm/
SCM,3030,Healthcare Quality Management,3.,Lecture 3.,,,,Credit or enrollment in HCM 3010 or FSHN 4300,"Addresses the manager’s role in improving healthcare quality and outcomes, including clinical and organizational improvement, and quality improvement practices. Explores how healthcare delivery systems can better measure outcomes from both patient and organizational perspectives. Analyzes quality improvement programs and examines their adaptability to the healthcare environment.","Fall, Spring",https://catalog.iastate.edu/azcourses/scm/
SCM,3400,Project Management,3.,Lecture 3.,,,,Credit or enrollment in MIS 3010,"Equips students to support team activities in the general project management environment and better manage their careers. Practical experience using project management techniques and tools. Course topics include project initiation and execution, risk assessment, estimating and contracts, planning, human factors, and standard methods.",,https://catalog.iastate.edu/azcourses/scm/
SCM,4240,"Process Management, Analysis, and Improvement",3.,Lecture 3.,,,,SCM 3010,"The design, analysis, and management of production processes to improve performance. Performance measures and their relationships; process design and evaluation; and managerial levers for improving and controlling process performance.",,https://catalog.iastate.edu/azcourses/scm/
SCM,4280,Special Topics in Operations Management,3.,Lecture 3.,,,True,SCM 3010,"In-depth analysis of current issues, problems, and systems in operations management with emphasis on new theoretical and methodological developments. Topics may include in different semesters, supply chain management, productivity and quality improvement, management of technology and innovation, information technology in operations management, quick response manufacturing, and service operations management.",,https://catalog.iastate.edu/azcourses/scm/
SCM,4300,Supply Chain Analytics,3.,Lecture 3.,,,,SCM 3010,"Covers the multifaceted realm of supply chain analytics by exploring descriptive, predictive, and prescriptive analytics methodologies with real-world data across diverse supply chain contexts. Through immersive exercises, students harness the power of analytical insights to inform strategic decision-making and drive operational efficiency. With the training in tools and techniques such as ETL, SQL, Monte Carlo Simulation, Linear Programming, Forecasting, and Python-based machine learning, students gain proficiency in extracting actionable intelligence from complex datasets. Whether deciphering text data or analyzing quantitative metrics, the course fosters a comprehensive understanding of supply chain dynamics.",Spring,https://catalog.iastate.edu/azcourses/scm/
SCM,4340X,Implementing Process Improvement,3.,Lecture 3.,,,True,SCM 4240,Provides hands-on opportunity to practice process improvement drawing on the most frequently used tools from Six Sigma and Lean. Students apply tool in local firms and use them in a final project. Emphasis on the practical application of Six Sigma and Lean techniques.,"Fall, Spring",https://catalog.iastate.edu/azcourses/scm/
SCM,4400,Supply Chain Information Systems,3.,Lecture 3.,,,,"MIS 3010 , SCM 3010","Internal and inter-organizational information systems necessary for a supply chain to achieve competitive advantage. Topics include: design, development, implementation, and maintenance of supply chain information systems; enterprise resource planning; advanced planning and scheduling, manufacturing execution systems; and the interface between manufacturing planning and control processes, logistics processes, and the information system.",,https://catalog.iastate.edu/azcourses/scm/
SCM,4500,Enterprise Resource Planning Systems in Supply Chain,3.,Lecture 3.,,,,( MIS 3010 and SCM 3010 ) or ( IE 1600 and IE 3410 ),Enterprise Resource Planning Systems in Supply Chain.,,https://catalog.iastate.edu/azcourses/scm/
SCM,4530,Supply Chain Planning and Control,3.,Lecture 3.,,,,SCM 3010,"Supply chain planning and control is the process which synchronizes demand with manufacturing and distribution. This course will cover sales and operations planning with emphasis on forecasting, master scheduling, materials requirements planning, inventory management and demand planning. Linking business plans and information systems for integration and distribution channels are also covered.",Fall,https://catalog.iastate.edu/azcourses/scm/
