subject_code,course_number,title_name,credits,contact_hours,cross_listed,dual_listed,repeatable,prerequisites,description,typically_offered,source_url
SOC,1100,Orientation to Agricultural and Rural Policy Studies,1.,Lecture 1.,,,,,Orientation to Agricultural and Rural Policy Studies major. Familiarization with degree requirements. Exploration of career tracks and career planning. Recommended during first semester of freshman year or as soon as possible after transfer into the department.,Fall,https://catalog.iastate.edu/azcourses/soc/
SOC,1150,Orientation to Sociology,1.,Lecture 1.,,,,,"Orientation to sociology. A familiarization with University and LAS College requirements and procedures. Occupational tracks and career options open to sociology; introduction to career planning. Recommended during first semester of freshman year, or as soon as possible after transfer into the department. Offered on a satisfactory-fail basis only.","Fall, Spring",https://catalog.iastate.edu/azcourses/soc/
SOC,1340,Introduction to Sociology,3.,Lecture 3.,,,,,"Overview of sociological thought and research on the sociological imagination, socialization, social control, stratification, institutions, and the forces of social change. Individual lives are placed in social and historical context to better understand our place in the world and our time in history.","Fall, Spring, Summer",https://catalog.iastate.edu/azcourses/soc/
SOC,1340H,Introduction to Sociology: Honors,3.,Lecture 3.,,,,Membership in the University Honors Program,"Social interaction and group behavior with emphasis on the scientific study of contemporary U.S. society, including issues relating to socialization, inequality, and changing rural and urban communities. Analysis of relationships among the institutions of family, religion, political participation, work, and leisure.","Fall, Spring, Summer",https://catalog.iastate.edu/azcourses/soc/
SOC,2100,Social & Civic Innovation,3.,Lecture 3.,,,,,"Learn how to infuse innovation and entrepreneurship into social and civic problems. Students will be introduced to solution-oriented ways of thinking, grounded in sociology, data-driven methodologies, and the design thinking paradigm. Explore real-world case studies and methods in the US and international social contexts. Special attention is given to novel policies, programs, and interventions that address the challenges and opportunities of rural places.",Spring,https://catalog.iastate.edu/azcourses/soc/
SOC,2190,Families and Intimate Relationships,3.,Lecture 3.,,,,,"Exploration of families and intimate relationships using a sociological perspective, with the goal to help students make informed and intentional choices in their relationships across the life course. Topics covered include family definitions and theories, sexuality, singlehood, dating, cohabitation, marriage, parenting, divorce, stepfamilies, and aging. Relationship quality, communication, conflict, and work-life balance will also be examined, as well as differences in family dynamics by gender, race and ethnicity, and class.","Fall, Spring",https://catalog.iastate.edu/azcourses/soc/
SOC,2200,Globalization and Sustainability,3.,Lecture 3.,,,,,"An introduction to understanding the key global issues in sustainability. Focuses on interconnected roles of energy, materials, human resources, economics, and technology in building and maintaining sustainable systems. Applications discussed will include challenges in both the developed and developing world and will examine the role of technology in a resource-constrained world. Graduation Restriction: Cannot be used for technical elective credit in any engineering department. Meets International Perspectives Requirement.","Fall, Spring",https://catalog.iastate.edu/azcourses/soc/
SOC,2300,Rural Society in Transition,3.,Lecture 3.,,,,,"Introduction to the causes and consequences of social and economic change affecting rural people and places. Uses a sociological perspective to examine social structures, social change, and social relationships within rural society. Topics include community, population change, inequality, rural economy, structure of agriculture, social and environmental impacts of resource extraction. .",Fall,https://catalog.iastate.edu/azcourses/soc/
SOC,2340X,Conservation Values & Ethics,3.,,,,,Instructor Permission for Course,"Experiential course learning about conservation values, beliefs, ethics, practices, and policies through classical and contemporary readings in the field of conservation ethics. Exploration of wilderness areas, national parks, forest, and monuments, and the rural communities near these conservation areas, meeting with stakeholders in the conservation ecosystem, and engaging in service learning to gain a first-hand knowledge of the conservation landscape. Travel component to the ISU Montana campus prior to the start of the semester. 8-week course.",Fall,https://catalog.iastate.edu/azcourses/soc/
SOC,2350,Social Problems and American Values,3.,Lecture 3.,,,,,"Explores relationship between contemporary social problems and American values. Explores how contradictory values impede political consensus while complicating our ability to define and solve social problems. Discussion may focus upon: working conditions, income and wealth, poverty and welfare, impacts of technology on society, criminal justice and victimization, reproductive rights and gender, child rearing and education, immigration and race, guns and violence, and environment and climate change. Meets U.S. Cultures and Communities Requirement.","Fall, Spring",https://catalog.iastate.edu/azcourses/soc/
