subject_code,course_number,title_name,credits,contact_hours,cross_listed,dual_listed,repeatable,prerequisites,description,typically_offered,source_url
SPAN,1010,Elementary Spanish I,4.,Lecture 4.,,,,,A communicative approach to grammar and vocabulary within the context of Hispanic culture. For students whose native language is not Spanish. Students Who Have Completed One Or More Years Of High School Spanish May Not Enroll In 101. Testout Not Available If Also Registered.,"Fall, Summer",https://catalog.iastate.edu/azcourses/span/
SPAN,1020,Elementary Spanish II,4.,Lecture 4.,,,,( SPAN 1010 ) OR (SPAN 1970) OR (Score between 270 - 350 on Spanish WLC Placement Exam),Continuation of Spanish 1010. A communicative approach to grammar and vocabulary within the context of Hispanic culture. For students whose native language is not Spanish. Meets International Perspectives Requirement.,"Spring, Summer",https://catalog.iastate.edu/azcourses/span/
SPAN,1950,Study Abroad,3.,Lecture 3.,,,,,"Supervised instruction in Spanish and Hispanic culture; formal class instruction at level appropriate to student's training, augmented by practical living experience. Taught in Spanish. Consult the department regarding equivalency with SPAN 1010 or 1020. Meets International Perspectives Requirement.",,https://catalog.iastate.edu/azcourses/span/
SPAN,1970X,Accelerated Elementary Spanish,4.,Lecture 4.,,,,,"A communicative approach to grammar and vocabulary within the context of Hispanic culture. Intensive, accelerated combination course that includes coursework from SPAN 1010 and SPAN 1020 . It is strongly recommended that students enrolling in this course have completed at least two years of high-school Spanish. Course completed with a passing grade fulfills the LAS World Language Requirement.","Fall, Spring",https://catalog.iastate.edu/azcourses/span/
SPAN,2010,Intermediate Spanish I,4.,Lecture 4.,,,,( SPAN 1020 ) OR (Score between 350 - 430 on Spanish WLC Placement Exam),Intensive review of basic grammar and conversation. For students whose native language is not Spanish. Practice in oral and written communication. Development of fluency with idiomatic expressions. Selected readings on culture and literature. Meets International Perspectives Requirement.,Fall,https://catalog.iastate.edu/azcourses/span/
SPAN,2020,Intermediate Spanish II,4.,Lecture 4.,,,,( SPAN 2010 ) OR (Score between 430 - 500 on Spanish WLC Placement Exam),Continuation of Spanish 2010. Intensive review of basic grammar. Practice in oral and written communication. Development of fluency with idiomatic expressions. Selected readings on culture and literature. For students whose native language is not Spanish.,Spring,https://catalog.iastate.edu/azcourses/span/
SPAN,2950,Study Abroad,3.,Lecture 3.,,,,SPAN 1020,"Supervised instruction in Spanish and Hispanic culture; formal class instruction at level appropriate to student's training, augmented by practical living experience. Taught in Spanish. Consult the department regarding equivalency with SPAN 2010 or 2020. Meets International Perspectives Requirement.",Summer,https://catalog.iastate.edu/azcourses/span/
SPAN,2970,Intensive Intermediate Spanish,4.,Lecture 4.,,,,( SPAN 2010 ) OR (Score between 430 - 500 on Spanish WLC Placement Exam),Bridge course between 2000- and 3000-level Spanish courses that focuses on application of advanced grammatical concepts within the context of Hispanic culture. Accelerated review of SPAN 2010 and SPAN 2020 designed for students who want to continue at the 3000 level. Taught in Spanish for students whose native language is not Spanish. Meets International Perspectives Requirement.,"Fall, Spring",https://catalog.iastate.edu/azcourses/span/
SPAN,3020A,Mini-Modules for Global Professionals: Tourism and Hospitality,1.,,,,,( SPAN 2020 ) OR ( SPAN 2970 ) OR (Score greater than 500 on Spanish WLC Placement Exam),Introduction to professional communication within specific professional cultures with strong preparation of relevant vocabulary related to professional fields in which high degrees of Spanish are spoken. Taught in Spanish. Each topic may only be taken once for credit. Meets International Perspectives Requirement.,"Fall, Spring",https://catalog.iastate.edu/azcourses/span/
SPAN,3020B,Mini-Modules for Global Professionals: Health and Medicine,1.,,,,,( SPAN 2020 ) OR ( SPAN 2970 ) OR (Score greater than 500 on Spanish WLC Placement Exam),Introduction to professional communication within specific professional cultures with strong preparation of relevant vocabulary related to professional fields in which high degrees of Spanish are spoken. Taught in Spanish. Each topic may only be taken once for credit. Meets International Perspectives Requirement.,"Fall, Spring",https://catalog.iastate.edu/azcourses/span/
