subject_code,course_number,title_name,credits,contact_hours,cross_listed,dual_listed,repeatable,prerequisites,description,typically_offered,source_url
SPCM,1100,Listening,3.,Lecture 3.,,,,,"Theory, principles, and competency development in comprehensive, therapeutic, critical, consumer, and appreciative listening. The impact of listening in relationships and partnerships.","Fall, Spring",https://catalog.iastate.edu/azcourses/sp_cm/
SPCM,2120,Fundamentals of Public Speaking,3.,Lecture 3.,,,,For students in EPT Advisory Program - [(Result of “Test attempted and course is Not Required” or “Test attempted and course was Waived” on EPT for ENGL 0990S OR Credit in ENGL 0990S )],Theory and practice of basic speech communication principles applied to public speaking. Practice in the preparation and delivery of extemporaneous speeches.,"Fall, Spring, Summer",https://catalog.iastate.edu/azcourses/sp_cm/
SPCM,2160,America Speaks: Great Speakers and Speeches in US History,3.,Lecture 3.,,,,,Survey of great speeches examined within their political and cultural contexts. Analysis of the rhetorical strategies of diverse speakers with an emphasis on texts from social movements in the United States. Meets U.S. Cultures and Communities Requirement.,,https://catalog.iastate.edu/azcourses/sp_cm/
SPCM,2750,Analysis of Popular Culture Texts,3.,Lecture 3.,,,,Credit or concurrent enrollment in ENGL 2500,"Analysis of how information and entertainment forms persuade and manipulate audiences. Study of several forms that may include newspapers, speeches, television, film, advertising, fiction, and magazines. Special attention to verbal and visual devices.","Fall, Spring",https://catalog.iastate.edu/azcourses/sp_cm/
SPCM,2900,Special Projects,1-2.,,,,True,3 credits in SPCM; Department Permission,,"Fall, Spring, Summer",https://catalog.iastate.edu/azcourses/sp_cm/
SPCM,3100,Rhetorical Analysis,3.,Lecture 3.,,,,ENGL 2500,"Fundamental principles of rhetorical criticism. Focus on selected theories for analyzing cultural texts, including essays, speeches, film, technical and scientific documents, and websites. Emphasis on identifying artifacts, formulating research questions, applying methodologies, and understanding and practicing critical analysis through discussion and in writing.","Fall, Spring",https://catalog.iastate.edu/azcourses/sp_cm/
SPCM,3120,Business and Professional Speaking,3.,Lecture 3.,,,,,"Theory, principles, and competency development in the creation of coherent, articulate business and professional oral presentations. SPCM 2120 or prior public speaking experience recommended.","Fall, Spring",https://catalog.iastate.edu/azcourses/sp_cm/
SPCM,3230,Gender and Communication,3.,Lecture 3.,,,,,Examination of how understanding and enactment of gender identity is shaped by communication. Verbal and nonverbal communication across various contexts including personal relationships and the media. Explores discourse of social movements aiming to transform cultural definitions of gender. Meets U.S. Cultures and Communities Requirement.,,https://catalog.iastate.edu/azcourses/sp_cm/
SPCM,3240,Legal Communication,3.,Lecture 3.,,,,SPCM 2120,"Speech communication in the legal system inside and outside the trial process: interviewing and counseling, negotiating and bargaining, voir dire, opening statements, examination of witnesses, closing arguments, judge's instructions, jury behavior, and appellate advocacy.",,https://catalog.iastate.edu/azcourses/sp_cm/
SPCM,3500,Rhetorical Traditions,3.,Lecture 3.,,,,ENGL 2500,"Ideas about the relationship between rhetoric and society in contemporary and historical contexts. An exploration of classical and contemporary rhetorical theories in relation to selected topics that may include politics, gender, race, ethics, education, science, or technology.",Spring,https://catalog.iastate.edu/azcourses/sp_cm/
SPCM,4170,Campaign Rhetoric,3.,Lecture 3.,,,,SPCM 2120,Backgrounds of candidates for state and national elections; selected speeches and issues; persuasive strategies and techniques of individual speakers. Offered even-numbered years.,Fall,https://catalog.iastate.edu/azcourses/sp_cm/
SPCM,4180,Seminar in Rhetoric and Writing,3.,Lecture 3.,,,,ENGL 3100 / SPCM 3100 and Junior classification,"Intensive study of a selected topic that bridges theory and practice in rhetoric, writing studies, and related fields. Topics may include argumentation, public memory, rhetorical genre, critical/cultural rhetorics, and other topics.",Spring,https://catalog.iastate.edu/azcourses/sp_cm/
SPCM,4900,Independent Study,1-3.,,,,True,18 credits in SPCM; Junior classification; Department Permission,Only one independent study enrollment is permitted within the department per semester.,"Fall, Spring, Summer",https://catalog.iastate.edu/azcourses/sp_cm/
SPCM,4950B,Independent Study: Teaching Speech,3.,Lecture 3.,,,,,"Problems, methods, and materials related to teaching speech, theatre, and media in secondary schools.",Fall,https://catalog.iastate.edu/azcourses/sp_cm/
SPCM,5130,Teaching Fundamentals of Public Speaking,3.,Lecture 3.,,,,Graduate Standing or Permission of Instructor,"Introduction to the teaching of public speaking. Exploration of pedagogical theory and methods related to SPCM 2120 objectives, pedagogical approaches, lesson planning, assignment development, and evaluation of student projects. Required of all new teaching assistants teaching SPCM 2120 .",Fall,https://catalog.iastate.edu/azcourses/sp_cm/
SPCM,5400,Drama,3.,Lecture 3.,,,True,Graduate Standing or Permission of Instructor,"Primary texts in dramatic genres from various literary periods, in critical and cultural contexts. Frequently concentrates on the English Renaissance and the Shakespearean stage.",,https://catalog.iastate.edu/azcourses/sp_cm/
SPCM,5470,The History of Rhetorical Theory from the Classical Era to the Present,3.,Lecture 3.,,,,Graduate Standing or Permission of Instructor,"Rhetorical theory from the classical period of ancient Greece through to the 20th century; attention to rhetoric's relation to the nature of knowledge, communication, practice, and pedagogy.",,https://catalog.iastate.edu/azcourses/sp_cm/
SPCM,5480,Cultural and Critical Theories of Communication and Rhetoric,3.,Lecture 3.,,,,Graduate Standing or Permission of Instructor,"Contemporary theories that address the production, reception, and critical evaluation of cultural artifacts and communicative events; these theories address power, ideology, and the norms of public discourse. Theories covered may include Postmodernism, Feminist Theory, Public Sphere Theory, as well as Critical Race Theory, Social Justice Theory, Disability Theory, Queer Theory, and/or Intercultural Theories of Communication and Rhetoric.",,https://catalog.iastate.edu/azcourses/sp_cm/
