subject_code,course_number,title_name,credits,contact_hours,cross_listed,dual_listed,repeatable,prerequisites,description,typically_offered,source_url
SPED,2100X,Disability in a Diverse Society,3.,,,,,,"Disability does not discriminate on the basis of gender, ethnicity, SES, religion, or sexual preferences. Disability is the only group anyone can join at any time. This course is designed to increase awareness, sensitivity, and understanding of the individual, social-cultural, policies, and legal aspects of disability in our society. During the course, students will explore and analyze personal, historical, political, economic, and societal perspectives on individuals with disabilities in our society. Meets U.S. Cultures and Communities Requirement.","Fall, Spring, Summer",https://catalog.iastate.edu/azcourses/sp_ed/
SPED,2500,Education of the Exceptional Learner,3.,Lecture 3.,,,,,"An overview of students with diverse learning needs, including students with disabilities, English Learners, students who are at risk, and gifted learners. Emphasis is on early identification; educational programming and implications; and legal foundations. Includes Individual Education Programs, Least Restrictive Environment, Functional Behavioral Assessment, and Behavior Intervention Plans.","Fall, Spring",https://catalog.iastate.edu/azcourses/sp_ed/
SPED,3300,Introduction to Instruction for Students with Mild/Moderate Disabilities,3.,Lecture 3.,,,,,"Educational services and programming for students with mild/moderate disabilities examined from an historical perspective. Current trends, issues, impact of federal and state laws, and identification procedures. Characteristics of students with mild/moderate disabilities.",Fall,https://catalog.iastate.edu/azcourses/sp_ed/
SPED,3340,Teaching Exceptional Learners in the General Classroom,3.,Lecture 3.,,,,,"Evidence-based strategies for inclusive education. Emphasis on principles of behavior, classroom management, differentiation, and accommodations.",Fall,https://catalog.iastate.edu/azcourses/sp_ed/
SPED,3650,Classroom Assessment for Special Education,3.,Lecture 3.,,,,Admitted to the Educator Preparation Program,"Formal and informal academic and behavioral assessment. Determination of special education needs. Planning, adaptation, and formative evaluation of instructional programs for students with mild/moderate disabilities.","Fall, Spring",https://catalog.iastate.edu/azcourses/sp_ed/
SPED,4010,Teaching Secondary Students with Exceptionalities in General Education,3.,Lecture 3.,,,,Admitted to the Educator Preparation Program,"Characteristics and needs of youth with exceptionalities, including appropriate service delivery options. Emphasis on legal foundations, co-teaching models, differentiated instruction, accommodations for instruction and assessment, strategies to address challenging behaviors, and collaboration among professionals and families. Includes Individual Education Programs, Least Restrictive Environment, Functional Behavioral Assessment, and Behavior Intervention Plans.","Fall, Spring",https://catalog.iastate.edu/azcourses/sp_ed/
SPED,4050,Assessment and Instructional Methods in Inclusive Primary Settings (K-3),4.,Lecture 4.,,,,,"Examination and application of strategies to determine specialeducational needs, planning and evaluating instructional programs,and monitoring student progress. Evidence-based instructionalstrategies in academic and social areas that support learning ofstudents with diverse learning needs. Emphasis onaccommodations and alternative teaching strategies to meetindividual student needs.","Fall, Spring",https://catalog.iastate.edu/azcourses/sp_ed/
SPED,4160,Supervised Student Teaching,1-30.,,,,True,Admitted to the Educator Preparation Program,Reservation required.,"Fall, Spring",https://catalog.iastate.edu/azcourses/sp_ed/
SPED,4360,Instructional Methods for Students with Mild/Moderate Disabilities,3.,Lecture 3.,,,,,"Evidence-based instructional strategies in academic areas, as well as class, group, and individual behavior management for elementary students with mild/moderate disabilities.",Spring,https://catalog.iastate.edu/azcourses/sp_ed/
SPED,4580,Pre-Student Teaching Experience III: Mild/Moderate Disabilities in Primary Grades (K-3),1.,Laboratory 2.,,,,Admitted to the Educator Preparation Program,Observation and involvement with students with mild/moderate disabilities in the primary grades (K-3). Concurrent enrollment in SPED 4050 . Half a day of time needed. Clinical Experience Level 3. Offered on a satisfactory-fail basis only.,"Fall, Spring",https://catalog.iastate.edu/azcourses/sp_ed/
SPED,4590,Pre-Student Teaching Experience III: Mild/Moderate Disabilities,1.,,,,,Admitted to the Educator Preparation Program,Observation and involvement with students with mild/moderate disabilities in school settings. Concurrent enrollment in SPED 4600 . 1/2 day of time needed. Clinical Experience Level 3. Offered on a satisfactory-fail basis only.,Fall,https://catalog.iastate.edu/azcourses/sp_ed/
SPED,4600,Special Education Seminar,1.,Lecture 1.,,,,"SPED 4360 , concurrent enrollment in SPED 4590",Application of evidence-based instructional strategies/techniques in academic and behavioral areas with students who have mild/moderate disabilities. Discussion of professional practices.,"Fall, Spring, Summer",https://catalog.iastate.edu/azcourses/sp_ed/
SPED,4640,Collaborative Partnerships in Special Education,3.,Lecture 3.,,,,SPED 3650 and SPED 4360,"Collaborative skills used in education of students with mild/moderate disabilities. Includes collaboration between general and special education teachers, families, para-educators, and other education professionals and agencies. Development of Individual Education Programs for students with mild/moderate disabilities.",Fall,https://catalog.iastate.edu/azcourses/sp_ed/
SPED,4900,Independent Study,1-5.,,,,True,Instructor Permission for Course,Topics vary.,"Fall, Spring",https://catalog.iastate.edu/azcourses/sp_ed/
