subject_code,course_number,title_name,credits,contact_hours,cross_listed,dual_listed,repeatable,prerequisites,description,typically_offered,source_url
STAT,1010,Principles of Statistics,4.,"Lecture 3, Laboratory 2.",,,,,"Statistical concepts in modern society; descriptive statistics and graphical displays of data; the normal distribution; data collection (sampling and designing experiments); elementary probability; elements of statistical inference; confidence intervals and hypothesis testing; linear regression and correlation; contingency tables. 1 1/2 years of high school algebra required. Graduation Restriction: Credit for only one of the following courses may be applied toward graduation: STAT 1010 , STAT 1040 , STAT 2010 , or STAT 2260 .","Fall, Spring, Summer",https://catalog.iastate.edu/azcourses/stat/
STAT,1040,Introduction to Statistics,3.,"Lecture 2, Laboratory 2.",,,,,"Statistical concepts and their use in science; collecting, organizing and drawing conclusions from data; elementary probability; binomial and normal distributions; regression; confidence intervals and hypothesis testing. For students in the agricultural and biological sciences. 1 1/2 years of high school algebra required. Graduation Restriction: Credit for only one of the following courses may be applied toward graduation: STAT 1010 , STAT 1040 , STAT 2010 , or STAT 2260 .","Fall, Spring, Summer",https://catalog.iastate.edu/azcourses/stat/
STAT,1100,Orientation in Statistics,1.,Lecture 1.,,,,,Orientation to campus and the statistics major; Information about campus resources and opportunities available to students; Assistance with the transition to University life; Introduction to academic and career planning. Offered on a satisfactory-fail basis only.,Fall,https://catalog.iastate.edu/azcourses/stat/
STAT,2010,Introduction to Statistical Concepts and Methods,4.,"Lecture 3, Laboratory 2.",,,,Credit or Enrollment in MATH 1650,"Statistical thinking and applications of statistical concepts and methods in modern society. Display and summary of categorical and numerical data. Exploring relationships between variables, association, correlation, and regression. Observational studies and experiments. Probability concepts, random variables, discrete and continuous distributions. Elements of statistical inference; confidence intervals and hypothesis testing. Graduation Restriction: Credit for only one of the following courses may be applied toward graduation: STAT 1010 , STAT 1040 , STAT 2010 , or STAT 2260 .",Fall,https://catalog.iastate.edu/azcourses/stat/
STAT,2020,Career Development in Math and Statistics,1.,Laboratory 2.,,,,,"Career development in the mathematics and statistics disciplines with an emphasis on contemporary social issues. Presentations by professionals in STEM fields about occupations, decision-making strategies, and career goal implementation; development of job searching, resume writing, negotiating, and interviewing techniques. Offered on a satisfactory-fail basis only.",Spring,https://catalog.iastate.edu/azcourses/stat/
STAT,2260,Introduction to Business Statistics I,3.,Lecture 3.,,,,MATH 1040 or MATH 1500 or MATH 1510 or MATH 1600 or MATH 1650,"Obtaining, organizing, and presenting statistical data; measures of location and dispersion; the Normal distribution; sampling and sampling distribution of the sample mean; elements of statistical inference; confidence intervals and hypothesis testing for the mean; describing bivariate relationships and inference for simple linear regression analysis; use of computers to visualize and analyze data. Graduation Restriction: Credit for only one of the following courses may be applied toward graduation: STAT 1010 , STAT 1040 , STAT 2010 , or STAT 2260 .","Fall, Spring, Summer",https://catalog.iastate.edu/azcourses/stat/
STAT,2310,Probability and Statistical Inference for Engineers,4.,Lecture 4.,,,,Credit or Coenrollment in MATH 2650,Basic probability; random variables and probability distributions; joint and sampling distributions. Descriptive statistics; confidence intervals; hypothesis testing; simple linear regression; multiple linear regression; one-way analysis of variance; use of statistical software. Emphasis on engineering applications.,"Fall, Spring",https://catalog.iastate.edu/azcourses/stat/
STAT,2610X,Statistics in Sports,3.,Lecture 3.,,,,,"Introduction the use of statistical, quantitative, and graphical techniques for analysis of sports data. Focus on understanding the types of data that arise in sports and the probability distributions associated with those data types including binomial, Poisson, and normal. Introduction to regression techniques that incorporate variables that affect these distributions. Discussion of head-to-head competitions and the inherent complexities in analyzing data of this type.","Fall, Spring, Summer",https://catalog.iastate.edu/azcourses/stat/
STAT,3010,Intermediate Statistical Concepts and Methods,4.,"Lecture 3, Laboratory 2.",,,,"One of STAT 1010 , 1040, 1050, 2010, 2260, 2310, 3050, 3220, 3300","Statistical concepts and methods used in the analysis of observational data. Analysis of single sample, two sample and paired sample data. Simple and multiple linear regression including polynomial regression and use of indicator variables. Model building and analysis of residuals. Introduction to one-way ANOVA, tests of independence for contingency tables, and logistic regression. Graduation Restriction: Credit for only one of the following courses may be applied toward graduation: STAT 3010 , STAT 3260 , STAT 5101 .","Fall, Spring",https://catalog.iastate.edu/azcourses/stat/
STAT,3050,Engineering Statistics,3.,Lecture 3.,,,,MATH 1650,"Statistics for engineering problem solving. Principles of engineering data collection; descriptive statistics; elementary probability distributions; principles of experimentation; confidence intervals and significance tests; one-, two-, and multi-sample studies; regression analysis; use of statistical software. Graduation Restriction: Credit for both STAT 1050 and STAT 3050 may not be applied toward graduation.","Fall, Spring, Summer",https://catalog.iastate.edu/azcourses/stat/
STAT,3220,Probabilistic Methods for Electrical Engineers,3.,Lecture 3.,,,,EE 2240,"Introduction to probability with applications to electrical engineering. Sets and events, probability space, conditional probability, total probability and Bayes' rule. Discrete and continuous random variables, cumulative distribution function, probability mass and density functions, expectation, moments, moment generating functions, multiple random variables, functions of random variables. Elements of statistics, hypothesis testing, confidence intervals, least squares. Introduction to random processes.","Fall, Spring",https://catalog.iastate.edu/azcourses/stat/
STAT,3260,Introduction to Business Statistics II,3.,"Lecture 2, Laboratory 2.",,,,STAT 2260,"Multiple regression analysis; regression diagnostics; model building; applications in analysis of variance and time series; random variables; distributions; conditional probability; use of computers to visualize and analyze data. Graduation Restriction: Credit for only one of the following courses may be applied toward graduation: STAT 3010 , STAT 3260 , STAT 5101 .","Fall, Spring, Summer",https://catalog.iastate.edu/azcourses/stat/
STAT,3300,Probability and Statistics for Computer Science,3.,Lecture 3.,,,,MATH 1660,Topics from probability and statistics applicable to computer science. Basic probability; Random variables and their distributions; Stochastic processes including Markov chains; Queuing models; Basic statistical inference; Introduction to regression.,"Fall, Spring, Summer",https://catalog.iastate.edu/azcourses/stat/
STAT,3320,Visual Communication of Quantitative Information,3.,Lecture 3.,,,,ENGL 2500 ; ( STAT 1010 or STAT 1040 or STAT 1050 or STAT 2010 or STAT 2310 or STAT 3050 or STAT 3220 or STAT 3300 ),"Communicating quantitative information using visual displays; visualizing data; interactive and dynamic data displays; evaluating current examples in the media; color, perception, and representation in graphs; interpreting data displays.",,https://catalog.iastate.edu/azcourses/stat/
STAT,3410,Introduction to the Theory of Probability and Statistics I,4.,"Lecture 3, Laboratory 2.",,,,MATH 2650 or MATH 2650H,"Probability; distribution functions and their properties; classical discrete and continuous distribution functions; multivariate probability distributions and their properties; moment generating functions; transformations of random variables; simulation of random variables and use of the R statistical package. Graduation Restriction: Credit for only one of the following courses may be applied toward graduation: STAT 3410 , STAT 3470 , STAT 5147 .","Fall, Spring",https://catalog.iastate.edu/azcourses/stat/
STAT,3420,Introduction to the Theory of Probability and Statistics II,4.,"Lecture 3, Laboratory 2.",,,,( MATH 2070 or MATH 3170 ); ( STAT 1010 or STAT 1040 or STAT 1050 or STAT 2010 or STAT 2260 or STAT 2310 or STAT 3050 or STAT 3220 or STAT 3300 ); STAT 3410,Sampling distributions; confidence intervals and hypothesis testing; theory of estimation and hypothesis tests; linear model theory; resampling methods; introduction to Bayesian inference; use of the R statistical package for simulation and data analysis.,"Fall, Spring",https://catalog.iastate.edu/azcourses/stat/
STAT,3470,Probability and Statistical Theory for Data Science,4.,Lecture 4.,,,,( MATH 2070 or MATH 3170 ); MATH 2650 ; ( STAT 3010 or STAT 3260 ),"Introduction to probability; distribution functions and their properties; classical discrete and continuous distributions; sampling distributions; theory of estimation; theory of inference; use of R statistical package for simulation and data analysis. Graduation Restriction: Credit for only one of the following courses may be applied toward graduation: STAT 3410 , STAT 3470 , or STAT 5147 .",Fall,https://catalog.iastate.edu/azcourses/stat/
STAT,3610,Statistical Quality Assurance,3.,Lecture 3.,,,,"STAT 2310 , STAT 3010 , STAT 3260 , or STAT 5101",Statistical methods for process improvement. Simple quality assurance principles and tools. Measurement system precision and accuracy assessment. Control charts. Process capability assessment. Experimental design and analysis for process improvement. Significant external project in process improvement.,"Fall, Spring",https://catalog.iastate.edu/azcourses/stat/
STAT,3980,Cooperative Education,Required.,,,,True,Department Chair Permission for Course,Off-campus work periods for undergraduate students in a field of statistics.,"Fall, Spring, Summer",https://catalog.iastate.edu/azcourses/stat/
STAT,4212,Experimental Design and Data Analysis,3.,Lecture 3.,,,,"STAT 3010 , STAT 3260 , or STAT 5101","The role of statistics in research and the principles of experimental design. Concepts of experimental and observational units, randomization, replication, blocking, subdividing and repeatedly measuring experimental units; factorial treatment designs and confounding; common designs including randomized complete block design, Latin square design, split-plot design, and analysis of data from such common designs; extensions of the analysis of variance to cover variance components. Determining sample size. Graduation Restriction: May not be used for graduate credit in the Statistics MS and PhD degree programs.","Fall, Spring",https://catalog.iastate.edu/azcourses/stat/
STAT,4215,Time Series Data Analysis,3.,Lecture 3.,,,,"STAT 3010 , STAT 3260 , STAT 5101 , or STAT 5260","Methods for analyzing data collected over time; review of multiple regression analysis. Elementary forecasting methods: moving averages and exponential smoothing. Autoregressive-moving average (Box-Jenkins) models: identification, estimation, diagnostic checking, and forecasting. Transfer function models and intervention analysis. Introduction to multivariate time series methods. Graduation Restriction: May not be used for graduate credit in the Statistics MS and PhD degree programs.",Spring,https://catalog.iastate.edu/azcourses/stat/
STAT,4219,Bayesian Data Analysis,3.,"Lecture 2, Laboratory 2.",,,,( STAT 3010 or STAT 3260 or STAT 5101 ); ( STAT 3410 or STAT 3470 or STAT 4470 or STAT 5147 ),"Probability models and prior distributions; updating priors through the likelihood function. Computational and simulation-based methods for deriving posterior distributions and for estimating parameters. Basic statistical and hierarchical models. Model adequacy and posterior predictive checks. Markov Chain Monte Carlo methods and introduction to JAGS and STAN or similar software. Emphasis on applications and examples from the social, biological and physical sciences. Graduation Restriction: May not be used for graduate credit in the Statistics MS and PhD degree programs.",Spring,https://catalog.iastate.edu/azcourses/stat/
STAT,4279,Statistical Computing for Data Analysis,3.,Lecture 3.,,,,"STAT 3010 , STAT 3260 , or STAT 5101",Modern statistical computing. Topics may include: basic and advanced R programming; data management; spread sheets; verifying data accuracy; transferring data between software packages; data and graphical analysis with statistical software packages; algorithmic programming concepts and applications; simulation studies and resampling methods; software reliability; statistical modeling and machine learning. Graduation Restriction: May not be used for graduate credit in the Statistics MS and PhD degree programs.,Spring,https://catalog.iastate.edu/azcourses/stat/
STAT,4610X,Sports Analytics,3.,Lecture 3.,,,,,"Sports analytics refers to the use of statistical, quantitative, and graphical techniques for analysis of sports data. Focus on head-to-head sports and the calculation of relevant statistics, e.g., plus-minus and adjusted plus-minus statistics that attempt to quantify individual contributions to a team's performance. Rating and ranking systems and their relationship to statistical models and estimation of these ratings will be described.","Fall, Spring, Summer",https://catalog.iastate.edu/azcourses/stat/
STAT,4730,Introduction to Survey Sampling,3.,"Lecture 2, Laboratory 2.",,,,( STAT 3010 or STAT 3260 or STAT 5101 ); ( STAT 3410 or STAT 3470 or STAT 4470 or STAT 5147 ),"Concepts of sample surveys and the survey process; methods of designing sample surveys, including: simple random, stratified, systematic, probability proportional to size, and multistage sampling designs; methods of analyzing sample surveys including ratio, regression, domain estimation and nonresponse.",Spring,https://catalog.iastate.edu/azcourses/stat/
STAT,4750,Introduction to Multivariate Data Analysis,3.,"Lecture 2, Laboratory 2.",,,,STAT 3010 or STAT 3260 or STAT 5101,"Statistical and graphical methods for displaying and analyzing multivariate data including plotting high-dimensional data using interactive graphics; organizing and summarizing analyses of multivariate data; comparing two group mean vectors; multivariate analysis of variance; reducing variable dimension with principal components; identifying factors with exploratory factor analysis; grouping observations with multidimensional scaling and cluster analysis; classification; R statistical software package and using Rstudio to create reports (RMarkdown and GGplot). Knowledge of linear algebra recommended. Graduation Restriction: Credit for only one of STAT 4070, STAT 4750 , or STAT 5750 may be applied to graduation. May not be used for graduate credit in the Statistics MS and PhD degree programs.",Fall,https://catalog.iastate.edu/azcourses/stat/
STAT,4760,Introduction to Spatial Data Analysis,3.,Lecture 3.,,,,( STAT 3010 or STAT 3260 or STAT 5101 ); ( STAT 3410 or STAT 3470 or STAT 4470 or STAT 5147 ),"The analysis of spatial data; geostatistical methods, mapping and spatial prediction; methods for areal data; models and methods for spatial point processes. Emphasis on application and practical use of spatial statistical analysis. Use of R and R packages for spatial data analysis. Graduation Restriction: Credit for only one of STAT 4060, STAT 4760 , or STAT 5760 may be applied to graduation. May not be used for graduate credit in the Statistics MS and PhD degree programs.",,https://catalog.iastate.edu/azcourses/stat/
STAT,4770,Introduction to Categorical Data Analysis,3.,Lecture 3.,,,,STAT 3010 or STAT 3260 or STAT 5870,"Statistical methods for the analysis of categorical data: graphical summaries, estimation and inference for proportions, sample size determination, chi-square tests, measures of relative risk, odds and association, analysis of paired data and measures of agreement, logistic regression models, log-linear models. Graduation Restriction: Credit for only one of STAT 4570, STAT 4770 , or STAT 5770 may be applied to graduation. May not be used for graduate credit in the Statistics MS and PhD degree programs.",Spring,https://catalog.iastate.edu/azcourses/stat/
STAT,4780,Introduction to Stochastic Process Models,3.,Lecture 3.,,,,STAT 2310 or STAT 3410 or STAT 3470 or STAT 4219 or STAT 5147,"Probabilistic models in biological, engineering and the physical sciences. Markov chains; Poisson, birth-and-death, renewal, branching and queuing processes; applications to bioinformatics and other quantitative problems. Graduation Restriction: Credit for only one of STAT 4320, STAT 4780 , or STAT 5780 may be applied to graduation. May not be used for graduate credit in the Statistics MS and PhD degree programs. Offered even number years.",Fall,https://catalog.iastate.edu/azcourses/stat/
STAT,4820,Regression for Social and Behavioral Research,3.,"Lecture 2, Laboratory 2.",,,,STAT 3010 or STAT 3260 or STAT 5101,"Applications of generalized linear regression models to social science data. Assumptions of regression; diagnostics and transformations; analysis of variance and covariance; logistic, multinomial and Poisson regression. Graduation Restriction: Credit for only one of STAT 4040, STAT 4820 , or STAT 5820 may be applied to graduation. May not be used for graduate credit in the Statistics MS and PhD degree programs.","Fall, Spring",https://catalog.iastate.edu/azcourses/stat/
STAT,4830,Empirical Methods for the Computational Sciences,3.,Lecture 3.,,,,"STAT 3300 , MATH 1660","Statistical methods for research involving computers; exploratory data analysis; selected topics from analysis of designed experiments - analysis of variance, hypothesis testing, interaction among variables; linear regression, logistic regression, Poisson regression; parameter estimation, prediction, confidence regions, dimension reduction techniques, model diagnostics and sensitivity analysis; Markov chains and processes; simulation techniques and bootstrap methods; applications to computer science, bioinformatics, computer engineering - programs, models and systems as objects of empirical study; communicating results of empirical studies. Statistical software: R. Knowledge of linear algebra recommended. Graduation Restriction: Credit for only one of STAT 4300, STAT 4830 , or STAT 5830 may be applied to graduation. May not be used for graduate credit in the Statistics MS and PhD degree programs.",Fall,https://catalog.iastate.edu/azcourses/stat/
STAT,4840,Computer Processing of Scientific Data,3.,Lecture 3.,,,,STAT 3010 or STAT 3260 or STAT 5101,"Structure, content and programming aspects of modern statistical software packages. Advanced techniques for data management, graphics, exploratory data analysis, and generalized linear models.Graduation Restriction: Credit for only one of STAT 4790, STAT 4840 , or STAT 5840 may be applied to graduation. May not be used for graduate credit in the Statistics MS and PhD degree programs.",Fall,https://catalog.iastate.edu/azcourses/stat/
STAT,4900,Independent Study,1-30.,,,,True,10 credits in STAT; Permission of Instructor,Graduation Restriction: No more than 9 credits in STAT 4900 may be counted toward graduation.,"Fall, Spring, Summer",https://catalog.iastate.edu/azcourses/stat/
STAT,4900H,Independent Study: Honors,1-30.,,,,True,10 credits in STAT; Permission of Instructor; Membership in the University Honors Program,Graduation Restriction: No more than 9 credits in STAT 4900 may be counted toward graduation.,"Fall, Spring, Summer",https://catalog.iastate.edu/azcourses/stat/
STAT,5000,Statistical Methods I,4.,"Lecture 3, Laboratory 2.",,,,STAT 5147 or current enrollment in STAT 5420 or Graduate Classification,"Analysis of data from designed experiments and observational studies. Randomization-based and model-based inference on group means; pairing/blocking and other uses of restricted randomization. Model assessment and diagnostics; remedial measures; alternative approaches based on ranks. Simple linear regression, multiple linear regression, and model selection criteria. Use of linear models to analyze data; least squares estimation; estimability; sampling distributions of estimators; general linear tests; inference for parameters and contrasts.",Fall,https://catalog.iastate.edu/azcourses/stat/
