subject_code,course_number,title_name,credits,contact_hours,cross_listed,dual_listed,repeatable,prerequisites,description,typically_offered,source_url
STB,4940,Seed Pathology,2.,Lecture 2.,,,,PLP 4080,"Significance of biotic and abiotic diseases that affect the production and utilization of seeds, during each phase of the seed life cycle: growing, harvesting, conditioning, storing, and planting seed. Mechanisms of seed infection and seed-to-seedling transmission are considered for fungi, bacteria, viruses/viroids, and nematodes. Aspects of epidemiology, management, and host-pathogen relationships are discussed. Emphases include the role of seed health testing in the global seed industry for quality control and phytosanitary certification, as well as the use of seed treatments to mage seedborne and soilborne pathogens and pests. Concurrent enrollment in PLP 4940L /5940L (Seed Pathology Laboratory) is strongly encouraged (on-campus students only). Graduation Restriction: Credit may not be obtained for both PLP/STB 5920 and PLP 5940 . Offered odd-numbered years.",Fall,https://catalog.iastate.edu/azcourses/stb/
STB,4940L,Seed Pathology Laboratory,1.,Laboratory 3.,,,,PLP 4080,Laboratory in seed pathology. Seed health testing methods; effects of seed treatments and seed conditioning on seedborne pathogens. Offered odd-numbered years.,Fall,https://catalog.iastate.edu/azcourses/stb/
STB,5010,Strategic Management,2.,Lecture 2.,,,,Admission to the Graduate Program in Seed Technology and Business or Permission of Instructor,Critical analysis of current practice and case studies in strategic management with an emphasis on integrative decision making. Strategy formulation and implementation will be investigated in the context of complex business environments.,,https://catalog.iastate.edu/azcourses/stb/
STB,5030,Information Systems,2.,Lecture 2.,,,,Admission to the Graduate Program in Seed Technology and Business or Permission of Instructor,"Introduction to a broad variety of information systems (IS) topics, including current and emerging developments in information technology (IT), IT strategy in the context of corporate strategy, and IS planning and development of enterprise architectures. Cases, reading, and discussions highlight the techniques and tactics used by managers to cope with strategic issues within an increasingly technical and data-driven competitive environment.",,https://catalog.iastate.edu/azcourses/stb/
STB,5040,Marketing and Logistics,3.,Lecture 3.,,,,Admission to the Graduate Program in Seed Technology and Business or Permission of Instructor,"Integration of the business functions concerned with the marketing and movement of goods along the supply chain with the primary goal of creating value for the ultimate customer. Coordination of marketing, production, and logistics activities within the firm and with outside suppliers and customers in the supply chain.",,https://catalog.iastate.edu/azcourses/stb/
STB,5070,Organizational Behavior,2.,Lecture 2.,,,,Admission to the Graduate Program in Seed Technology and Business or Permission of Instructor,"Understanding human behavior in organizations, and the nature of organizations from a managerial perspective. Special emphasis on how individual differences, such as perceptions, personality, and motivation, influence individual and group behavior in organizations and on how behavior can be influenced by job design, leadership, groups, and the structure of organizations.",,https://catalog.iastate.edu/azcourses/stb/
STB,5080,Accounting and Finance,3.,Lecture 3.,,,,Admission to the Graduate Program in Seed Technology and Business or Permission of Instructor,"Survey of fundamental topics in accounting and finance. Financial statement reporting and analysis for agriculture firms, corporate governance issues related to financial reporting, (e.g., Sarbanes-Oxley). Basic tools and techniques used in financial management, including stock and bond valuation. How to assess and use capital budgeting methods to evaluate proposed firm investments.",,https://catalog.iastate.edu/azcourses/stb/
STB,5090,"International Seed Business Practices, Policies, & Regulation",3.,Lecture 3.,,,,Admission to the Graduate Program in Seed Technology and Business or Permission of Instructor,"Cultural, financial, economic, political, legal/regulatory environments shaping an organization's international business strategy. Topics include entry (and repatriation) of people, firms, goods, services, and capital. Special attention to the institutions of seed regulation and policy. Ethical issues facing managers operating in an international context.",,https://catalog.iastate.edu/azcourses/stb/
STB,5100,Crop Improvement,3.,Lecture 3.,,,,Graduate Standing or Permission of Instructor,"A study of agriculture from its origins with the domestication of crop plants through basic genetics, demonstrating the challenges and elements of breeding strategies intended to manage gene x environmental interactions. Elements of biotechnology including use of molecular markers, development of genetically modified cultivars, gene mapping, cloning, and gene editing will be covered. Methods to measure the effectiveness of plant breeding (genetic gain) and the impact of improved agronomic practices contributing to increased agricultural productivity will be covered. Use of intellectual property protection, and the conservation and utilization of exotic genetic resources.",,https://catalog.iastate.edu/azcourses/stb/
STB,5110,Crop Improvement,3.,Lecture 3.,,,,Graduate Standing or Permission of Instructor,Basic principles in the genetic improvement of crop plants. Methods of cultivar development in self-pollinated and cross-pollinated crop species.,"Fall, Spring",https://catalog.iastate.edu/azcourses/stb/
