subject_code,course_number,title_name,credits,contact_hours,cross_listed,dual_listed,repeatable,prerequisites,description,typically_offered,source_url
SUSAG,5090,Agroecosystems Analysis,3.,Lecture 3.,,,,Graduate Standing or Permission of Instructor,"Experiential, interdisciplinary examination of Midwestern agricultural and food systems, emphasizing both field visits and classroom activities. Focus on understanding multiple elements, perspectives (agronomic, economic, ecological, social, etc.), and scales of operation.",Fall,https://catalog.iastate.edu/azcourses/susag/
SUSAG,5150,Integrated Crop and Livestock Production Systems,3.,Lecture 3.,,,,SUSAG 5090 or Graduate Classification,"Methods to maintain productivity and minimize the negative ecological effects of agricultural systems by understanding nutrient cycles, managing manure and crop residue, and utilizing multispecies interactions. Crop and livestock production within landscapes and watersheds is also considered. Course includes a significant field component, with student teams analyzing Iowa farms. Offered odd-numbered years.",Fall,https://catalog.iastate.edu/azcourses/susag/
SUSAG,5300,Ecologically Based Pest Management Strategies,3.,Lecture 3.,,,,Graduate Standing or Permission of Instructor,"Durable, least-toxic strategies for managing weeds, pathogens, and insect pests, with emphasis on underlying ecological processes. Offered odd-numbered years.",Fall,https://catalog.iastate.edu/azcourses/susag/
SUSAG,5440,Sociology of Food and Agricultural Systems,3.,Lecture 3.,,,,Graduate classification,"Social organization of food and fiber production, processing, and distribution systems. Sociological comparison of conventional and alternative production systems; gender roles in agriculture and food systems; local, national and global food systems; perspectives on food and agricultural research and policy. Offered even-numbered years.",Fall,https://catalog.iastate.edu/azcourses/susag/
SUSAG,5460,Strategies for Diversified Food and Farming Systems,3.,Lecture 3.,,,,Graduate Standing or Permission of Instructor,Project-focused engagement in food and farming systems using tools and perspectives drawn from multiple disciplines. Includes a field component. Offered odd-numbered years.,Spring,https://catalog.iastate.edu/azcourses/susag/
SUSAG,5490,Sociology of the Environment,3.,Lecture 3.,,,,Graduate Standing or Permission of Instructor,Social causes and social consequences of environmental problems. Interrelationship between social inequality and environmental inequality. Social construction and social experience of the environment. Contemporary developments in the social theory of the environment. International and domestic implications.,,https://catalog.iastate.edu/azcourses/susag/
SUSAG,5710,Agroforestry Systems,3.,Lecture 3.,,,,Graduate Standing or Permission of Instructor,"Concepts of sustainable land use, agroecological dynamics, and component interactions of agroforestry systems. Agroforestry systems in temperate and tropical regions. Design and evaluation techniques for agroforestry systems. Ecological, socioeconomic and political aspects of agroforestry. Offered even-numbered years. Meets International Perspectives Requirement.",Spring,https://catalog.iastate.edu/azcourses/susag/
SUSAG,5840,Organic Agricultural Theory and Practice,3.,Lecture 3.,,,,Graduate Standing or Permission of Instructor,Understanding of the historical origins and ecological theories underpinning the practices involved in organic agriculture. Interdisciplinary examination of crop and livestock production and socio-economic processes and policies in organic agriculture from researcher and producer perspectives. Offered odd-numbered years.,Spring,https://catalog.iastate.edu/azcourses/susag/
SUSAG,5900,Special Topics,1-3.,,,,True,Instructor Permission for Course,For students wishing to conduct in-depth study of a particular topic in sustainable agriculture.,"Fall, Spring, Summer",https://catalog.iastate.edu/azcourses/susag/
SUSAG,5990,Creative Component,1-30.,,,,True,Instructor Permission for Course,Pre-enrollment contract required. For MS students pursuing the non-thesis degree option. Final product is a creative component.,"Fall, Spring, Summer",https://catalog.iastate.edu/azcourses/susag/
SUSAG,6000,Sustainable Agriculture Colloquium,1.,Lecture 1.,,,True,,Weekly seminar for graduate students in the Sustainable Agriculture program.,"Fall, Spring",https://catalog.iastate.edu/azcourses/susag/
SUSAG,6100,Foundations of Sustainable Agriculture,3.,Lecture 3.,,,,,"Historical, biophysical, socioeconomic, and ethical dimensions of agricultural sustainability. Strategies for evaluating existing and emerging agricultural systems in terms of the core concepts of sustainability and their theoretical contexts.",Fall,https://catalog.iastate.edu/azcourses/susag/
SUSAG,6990,Research,1-30.,,,,True,Department Permission for Course,MS and PhD thesis and dissertation research.,"Fall, Spring, Summer",https://catalog.iastate.edu/azcourses/susag/
