subject_code,course_number,title_name,credits,contact_hours,cross_listed,dual_listed,repeatable,prerequisites,description,typically_offered,source_url
THTRE,1060,Introduction to the Performing Arts,3.,Lecture 3.,,,,,"An audience oriented, broad-based, survey of the performing arts which emphasizes theatre and includes segments on television, radio and podcasts, film, dance, music, and video games.","Fall, Spring",https://catalog.iastate.edu/azcourses/thtre/
THTRE,1100,Theatre and Society,3.,Lecture 3.,,,,,An introduction to Theatre focusing on its relationship with society throughout history.,"Fall, Spring",https://catalog.iastate.edu/azcourses/thtre/
THTRE,1510,Actor's Voice and Movement,3.,Lecture 3.,,,,,"Study, exploration, and practice of physical and vocal techniques that build expressiveness for the performing artist.","Fall, Spring",https://catalog.iastate.edu/azcourses/thtre/
THTRE,1550,Introduction to Theatrical Drafting,1.,Lecture 1.,,,True,,An introduction to the basic concepts and techniques utilized in Computer-Aided (CAD) Drafting. Students will learn a variety of techniques utilizing the Vectorworks and/or other drafting software through a series of in-class training and workbook exercises designed to build a foundation of skills that students will require in future theatrical design courses.,"Fall, Spring, Summer",https://catalog.iastate.edu/azcourses/thtre/
THTRE,2240,Concert and Theatre Dance,0.5-2.,Laboratory 4.,,,True,,"Choreography, rehearsal, and performance in campus dance concerts and/or musical theatre productions. Offered on a satisfactory-fail basis only.","Fall, Spring",https://catalog.iastate.edu/azcourses/thtre/
THTRE,2500,Technical Theatre Practicum,1-2.,,,,True,,Practice in various aspects of technical theatre production. Offered on a satisfactory-fail basis only.,"Fall, Spring",https://catalog.iastate.edu/azcourses/thtre/
THTRE,2510,Acting Foundations,3.,Lecture 3.,,,,,Theory and practice in fundamentals of acting.,"Fall, Spring",https://catalog.iastate.edu/azcourses/thtre/
THTRE,2550,Introduction to Theatrical Production,4.,"Lecture 3, Laboratory 3.",,,,,"Standard structure and procedures, historical overview of performing arts production including the design and creation of scenery, costumes and lighting.","Fall, Spring",https://catalog.iastate.edu/azcourses/thtre/
THTRE,2630,Script Analysis,3.,Lecture 3.,,,,,"Theory, analysis, and interpretation of play scripts for production.","Fall, Spring",https://catalog.iastate.edu/azcourses/thtre/
THTRE,2800,Special Topics,1-4.,Lecture 4.,,,True,,Special topics in Theatre and Performing Arts.,,https://catalog.iastate.edu/azcourses/thtre/
