subject_code,course_number,title_name,credits,contact_hours,cross_listed,dual_listed,repeatable,prerequisites,description,typically_offered,source_url
TOX,4010,Principles of Toxicology,3.,Lecture 3.,,,,BBMB 4040,"Principles of toxicology governing entry, fate, and effects of toxicants on living systems. Includes toxicokinetics and foreign compound metabolism relative to toxification or detoxification. Fundamentals of foreign compound effects on metabolism, physiology, and morphology of different cell types, tissues, and organ systems.",Fall,https://catalog.iastate.edu/azcourses/tox/
TOX,4190,Foodborne Hazards,3.,Lecture 3.,,,,MICRO 2010 or MICRO 3020 ; 3 credits in BBMB,"Pathogenesis of human microbiological foodborne infections and intoxications, principles of toxicology, major classes of toxicants in the food supply, governmental regulation of foodborne hazards. Assessed service-learning component. Offered even-numbered years. Graduation Restriction: Only one of FSHN 4190 and FSHN 5190 may count toward graduation.",Spring,https://catalog.iastate.edu/azcourses/tox/
TOX,4200,Food Microbiology,3.,Lecture 3.,,,,MICRO 2010 or MICRO 3020,"Effects of microbial growth in foods. Methods to control, detect, and enumerate microorganisms in food and water. Foodborne infections and intoxications.",Fall,https://catalog.iastate.edu/azcourses/tox/
TOX,4900,Independent Study,1-2.,,,,True,Instructor Permission for Course,Independent study with a faculty mentor. Intended for students enrolled in the Pharmacology and Toxicology minor. Graduation Restriction: Students in the Pharmacology and Toxicology minor may use no more than 9 credits of university-wide 4900 credits towards the total of 120 credits required for graduation.,"Fall, Spring, Summer",https://catalog.iastate.edu/azcourses/tox/
TOX,4990,Undergraduate Research,1-3.,,,,True,Instructor Permission for Course,Independent research under faculty guidance. Intended for students enrolled in the Pharmacology and Toxicology minor. Graduation Restriction: Students may use no more than 9 credits of university-wide 4990 credits towards the total of 120 credits required for graduation. Offered on a satisfactory-fail basis only.,"Fall, Spring, Summer",https://catalog.iastate.edu/azcourses/tox/
TOX,5010,Principles of Toxicology,3.,Lecture 3.,,,,Graduate Standing or Permission of Instructor,"Principles of toxicology governing entry, fate, and effects of toxicants on living systems. Includes toxicokinetics and foreign compound metabolism relative to toxification or detoxification. Fundamentals of foreign compound effects on metabolism, physiology, and morphology of different cell types, tissues, and organ systems.",Fall,https://catalog.iastate.edu/azcourses/tox/
TOX,5020,Toxicology Methods,3.,,,,,Graduate Standing or Permission of Instructor,"Provides demonstrations or laboratory experience in the application of methods used in toxicology, including safety procedures, calculation and data analysis, teratologic and morphologic evaluation, cellular/molecular toxicological techniques, electrophysiologic measures, in vitro enzyme induction/biotransformation, neural and behavioral toxicology testing. Offered even-numbered years.",Spring,https://catalog.iastate.edu/azcourses/tox/
TOX,5040,Toxicology Seminar,1.,Lecture 1.,,,True,Graduate Standing or Permission of Instructor,"Presentation of a seminar about a current topic in toxicology as part of a weekly series of seminars by graduate students, faculty, and guest lecturers from off campus. Graduate student speakers will meet with the instructor at least one week prior to their formal presentation.","Fall, Spring, Summer",https://catalog.iastate.edu/azcourses/tox/
TOX,5150,Regulatory Toxicology,2.,Lecture 2.,,,,Graduate Standing or Permission of Instructor,"A survey course on risk analysis approaches used by toxicologists and other life and social scientists in government, industry and non-governmental organizations to inform regulatory policies and decisions under U.S. Federal statutes, including the Federal Food Drug and Cosmetic Act; the Food Quality Protection Act; the Federal Fungicide, Insecticide and Rodenticide Act; the Endangered Species Act; the Plant Protection Act; the National Environmental Policy Act; and the Toxic Substances Control Act. Topics covered include an overview of the roles and responsibilities of different U.S. Government Departments and Agencies in analyzing human; livestock and companion animal; and/or environmental risks and benefits of food products and food additives, cosmetics, drugs, pesticides, and consumer and industrial products. Offered odd-numbered years.",Fall,https://catalog.iastate.edu/azcourses/tox/
TOX,5290,Foodborne Toxicants,2.,Lecture 2.,,,,,"Mechanisms of action, metabolism, sources, remediation/detoxification, risk assessment of major foodborne toxicants of current interest, design of HAACP plans for use in food industries targeting foodborne toxicants, discussion of toxicants from a food defense perspective. Offered online only.","Fall, Spring, Summer",https://catalog.iastate.edu/azcourses/tox/
