subject_code,course_number,title_name,credits,contact_hours,cross_listed,dual_listed,repeatable,prerequisites,description,typically_offered,source_url
TSM,1100,Introduction to Technology,1.,Lecture 1.,,,,Agricultural Systems Technology or Industrial Technology major,"Team-oriented introduction to agricultural systems technology and industrial technology. Internships, careers, competencies, academic success strategies, transition to academic life.",Fall,https://catalog.iastate.edu/azcourses/tsm/
TSM,1110,Experiencing Technology,1.,Lecture 1.,,,,Agricultural Systems Technology or Industrial Technology major,"Team-oriented experiences in a spectrum of topics common to the practice of technology. Internships, faculty and alumni panels, industry visits, and lab demonstrations.","Fall, Spring",https://catalog.iastate.edu/azcourses/tsm/
TSM,1150,Solving Technology Problems,3.,,,,,Credit or enrollment for credit in MATH 1400 or higher,"Solving technology problems using modern hardware and software tools for data-driven solutions. Problem solving cycle, unit conversion, unit factor method, SI and engineering units, significant figures, data collecting and cleaning, error analysis, data visualization, curve fitting, and computer coding fundamentals (data types, flow control, I/O handling, visualization, debugging). Strong emphasis on critical thinking, systematic problem solving, and effective communication.","Fall, Spring",https://catalog.iastate.edu/azcourses/tsm/
TSM,1160,Introduction to Design in Technology,3.,,,,,,"Use of parametric solid modeling software to create three dimensional solid models and document parts and assemblies. Includes national and international standards for documentation, design projects, and teamwork. Rapid prototyping design creation, 3D printing, assemblies, rendering, and detailing technical drawings.","Fall, Spring",https://catalog.iastate.edu/azcourses/tsm/
TSM,2010,Preparing for Workplace Seminar,1.,Lecture 1.,,,,"Major in AE, AST, BSE, or ITEC; Sophomore classification",8 week course. Professionalism in the context of the engineering/technical workplace. Development of intrapersonal and interpersonal qualities including talent assessment; key workplace competency demonstration; leadership practice assessment; preparation of resume; cover letter preparation and behavioral-based interviewing; readiness for internship attainment.,"Fall, Spring",https://catalog.iastate.edu/azcourses/tsm/
TSM,2100,Fundamentals of Technology,3.,Lecture 3.,,,,"( TSM 1150 , ENGR 1600 , ABE 1600 , AERE 1600 , CE 1600 , CHE 1600 , CPRE 1850 , EE 1850 , IE 1600 , ME 1600 , or SE 1850); MATH 1400 or higher","Introduction to problem solving related to fundamental agricultural and/or industrial technology systems and mathematical tools needed for data analysis. Basic laws of energy, force, and mass applied to technology systems such as: mechanical power transmission; heating, ventilation and air conditioning; electrical circuits. Introduction to engineering economics: using the time value of money to make economic decisions.","Fall, Spring",https://catalog.iastate.edu/azcourses/tsm/
TSM,2140,Managing Technology Projects,1.,Lecture 2.,,,,Credit or enrollment in ABE 2010 or TSM 2010,"8 week course. Introduction to project management principles. Use of project management in technology-based projects for academic, industry, and personal use.","Fall, Spring",https://catalog.iastate.edu/azcourses/tsm/
TSM,2160,"Advanced Technical Graphics, Interpretation, and CAD",2.,,,,,TSM 1160,"Advanced computer-aided-design topics incorporating 3D design and documentation used in manufacturing settings. Topics include: geometric dimensioning and tolerancing, weldments, sheet metal parts, advanced visualization, feature based design of parts and assemblies.","Fall, Spring",https://catalog.iastate.edu/azcourses/tsm/
TSM,2400,Introduction to Advanced Manufacturing and Metals Processing,3.,"Lecture 2, Laboratory 2.",,,,MATH 1450 or higher.,"A study of selected materials, properties, and related processes used in metals manufacturing including: CNC lathes, Aluminum die casting, and welding. Introduction to engineering economic tools and their use in financial decision making. Lecture and laboratory activities focus on metals manufacturing processes.","Fall, Spring",https://catalog.iastate.edu/azcourses/tsm/
TSM,2410,Introduction to Manufacturing Processes for Plastics,2.,"Lecture 1, Laboratory 2.",,,,MATH 1450 or higher.,"A study of selected materials and related processes used in plastics manufacturing. Lecture and laboratory activities focus on materials, properties, and processes.","Fall, Spring",https://catalog.iastate.edu/azcourses/tsm/
TSM,2415,Introduction to Lean Manufacturing Systems,3.,"Laboratory 2, Lecture 2.",,,,TSM 1150,"Introduction to Lean manufacturing tools and principles. Emphasis on minimizing waste and improving operational performance using Lean tools, concepts, and theories Lab will emphasize application of these topics using hands-on projects.","Fall, Spring",https://catalog.iastate.edu/azcourses/tsm/
TSM,2700,Principles of Injury Prevention and Safety,3.,Lecture 3.,,,,,"Basic foundations of injury causation and prevention from a personal perspective in home, motor vehicle, and the public environment, and a management perspective within the work environment. Offered online only.","Fall, Spring",https://catalog.iastate.edu/azcourses/tsm/
TSM,3100,Total Quality Improvement,3.,Lecture 3.,,,,( STAT 1010 or STAT 1040 ); Junior classification,"Introduction to the fundamental concepts of TQM - Deming style of management, statistical studies to understand the behavior of products, processes, or services, and how to define and document processes and customer focus. Introduction to continuous improvement tools and methods - emphasis on critical thinking and problem solving skills.","Fall, Spring",https://catalog.iastate.edu/azcourses/tsm/
TSM,3220,Preservation of Grain Quality,3.,Lecture 3.,,,,MATH 1400 or Higher,Principles and management for grain quality preservation: quality measurement; drying and storage; fans and airflow through grain; handling methods; insect pest control; and grain quality monitoring.,Spring,https://catalog.iastate.edu/azcourses/tsm/
TSM,3220L,Preservation of Grain Quality Laboratory,1.,Laboratory 3.,,,,Credit or enrollment for credit in TSM 3220,Hands-on experiences in the principles and management for grain quality preservation: Quality measurement; drying and storage; fans and airflow through grain; handling methods; system planning; insect pest control; grain quality monitoring. Industry tour.,Spring,https://catalog.iastate.edu/azcourses/tsm/
TSM,3240,Soil and Water Conservation Management,3.,"Lecture 2, Laboratory 2.",,,,MATH 1400 or higher.,"Introduction to engineering and conservation principles applied to the planning of erosion control systems, water control structures, water quality management, and drainage and irrigation systems.",Spring,https://catalog.iastate.edu/azcourses/tsm/
TSM,3241,Food Processing for Companion Animals,3.,Lecture 3.,,,,ANS 3190,"Food processing and nutrition for carnivorous companion animals. Topics covered include meat processing and meat preservation for companion animal diets, regulatory standards, cutting edge technologies for processing meat for companion animals, dietary needs of carnivorous companion animals, effect of different processing methods on safety and nutrient bioavailability.",Fall,https://catalog.iastate.edu/azcourses/tsm/
TSM,3250,Biorenewable Systems,3.,Lecture 3.,,,,CHEM 1630 or higher; MATH 1400 or higher,"Converting biorenewable resources into bioenergy and biobased products. Biorenewable concepts as they relate to drivers of change, feedstock production, processes, products, co-products, economics, and transportation/logistics.",Fall,https://catalog.iastate.edu/azcourses/tsm/
