subject_code,course_number,title_name,credits,contact_hours,cross_listed,dual_listed,repeatable,prerequisites,description,typically_offered,source_url
URBD,5010,Urban Design Local Studio,6.,,,,,Graduate Standing or Permission of Instructor,"Analysis and observation of urban morphology, culture, and infrastructure through urban design projects set in Midwestern cities. Students learn, interpret, and propose design interventions to address urban challenges related to changing socio-political, economic, and environmental contexts. Field trips.",,https://catalog.iastate.edu/azcourses/urbandesign/
URBD,5020,Urban Design Global Studio,6.,"Lecture 1, Studio 10.",,,,Graduate Standing or Permission of Instructor,"Students develop proposals for urban design interventions in an international context at multiple scales using investigation, analysis, observation, and interaction. Field trips.",,https://catalog.iastate.edu/azcourses/urbandesign/
URBD,5110,North American Urbanization,3.,Lecture 3.,,,,Graduate Standing or Permission of Instructor,"Focus on the historical role of planning and urban design in the shaping of North American cities and regions, from the colonial period to the late twentieth century. Examine the legacy of planning and design by exploring the intersection of geographic space, politics, and policy. Investigate the factors and the processes that produce the built environment.",,https://catalog.iastate.edu/azcourses/urbandesign/
URBD,5120,Urban Design Colloquium,Required.,Lecture 1.,,,True,Graduate Standing or Permission of Instructor,Special topics and guest speakers. Offered on a satisfactory-fail basis only.,,https://catalog.iastate.edu/azcourses/urbandesign/
URBD,5130,Urbanism Research,3.,,,,,Graduate Standing or Permission of Instructor,"Research expands and integrates discourse and design findings from various Urban Design degree courses. Students develop independently-defined research to produce a comprehensive and conclusive final document that incorporates text, visuals and/or other media.",,https://catalog.iastate.edu/azcourses/urbandesign/
URBD,5210,Foundations of Urban Design,3.,Lecture 3.,,,,Graduate Standing or Permission of Instructor,"Introduction to the ways that urban designers think about the city with a focus on how history, theory, and a wide range of contextual factors inform urban design practice. Field trip.",,https://catalog.iastate.edu/azcourses/urbandesign/
URBD,5220,Contemporary Urban Design Practices,3.,Lecture 3.,,,,Graduate Standing or Permission of Instructor,"Study of emerging trends and practices in urban design using a range of current media communication platforms. Course will be conducted in a combination of lecture, seminar formats. Graduate level readings, discussions, research, and development of projective scenarios.",,https://catalog.iastate.edu/azcourses/urbandesign/
URBD,5310,Methods of Urban Design Workshop,3.,,,,,Graduate Standing or Permission of Instructor,"An exploration of contemporary urban design methods derived from significant urban projects and (re)development initiatives. Selected case studies to articulate and evaluate methods for implementing urban design goals and objectives in a variety of urbanized contexts. Case studies will build on a combination of analytical research, lectures, student presentations, and field trips.",,https://catalog.iastate.edu/azcourses/urbandesign/
URBD,5320,Urban Design Media Workshop,3.,,,,,Graduate Standing or Permission of Instructor,"An introduction to visual representation tools and techniques for generating and communicating urban design concepts, processes, and analytics. Project and exercises utilize traditional and contemporary approaches to drawing, modeling, and mapping, as well as desktop publishing tools.",,https://catalog.iastate.edu/azcourses/urbandesign/
URBD,5330,Urbanism Theory and Methods,3.,Lecture 3.,,,,Graduate Standing or Permission of Instructor,"This course examines how socio-political and economic forces shape the contemporary built environment. The course highlights various methods urban designers use to affect change and, in turn, how these impact stakeholders and communities. Students develop critical awareness of the impact of their decision making on the city.",,https://catalog.iastate.edu/azcourses/urbandesign/
