subject_code,course_number,title_name,credits,contact_hours,cross_listed,dual_listed,repeatable,prerequisites,description,typically_offered,source_url
USLS,2110,Introduction to U.S. Latino/a Studies,3.,Lecture 3.,,,,,"History and current lives of the Latino/a peoples in the United States, including Mexican, Cuban, Puerto Rican, Dominican, and South and Central Americans, as well as information specific to Iowa Latino/as, will be covered. Through readings, class discussions, writing assignments, and guest speakers, students will acquire accurate information and a solid understanding of the US Latino/a population and cultural perspectives. Elements of Latino/a culture to be covered include historical, sociological, educational, psychological, economic, and political facets. Meets U.S. Cultures and Communities Requirement.","Fall, Spring",https://catalog.iastate.edu/azcourses/us_ls/
USLS,3050,Spanish for Heritage Speakers,3.,Lecture 3.,,,,Instructor Permission for Course,Intensive study and application of grammar concepts in the development of writing and reading skills in a dynamic cultural context centered on Hispanics in the U.S. Designed for native or heritage Spanish speakers with oral proficiency in Spanish but with little or no formal academic training in the language. Taught exclusively in Spanish. Meets U.S. Cultures and Communities Requirement.,Spring,https://catalog.iastate.edu/azcourses/us_ls/
USLS,3140X,Racism in American Popular Media,3.,Lecture 3.,,,,Sophomore classification or above,This course explores the history of racist tropes and caricatures in American popular media and analyzes how they taught Americans to understand race.,,https://catalog.iastate.edu/azcourses/us_ls/
USLS,3230A,Latin American Anthropology: Violence and Memory,3.,Lecture 3.,,,True,,Exploration of key contemporary and historical issues in Latin American Anthropology; discussion of current anthropological approaches to studying Latin American social issues in a global context. Topics vary each time offered. ANTHR 2010 or ANTHR 3060 recommended. Meets International Perspectives Requirement.,Spring,https://catalog.iastate.edu/azcourses/us_ls/
USLS,3230B,Latin American Anthropology: Social movements and Democracy,3.,Lecture 3.,,,True,,Exploration of key contemporary and historical issues in Latin American Anthropology; discussion of current anthropological approaches to studying Latin American social issues in a global context. Topics vary each time offered. ANTHR 2010 or ANTHR 3060 recommended. Meets International Perspectives Requirement.,Spring,https://catalog.iastate.edu/azcourses/us_ls/
USLS,3230C,"Latin American Anthropology: Race, Class and Gender",3.,Lecture 3.,,,True,,Exploration of key contemporary and historical issues in Latin American Anthropology; discussion of current anthropological approaches to studying Latin American social issues in a global context. Topics vary each time offered. ANTHR 2010 or ANTHR 3060 recommended. Meets International Perspectives Requirement.,Spring,https://catalog.iastate.edu/azcourses/us_ls/
USLS,3230D,Latin American Anthropology: Regional Focus,3.,Lecture 3.,,,True,,Exploration of key contemporary and historical issues in Latin American Anthropology; discussion of current anthropological approaches to studying Latin American social issues in a global context. Topics vary each time offered. ANTHR 2010 or ANTHR 3060 recommended. Meets International Perspectives Requirement.,Spring,https://catalog.iastate.edu/azcourses/us_ls/
USLS,3230E,Latin American Anthropology: Culture and Sport,3.,Lecture 3.,,,True,,Exploration of key contemporary and historical issues in Latin American Anthropology; discussion of current anthropological approaches to studying Latin American social issues in a global context. Topics vary each time offered. ANTHR 2010 or ANTHR 3060 recommended. Meets International Perspectives Requirement.,,https://catalog.iastate.edu/azcourses/us_ls/
USLS,3250,Culture and Community: Iowa and Midwest Latino/as,3.,Lecture 3.,,,,USLS 2110,Analysis and discussion of interdisciplinary texts examining the local and regional Latino/a immigration experience. Exploring Latino/a culture through participation in a community project. Assessed service learning component.,Spring,https://catalog.iastate.edu/azcourses/us_ls/
USLS,3330,Latinos/as/x in the Criminal Justice Complex,3.,Lecture 3.,,,,,"Intersections of ethnicity, culture, assimilation, immigration/migration, crime, and the criminal justice system in the United States. Topics include: criminality among Latinos/as and the challenges they face within the CJ complex (cops, courts, corrections, as well as immigration and border control) situated within mass incarceration; the use of criminalization as a form of social control; and Latino/as' human and civil rights and the role that race, ethnicity, gender, class, and immigration status play in the criminal justice system and border control enforcement. Meets U.S. Cultures and Communities Requirement.",Fall,https://catalog.iastate.edu/azcourses/us_ls/
USLS,3430,Latin American Government and Politics,3.,Lecture 3.,,,,,"Political institutions, processes, and contemporary issues. Selected countries examined intensively to illustrate generalizations. Role of parties, military, church, human rights, women, environmental issues, interest groups, ideology, and globalization. Meets International Perspectives Requirement.","Fall, Spring, Summer",https://catalog.iastate.edu/azcourses/us_ls/
USLS,3470,U.S. Latino/a Psychology,3.,Lecture 3.,,,,PSYCH 1010; 1 additional PSYCH course,"Historical, political, and social contexts of psychological and mental health constructs in terms of their validity and utility for use with Latino/a people in the U.S. Unique aspects of psychological functioning particular to Latino/a people in the U.S. Meets U.S. Cultures and Communities Requirement.",Spring,https://catalog.iastate.edu/azcourses/us_ls/
USLS,3510,Introduction to Spanish-English Translation,3.,Lecture 3.,,,,SPAN 3030A or SPAN 3030B or SPAN 3040 or SPAN 3050,"Introduction to the theory, methods, techniques, and problems of translation. Consideration of material from business, literature, and the social sciences. Taught in Spanish. Meets International Perspectives Requirement.","Fall, Spring",https://catalog.iastate.edu/azcourses/us_ls/
USLS,3600,Latinas and Victimization,3.,Lecture 3.,,,,,"Intersections of race/ethnicity, class, gender, culture, acculturation, and immigration/migration in the victimization experiences of Latina women interacting with criminal justice systems and services. Topics include: domestic/intimate partner violence, sexual assault, human trafficking among Hispanic, Latina, and Chicana women, and the impact of language barriers, abuser threats of deportation, social and institutional discrimination and racism, cultural norms, and cultural insensitivity among first responders and service providers on help-seeking, well-being, and interactions with the criminal justice system. Meets U.S. Cultures and Communities Requirement.",,https://catalog.iastate.edu/azcourses/us_ls/
USLS,3710,Mexican American History,3.,Lecture 3.,,,,Sophomore classification,"History of the Mexican American community in the U.S. from the 1820s to the present. Topics include community development, employment, social marginalization, racism/discrimination, depression and world wars, civil rights, ethnic power and politics. Offered even-numbered years. Meets U.S. Cultures and Communities Requirement.",Fall,https://catalog.iastate.edu/azcourses/us_ls/
USLS,3720,Latina/o History,3.,Lecture 3.,,,,Sophomore classification,"Historical and cultural heritage of Latinas/os in the United States. The histories of Mexican, Puerto Rican, Cuban, and other Latin American peoples in the U.S. emphasizing political and cultural convergence and congruencies. Meets U.S. Cultures and Communities Requirement.",,https://catalog.iastate.edu/azcourses/us_ls/
