subject_code,course_number,title_name,credits,contact_hours,cross_listed,dual_listed,repeatable,prerequisites,description,typically_offered,source_url
UST,1010A,First Year Seminar I: Hixson Scholars,1.,"Discussion 0.5, Lecture 0.5.",,,,,"Orientation to the university focusing on student transition, acclimation to university, exposure to campus resources, and student success strategies. Exploration of topical issues associated with specific learning community or program focus. Offered on a satisfactory-fail basis only.","Fall, Spring",https://catalog.iastate.edu/azcourses/u_st/
UST,1010B,First Year Seminar I: MVP Award,1.,Lecture 1.,,,,,"Orientation to the university focusing on student transition, acclimation to university, exposure to campus resources, and student success strategies. Exploration of topical issues associated with specific learning community or program focus. Offered on a satisfactory-fail basis only.","Fall, Spring",https://catalog.iastate.edu/azcourses/u_st/
UST,1010C,First Year Seminar I: Science Bound,1.,Lecture 1.,,,,,"Orientation to the university focusing on student transition, acclimation to university, exposure to campus resources, and student success strategies. Exploration of topical issues associated with specific learning community or program focus. Offered on a satisfactory-fail basis only.","Fall, Spring",https://catalog.iastate.edu/azcourses/u_st/
UST,1010D,First Year Seminar I: Student Athlete Experience,1.,Lecture 1.,,,,,"Orientation to the university focusing on student transition, acclimation to university, exposure to campus resources, and student success strategies. Exploration of topical issues associated with specific learning community or program focus. Offered on a satisfactory-fail basis only.","Fall, Spring",https://catalog.iastate.edu/azcourses/u_st/
UST,1010E,First Year Seminar I: Student Support Services Program,1.,Lecture 1.,,,,,"Orientation to the university focusing on student transition, acclimation to university, exposure to campus resources, and student success strategies. Exploration of topical issues associated with specific learning community or program focus. Offered on a satisfactory-fail basis only.","Fall, Spring, Summer",https://catalog.iastate.edu/azcourses/u_st/
UST,1010F,First Year Seminar I: Academic Program for Excellence (APEX),1.,Lecture 1.,,,,,"Orientation to the university focusing on student transition, acclimation to university, exposure to campus resources, and student success strategies. Exploration of topical issues associated with specific learning community or program focus. Offered on a satisfactory-fail basis only.","Fall, Summer",https://catalog.iastate.edu/azcourses/u_st/
UST,1020A,First Year Seminar I: First Cyclone Program,1.,Lecture 1.,,,,,"Acceptance/participation in appropriate learning community. Continued exploration of university services, strategies for student success, leadership, and acclimation to university. Exploration of issues associated with learning community focus. Offered on a satisfactory-fail basis only.",Spring,https://catalog.iastate.edu/azcourses/u_st/
UST,1020B,First Year Seminar II: Science Bound,1.,Lecture 1.,,,,,"Acceptance/participation in appropriate learning community. Continued exploration of university services, strategies for student success, leadership, and acclimation to university. Exploration of issues associated with learning community focus. Offered on a satisfactory-fail basis only.",Spring,https://catalog.iastate.edu/azcourses/u_st/
UST,1050,Carver Academy Seminar: Freshmen,1.,Lecture 1.,,,,,Orientation to the university for Carver Academy students focusing primarily on transition and acclimation to the university environment. Individual and group identity development. Life and legacy of George Washington Carver. Meets 1 cr. of U.S. Cultures and Communities Requirement. Offered on a satisfactory-fail basis only.,Fall,https://catalog.iastate.edu/azcourses/u_st/
UST,1060,Carver Academy Seminar: Freshmen,1.,Lecture 1.,,,,,Introduction for Carver Academy students to resources at ISU to supplement classroom learning. Exploration of topical issues associated with the Academy and leadership opportunities at ISU. Meets 1 cr. of U.S. Cultures and Communities Requirement. Offered on a satisfactory-fail basis only.,Spring,https://catalog.iastate.edu/azcourses/u_st/
