subject_code,course_number,title_name,credits,contact_hours,cross_listed,dual_listed,repeatable,prerequisites,description,typically_offered,source_url
VCS,4900,Independent Study,1-30.,,,,True,Instructor Permission for Course,Independent Study in veterinary medicine focusing on basic/translational research or learning issues.,,https://catalog.iastate.edu/azcourses/v_c_s/
VCS,5900A,Special Topics: Medicine,1-3.,,,,True,Instructor Permission for Course,,,https://catalog.iastate.edu/azcourses/v_c_s/
VCS,5900B,Special Topics: Surgery,1-3.,,,,True,Graduate Standing or Permission of Instructor,,,https://catalog.iastate.edu/azcourses/v_c_s/
VCS,5900C,Special Topics: Theriogenology,1-3.,,,,True,Graduate Standing or Permission of Instructor,,,https://catalog.iastate.edu/azcourses/v_c_s/
VCS,5900D,Special Topics: Radiology,1-3.,,,,True,Graduate Standing or Permission of Instructor,,,https://catalog.iastate.edu/azcourses/v_c_s/
VCS,5900E,Special Topics: Anesthesiology,1-3.,,,,True,Graduate Standing or Permission of Instructor,,,https://catalog.iastate.edu/azcourses/v_c_s/
VCS,5900F,Special Topics - Ophthalmology,1-3.,,,,True,Graduate Standing or Permission of Instructor,Special topics in Ophthalmology.,"Fall, Spring",https://catalog.iastate.edu/azcourses/v_c_s/
VCS,5960,International Preceptorship,1-12.,,,,True,Graduate Standing or Permission of Instructor,"International Preceptorships and Study Abroad Group programs. Provides opportunities for students to be involved in applied clinical, production, and/or research experiences in international locations. The course consists of 40 hour per week experiential learning opportunities.","Fall, Spring, Summer",https://catalog.iastate.edu/azcourses/v_c_s/
VCS,5990,Creative Component,1-30.,,,,True,Instructor Permission for Course,,,https://catalog.iastate.edu/azcourses/v_c_s/
VCS,6040,Seminar,1.,Lecture 1.,,,True,,,"Fall, Spring",https://catalog.iastate.edu/azcourses/v_c_s/
VCS,6400,Advanced Radiology,2.,Lecture 2.,,,,,Detailed principles of clinical radiology with particular reference to radiographic interpretation.,,https://catalog.iastate.edu/azcourses/v_c_s/
VCS,6760,Advanced Medicine,2.,Lecture 2.,,,,,Principles of general medicine. A study in depth of factors that contribute to the development of clinical signs as related to the pathogenesis of disease.,,https://catalog.iastate.edu/azcourses/v_c_s/
VCS,6770,Advanced Medicine,2.,Lecture 2.,,,,,An advanced study of metabolic diseases.,,https://catalog.iastate.edu/azcourses/v_c_s/
VCS,6990A,Research: Medicine,1-30.,,,,True,,,,https://catalog.iastate.edu/azcourses/v_c_s/
VCS,6990B,Research: Surgery,1-30.,,,,True,,,,https://catalog.iastate.edu/azcourses/v_c_s/
VCS,6990C,Research: Theriogenology,1-30.,,,,True,,,,https://catalog.iastate.edu/azcourses/v_c_s/
VCS,6990E,Research: Anesthesiology,1-30.,,,,True,,,,https://catalog.iastate.edu/azcourses/v_c_s/
VCS,6990F,Research: Ophthalmology,1-30.,,,,True,,Graduate Level Research.,,https://catalog.iastate.edu/azcourses/v_c_s/
VCS,6990G,Research: Cardiology,1-30.,,,,True,Instructor Permission for Course,Graduate Level Research.,,https://catalog.iastate.edu/azcourses/v_c_s/
VCS,7305,Shelter Medicine,1.,Lecture 1.,,,,Doctor of Veterinary Medicine Students or (Instructor Permission or Permission of College Approver),An elective course designed to educate the veterinary student about issues of relevance to companion animal population and shelter medicine and welfare. Offered on a satisfactory-fail basis only.,Spring,https://catalog.iastate.edu/azcourses/v_c_s/
VCS,7311,Careers in Veterinary Medicine,1.,Lecture 1.,,,,Doctor of Veterinary Medicine Students or (Instructor Permission or Permission of College Approver),Introduction to the veterinary profession and the various career opportunities available.,Fall,https://catalog.iastate.edu/azcourses/v_c_s/
VCS,7313,Veterinary Medical Ethics,1.,Lecture 1.,,,,Doctor of Veterinary Medicine Students or (Instructor Permission or Permission of College Approver),A continuation of the Veterinarian in Society series. The course covers selected topics on moral and ethical issues affecting the practice of veterinary medicine. Offered on a satisfactory-fail basis only.,Fall,https://catalog.iastate.edu/azcourses/v_c_s/
VCS,7314,Communication and Leadership in Veterinary Medicine,1.,Lecture 1.,,,,Doctor of Veterinary Medicine Students or (Instructor Permission or Permission of College Approver),"A continuation of the Veterinarian in Society series. This course will focus on helping students develop their communication, leadership, team building and conflict resolution skills.",Fall,https://catalog.iastate.edu/azcourses/v_c_s/
VCS,7315,Veterinary Law,1.,Lecture 1.,,,,Doctor of Veterinary Medicine Students or (Instructor Permission or Permission of College Approver),A continuation of the Veterinarian in Society series. This course will emphasize veterinary law. Note: This course involves a component of distance education as defined by the AVMA Council on Education. Please see course syllabus for details. Offered on a satisfactory-fail basis only.,Spring,https://catalog.iastate.edu/azcourses/v_c_s/
VCS,7318,Advanced Small Animal Oncology,1.,,,,,,"Provide advanced instruction in medical oncology, radiation oncology, and surgical oncology. General learning objectives include demonstrating the ability to utilize information from the physical exam and historical findings to direct appropriate diagnostics and staging based on a specific cancer diagnosis. Offered on a satisfactory-fail basis only.",Spring,https://catalog.iastate.edu/azcourses/v_c_s/
VCS,7319X,Veterinary Military Practicum,1-6.,,,,True,Doctor of Veterinary Medicine Students or (Instructor Permission or Permission of College Approver),Allows students to gain veterinary experience through military service.,"Fall, Spring, Summer",https://catalog.iastate.edu/azcourses/v_c_s/
VCS,7320X,Veterinary Practicum,0.,,,,True,,Educational experiences for veterinary students to supplement traditional didactic and clinical training at Iowa State University College of Veterinary Medicine. Offered on a satisfactory-fail basis only.,,https://catalog.iastate.edu/azcourses/v_c_s/
VCS,7339,Clinical Foundations I,1.,"Lecture 1, Laboratory 2.",,,,Doctor of Veterinary Medicine Students or (Instructor Permission or Permission of College Approver),"Canine physical examination; basic behavior, animal handling and restraint; medical record keeping.",Fall,https://catalog.iastate.edu/azcourses/v_c_s/
VCS,7346X,Clinical Neurology,2.,Lecture 2.,,,,Doctor of Veterinary Medicine Students or (Instructor Permission or Permission of College Approver),"This course is intended to provide students with foundational concepts of clinical evaluation and management of animals with suspected neurologic disease. Focused discussions include the neurologic examination process, problem identification, neuroanatomical localization, formation of an appropriate differential diagnosis, disease discussion and formation of an appropriate diagnostic plan. The emphasis in this course is increasing skills, knowledge, and confidence when diagnosing and treating dogs and cats with neurologic conditions using relevant case examples.",Fall,https://catalog.iastate.edu/azcourses/v_c_s/
