subject_code,course_number,title_name,credits,contact_hours,cross_listed,dual_listed,repeatable,prerequisites,description,typically_offered,source_url
VDPAM,4280,Principles of Epidemiology and Population Health,3.,Lecture 3.,,,,,"Epidemiology of disease in populations. Disease causality, observational study design and approaches to epidemiologic investigations. This course is available on campus and by distance.",Spring,https://catalog.iastate.edu/azcourses/vdpam/
VDPAM,4870,Livestock Disease Prevention,3.,Lecture 3.,,,,,"The course is designed for both the pre-veterinary and animal science majors who have an interest in production animal health, disease prevention methods, epidemiology of economically important agents, and the ecology of currently important pathogens found in North American livestock industries. It will focus on disease prevention principles for individuals and large production population systems.",Fall,https://catalog.iastate.edu/azcourses/vdpam/
VDPAM,4900,Independent Study,1-5.,,,,True,Instructor Permission for Course,,"Fall, Spring, Summer",https://catalog.iastate.edu/azcourses/vdpam/
VDPAM,5070,Evidence Based Clinical Decision Making,1.,Lecture 1.,,,,Graduate Standing or Permission of Instructor,"Discussion, lectures and laboratories to assess the quality and significance of medical evidence in making informed decisions about the treatment of individual animals and animal populations.",Spring,https://catalog.iastate.edu/azcourses/vdpam/
VDPAM,5080,Poultry Diseases,2.,Lecture 2.,,,,Graduate Standing or Permission of Instructor,"Discussion, lectures and laboratories to assess the quality and significance of medical evidence in making informed decisions about the treatment of individual animals and animal populations. Offered even-numbered years.",Spring,https://catalog.iastate.edu/azcourses/vdpam/
VDPAM,5140,Veterinary Practice Entrepreneurship,2-3.,Lecture 3.,,,,Graduate Standing or Permission of Instructor,"Formal exposure to the entrepreneurial and business skills necessary to own and operate a successful veterinary practice or other small business opportunity. Personal finance, marketing, human resource management, general accounting, site assessment, location demographics, practice valuation, and a host of other issues which must be considered when purchasing or starting a new business are covered. Class instruction will be delivered by successful practice and business owners with examples from real world experience.",Spring,https://catalog.iastate.edu/azcourses/vdpam/
VDPAM,5260,Veterinary Toxicology,3.,Lecture 3.,,,,Graduate Standing or Permission of Instructor,"Study of toxicological diseases of animals emphasizing clinical recognition, circumstances of poisoning, differential diagnosis with clinical and laboratory data, therapeutic procedures, preventive management and public health implications. Supplemented with case-based materials.",Spring,https://catalog.iastate.edu/azcourses/vdpam/
VDPAM,5270,Applied Statistical Methods in Population Studies,3.,Lecture 3.,,,,Graduate Standing or Permission of Instructor,"ANOVA, Linear Regression, Model Selection, Mixed Models, ANCOVA, Repeated Measurement Analysis, MANOVA, Nonparametric Methods, Diagnostic Test Evaluation, ROC Curve Alysis, Generalized Linear Models, Logistic Regression, Survival Analysis, Cox Proportional Hazards Regression, Count Data Analyses. This course is available on campus and by distance. Offered odd-numbered years.",Fall,https://catalog.iastate.edu/azcourses/vdpam/
VDPAM,5280,Principles of Epidemiology and Population Health,3.,Lecture 3.,,,,Graduate Standing or Permission of Instructor,"Epidemiology of disease in populations. Disease causality, observational study design and approaches to epidemiologic investigations. This course is available on campus and by distance.",Spring,https://catalog.iastate.edu/azcourses/vdpam/
VDPAM,5290,Epidemiological Methods in Population Research,3.,Lecture 3.,,,,Graduate Standing or Permission of Instructor,"Train students on selecting the proper statistical model to conduct statistical analysis in the context of epidemiological studies. Train students to report and interpret data collected from experimental (clinical trials), observational (cross-sectional, case-control, cohort) or field-based studies incorporating the information covered in previous epidemiology/biostatistics courses and this course, and how to communicate the findings with the end-users. Introduce other methods that can be used when analyzing epidemiological studies. This course is available on campus and by distance. Offered even-numbered years.",Fall,https://catalog.iastate.edu/azcourses/vdpam/
VDPAM,5420A,Introduction to Molecular Biology Techniques: DNA Techniques,1.,"Lecture 0.5, Laboratory 1.",,,True,Graduate Standing or Permission of Instructor,"Includes genetic engineering procedures, sequencing, PCR, and genotyping. Offered on a satisfactory-fail basis only.","Fall, Spring",https://catalog.iastate.edu/azcourses/vdpam/
VDPAM,5420B,Introduction to Molecular Biology Techniques: Protein,1.,,,,True,Graduate Standing or Permission of Instructor,"Includes: immunophenotyping, ELISA, flow cytometry, microscopic techniques, image analysis, confocal, multiphoton and laser capture microdissection. Offered on a satisfactory-fail basis only.","Spring, Summer",https://catalog.iastate.edu/azcourses/vdpam/
VDPAM,5420C,Introduction to Molecular Biology Techniques: Cell Techniques,1.,Laboratory 2.,,,True,Graduate Standing or Permission of Instructor,"Includes: immunophenotyping, ELISA, flow cytometry, microscopic techniques, image analysis, confocal, multiphoton and laser capture microdissection.ular biology techniques and related procedures. Offered on a satisfactory-fail basis only.","Fall, Spring",https://catalog.iastate.edu/azcourses/vdpam/
VDPAM,5420E,Introduction to Molecular Biology Techniques: Proteomics,1.,"Lecture 0.5, Laboratory 1.",,,True,Graduate Standing or Permission of Instructor,"Includes: two-dimensional electrophoresis, laser scanning, mass spectrometry, and database searching. Offered on a satisfactory-fail basis only.",Fall,https://catalog.iastate.edu/azcourses/vdpam/
VDPAM,5420F,Introduction to Molecular Biology Techniques: Metabolomics,1.,"Lecture 0.5, Laboratory 1.",,,True,Graduate Standing or Permission of Instructor,Includes: metabolomics and the techniques involved in metabolite profiling. For non-chemistry majoring students who are seeking analytical aspects into their biological research projects. Offered on a satisfactory-fail basis only.,Fall,https://catalog.iastate.edu/azcourses/vdpam/
VDPAM,5460,Clinical and Diagnostic Toxicology,1-3.,Laboratory 6.,,,True,Graduate Standing or Permission of Instructor,"Advanced study of current problems and issues in veterinary toxicology. Emphasis on problem solving and interpreting clinical cases while utilizing clinical, epidemiological, and laboratory resources. Course consists highly of clinical case based material.","Fall, Spring, Summer",https://catalog.iastate.edu/azcourses/vdpam/
VDPAM,5510,Advanced Veterinary Diagnostic Pathology,1-3.,Laboratory 3.,,,True,Graduate Standing or Permission of Instructor,Laboratory diagnosis of animal diseases with emphasis on gross and microscopic lesion description. Caseload is focused heavily on infectious diseases of food animals.,"Fall, Spring, Summer",https://catalog.iastate.edu/azcourses/vdpam/
VDPAM,5600,Ecology of Infectious Diseases,3.,Lecture 3.,,,,Graduate Standing or Permission of Instructor,"Topics of applied ecology of infectious diseases. Specific objectives include: a) understanding dynamics of pathogen transmission within and between population; b) how to reduce risk of pathogen introduction in populations; c) how to early detect pathogens and classify herds according to disease status; d) how to quantify pathogen transmission and impact in animal populations; e) applying and measure the effect of interventions to manipulate disease transmission dynamics within and between populations. Develop skills to prevent, detect and/or significantly control/eliminate animal health issues from animal populations. Learn how to quantify health issues and estimate the value of interventions to influence and mitigate health problems. Offered odd-numbered years.",Spring,https://catalog.iastate.edu/azcourses/vdpam/
VDPAM,5620X,Applied Diagnostic Technologies and Medicine for Infectious Disease,3.,Lecture 3.,,,True,Graduate Standing or Permission of Instructor,"Veterinary diagnostics and diagnostic medicine for infectious diseases in animal populations, mostly livestock, and clinical applications. Specific objectives include: understanding diagnostic process; mechanics of laboratory diagnostic methods; test development and validation; optimizing diagnostic outcomes; and applying diagnostic data to disease investigation and/or intervention. Additionally, students are expected to present a diagnostic relevant subject and participate in case review and discussion. On-line and can be asynchronous from time to time. Offered even-numbered years.",Fall,https://catalog.iastate.edu/azcourses/vdpam/
VDPAM,5640,Animal Welfare Science and Research,3.,"Lecture 2, Discussion 1.",,,,Graduate Standing or Permission of Instructor,"Animal welfare is increasingly a key component of societal decisions about animal use, sustainable development and human-animal relationships. Understanding animal welfare as a scientific discipline, with primary focus on veterinary, biomedical and animal science disciplines. Explore fundamental and applied approaches to animal welfare science, including experimental design, data analysis and interpretation of results. Topics selected will reflect student interests, and may include animal welfare assessment and assurance, animal cognition, pain assessment and mitigation, and animal models used in biomedical research. Offered even-numbered years.",Spring,https://catalog.iastate.edu/azcourses/vdpam/
VDPAM,5670X,"Design, Implementation and Analysis of Field Studies in Food Animals",3.,Lecture 3.,,,,Graduate Standing or Permission of Instructor,"Design of field trials to test hypotheses related to biological outcomes in food animal production. Topics include field trial designs and how-to implement these trials under field/commercial conditions; and how to calculate sample size given different type of outcomes and covers the proper statistical analyses, interpretation, and communication of the results. Invited speakers will share how they use field trials in their daily practice. Case studies.",Fall,https://catalog.iastate.edu/azcourses/vdpam/
VDPAM,5700,"Risk Assessment for Food, Agriculture and Veterinary Medicine",3.,Lecture 3.,,,,Graduate Standing or Permission of Instructor,Risk assessment principles as applied to biological systems. Exposure and effects characterization in human and animal health and ecological risk assessment. Risk analysis frameworks and regulatory decision-making. Introduction to quantitative methods for risk assessment using epidemiological and distributional analysis. Uncertainty analysis. Offered odd-numbered years.,Fall,https://catalog.iastate.edu/azcourses/vdpam/
VDPAM,5810,Advanced Cow/Calf Production Medicine,2.,"Lecture 1.5, Laboratory 1.5.",,,,Graduate Standing or Permission of Instructor,"Two-week senior elective that will focus on the economics of animal disease in cow/calf operations. Evidence based medicine and epidemiological principles will be used in investigation of disease outbreaks. Extensive partial budgeting used. Students will complete at least two disease investigations involving outbreaks in commercial cow/calf operations and communicate their findings to the class, the herd owner, and local practitioner. Biosecurity: All students must follow current College policies regarding animal contact following foreign travel.",Spring,https://catalog.iastate.edu/azcourses/vdpam/
VDPAM,5900,Special Topics,1-3.,,,,True,Instructor Permission for Course,"Topics in medicine, surgery, theriogenology; beef, swine, dairy, or sheep production medicine.","Fall, Spring, Summer",https://catalog.iastate.edu/azcourses/vdpam/
VDPAM,5960,International Experience,1-12.,,,,True,Graduate Standing or Permission of Instructor,International Preceptorship.,"Fall, Spring, Summer",https://catalog.iastate.edu/azcourses/vdpam/
VDPAM,5990,Creative Component,1-30.,,,,True,Instructor Permission for Course,,"Fall, Spring, Summer",https://catalog.iastate.edu/azcourses/vdpam/
VDPAM,6500,Swine Diagnostic Medicine,4.,Lecture 4.,,,,,"A detailed study of swine diseases emphasizing the pathogenesis and diagnosis of swine respiratory, enteric, reproduction, metabolic, and septicemic diseases. Course activities include interpretation of diagnostic case reports and development of diagnostic plans for specific disease objectives.",Fall,https://catalog.iastate.edu/azcourses/vdpam/
VDPAM,6540,Comparative Antimicrobial Clinical Pharmacology,2.,Lecture 2.,,,,,"Initial antimicrobial selection for infectious diseases of domestic animals. The antimicrobial drug groups will be examined, stressing pharmacokinetics, minimal inhibitory concentrations, and the use of these parameters to select appropriate compounds and dosages for maximum efficacy. Offered odd-numbered years.",Fall,https://catalog.iastate.edu/azcourses/vdpam/
VDPAM,6550,Advanced Swine Production Medicine,4.,Lecture 4.,,,,,"Detailed overview of applied techniques used in swine production medicine; production modeling and record analysis, facility design and management, analysis of competing intervention options, design and evaluation of therapeutic and vaccination strategies, quality control procedures and food safety. Course activities include interpretation of diagnostic case reports and development of diagnostic plans for specific disease objectives. Offered odd-numbered years.",Spring,https://catalog.iastate.edu/azcourses/vdpam/
VDPAM,6990,Research,1-30.,,,,True,Instructor Permission for Course,,,https://catalog.iastate.edu/azcourses/vdpam/
VDPAM,7308,Spanish for Veterinarians,2.,Lecture 2.,,,,Doctor of Veterinary Medicine Students or (Instructor Permission or Permission of College Approver),"This course is designed to meet the needs of veterinary students who will practice in an environment in which the use of Spanish for accurate client communication is essential which includes much of our food animal industry in the state of Iowa. This is not a traditional Spanish language course. To be successful, students taking the course should have a basic knowledge of Spanish pronunciation, grammar and syntax.",Spring,https://catalog.iastate.edu/azcourses/vdpam/
