subject_code,course_number,title_name,credits,contact_hours,cross_listed,dual_listed,repeatable,prerequisites,description,typically_offered,source_url
VMPM,3300,Global Health Disparities,3.,Lecture 3.,,,,Undergraduate students who have earned 54 credits or more,"Historical and contemporary factors contributing to disparities in health outcomes for persons disadvantaged by income, location, ethnicity, sexual orientation, and abilities. Analysis and evaluation of health promotional materials, such as campaigns, and community-based interventions focused on reducing global health disparities. Meets U.S. Cultures and Communities Requirement.",Spring,https://catalog.iastate.edu/azcourses/v_mpm/
VMPM,3600,Global Health,3.,Lecture 3.,,,,BIOL 2110,"Explores human health across the world with particular emphasis on low- and lower-middle-income countries. Attention is given to the interconnectedness of health determinants, problems, and solutions found in global health, including the role of animals and the environment. Broad in scope, highlighting different cultures and the historical foundations of global health. Topics include colonialism, poverty, emerging diseases, climate change, biodiversity, one health, maternal and child health, HIV, malaria, urbanization, noncommunicable diseases and more. Current events will be a feature of all class meetings. Meets International Perspectives Requirement.","Fall, Spring",https://catalog.iastate.edu/azcourses/v_mpm/
VMPM,4280,Principles of Epidemiology and Population Health,3.,Lecture 3.,,,,,"Epidemiology of disease in populations. Disease causality, observational study design and approaches to epidemiologic investigations. This course is available on campus and by distance.",Spring,https://catalog.iastate.edu/azcourses/v_mpm/
VMPM,4500X,Introduction to a Research Career in Industry,1.,Lecture 2.,,,,,"Explores research career paths in industry. Course will discuss ways students can prepare competitive applications and skill sets necessary for success. Concepts of regulatory constraints, quality management systems and intellectual property will also be introduced. Material will be presented by industry associates and leaders. Offered on a satisfactory-fail basis only.",Fall,https://catalog.iastate.edu/azcourses/v_mpm/
VMPM,4900,Independent Study,1-9.,,,,True,Instructor Permission for Course,,"Fall, Spring, Summer",https://catalog.iastate.edu/azcourses/v_mpm/
VMPM,5010,Basic Principles of Microbiology,3.,Lecture 3.,,,,Biomedical Science Graduate Student or Permission of Instructor,"The general principles of bacteriology, immunology and virology will be discussed. The structure and function of bacteria and viruses, the mechanisms of pathogenesis, and the host response to infectious agents will be reviewed. Vaccines, their failures, and new developments in vaccine development will be explored.",Fall,https://catalog.iastate.edu/azcourses/v_mpm/
VMPM,5020,Microbial Genetics and Genomics,3.,Lecture 3.,,,,(BIOL 3130 and MICRO 3020) or Graduate Classification,"The fundamental concepts of bacterial and bacteriophage genetics including mutagenesis, mechanisms of vertical and horizontal genetic information transfer and gene regulation are covered, along with genetic and genomic-based approaches to study these and other cellular processes of microorganisms. Review and discussion of research literature to examine experimental design, methodology, and interpretation of both historical and contemporary relevance to microbial genetics and genomics. Offered even-numbered years.",Fall,https://catalog.iastate.edu/azcourses/v_mpm/
VMPM,5170,Gut Microbiome: Implications for Health and Diseases,3.,Lecture 3.,,,,2-3 credits in microbiology and/or immunology.,"Explore current research on gut microbiome including modern tools used to study the gut microbiome. Examine the linkages between gut microbiome and health status, diseases, and manipulation of gut microbiome to improve health.",Fall,https://catalog.iastate.edu/azcourses/v_mpm/
VMPM,5200,Principles of Immunology,3.,Lecture 3.,,,,MICRO 3100 or Permission of Instructor,"Nature of the immune system and its role in health and disease. Graduation Restriction: Credit for either VMPM 5200 or 5750, but not both may be applied toward graduation.",Fall,https://catalog.iastate.edu/azcourses/v_mpm/
VMPM,5250,Intestinal Microbiology,3.,Lecture 3.,,,,Graduate Standing or Permission of Instructor,"Overview of commensal microbiota in the health and well-being of vertebrates. Topics include diversity of intestinal structure, microbial diversity/function, innate immune development, community interactions and metabolic diseases associated with alterations of the intestinal microbiome. Offered even-numbered years.",Spring,https://catalog.iastate.edu/azcourses/v_mpm/
VMPM,5280,Principles of Epidemiology and Population Health,3.,Lecture 3.,,,,Graduate Standing or Permission of Instructor,"Epidemiology of disease in populations. Disease causality, observational study design and approaches to epidemiologic investigations. This course is available on campus and by distance.",Spring,https://catalog.iastate.edu/azcourses/v_mpm/
VMPM,5360,Zoonoses and Environmental Health,3.,Lecture 3.,,,,Graduate Standing or Permission of Instructor,Pathogenesis and control of zoonotic diseases. Factors influencing transmission and survival of pathogenic microorganisms in the environment. Offered odd-numbered years.,Spring,https://catalog.iastate.edu/azcourses/v_mpm/
VMPM,5400,Livestock Immunogenetics,2.,Lecture 2.,,,,ANS 5610 or MICRO 5750 or VMPM 5200 or Graduate Classification,Basic concepts and contemporary topics in genetic regulation of livestock immune response and disease resistance. Offered odd-numbered years.,Spring,https://catalog.iastate.edu/azcourses/v_mpm/
VMPM,5420A,Introduction to Molecular Biology Techniques: DNA Techniques,1.,"Lecture 0.5, Laboratory 1.",,,True,Graduate Standing or Permission of Instructor,"Includes genetic engineering procedures, sequencing, PCR, and genotyping. Offered on a satisfactory-fail basis only.","Fall, Spring",https://catalog.iastate.edu/azcourses/v_mpm/
