subject_code,course_number,title_name,credits,contact_hours,cross_listed,dual_listed,repeatable,prerequisites,description,typically_offered,source_url
VPTH,3530,Introductory Parasitology,3.,Lecture 3.,,,,BIOL 2120,"Biology and host-parasite relationships of major groups of animal parasites, and techniques of diagnosing and studying parasites.",Spring,https://catalog.iastate.edu/azcourses/v_pth/
VPTH,4010,Basics of Medical Terminology,1.,Lecture 1.,,,,,"Discussion of prefixes, suffixes, and roots (mostly from Latin and Greek) that comprise medical terms.",Fall,https://catalog.iastate.edu/azcourses/v_pth/
VPTH,4020,Introduction to Pathology,3.,Lecture 3.,,,,"BIOL 2110 , BIOL 2110L , BIOL 2120 , and BIOL 2120L","Introductory exploration of pathology as a medical discipline. This includes study of disease mechanisms via an introduction to general pathology topics (cell degeneration, necrosis, disturbances of growth, disturbances of blood flow, inflammation, neoplasia) and organ system-specific response to injury.",Fall,https://catalog.iastate.edu/azcourses/v_pth/
VPTH,4030,Introduction to Pathology II,3.,Lecture 3.,,,,VPTH 4020 and BIOL 4020,Continuation of pathology topics begun in VPTH/ BIOL 4020 . How specific organ systems respond to injury using principles and information covered in VPTH 4020 / BIOL 4020 . Study of a set of prototypical diseases that affect humans and animals.,Spring,https://catalog.iastate.edu/azcourses/v_pth/
VPTH,4900,Independent Study,1-12.,,,,True,Instructor Permission for Course,,"Fall, Spring, Summer",https://catalog.iastate.edu/azcourses/v_pth/
VPTH,5030,Principles of Pathology,3.,Lecture 3.,,,,Graduate Standing or Permission of Instructor,"Introductory exploration of pathology as a medical discipline. This includes study of disease mechanisms via an introduction to general pathology topics (cell degeneration, necrosis, disturbances of growth, disturbances of blood flow, inflammation, neoplasia) and organ system-specific response to injury.",Spring,https://catalog.iastate.edu/azcourses/v_pth/
VPTH,5300,Teaching and Learning in Veterinary Medical Education,3.,Lecture 3.,,,,Graduate Standing or Permission of Instructor,"Study of principles of teaching and learning as they relate to veterinary medical education. These include: theories of learning, analyzing content/learners/context, identifying goals, identifying appropriate instructional strategies (specific to medical education), matching assessment processes to goals and strategies, common curricular approaches and decision-making processes in medical education, and the scholarship of teaching and learning for veterinary medical educators. Offered even-numbered years.",Fall,https://catalog.iastate.edu/azcourses/v_pth/
VPTH,5420,Anatomic Pathology I,3.,"Lecture 2, Laboratory 2.",,,,Graduate Standing or Permission of Instructor,Basic pathology with emphasis on disease in animals and introduction to disease by system.,Spring,https://catalog.iastate.edu/azcourses/v_pth/
VPTH,5480,Diagnostic Parasitology Laboratory,1-3.,Laboratory 9.,,,True,Graduate Standing or Permission of Instructor,Contact hours are (0-3 to 0-9). A laboratory experience in the technical and applied aspects of veterinary parasitology.,"Fall, Spring, Summer",https://catalog.iastate.edu/azcourses/v_pth/
VPTH,5490,Clinical Pathology Laboratory,1.,Laboratory 3.,,,True,Graduate Standing or Permission of Instructor,"Laboratory procedures and clinical interpretations with emphasis on hematology, cytology, and clinical chemistry. Offered on a satisfactory-fail basis only.","Fall, Spring, Summer",https://catalog.iastate.edu/azcourses/v_pth/
VPTH,5500,Surgical Pathology Laboratory,1-3.,Laboratory 9.,,,True,Graduate Standing or Permission of Instructor,Contact hours are (0-3 to 0-9). Diagnosis of lesions in biopsy specimens; classification of neoplasms. Course includes rotation through departmental biopsy service and review of selected cases from departmental archives. Offered on a satisfactory-fail basis only.,"Fall, Spring, Summer",https://catalog.iastate.edu/azcourses/v_pth/
VPTH,5510,Postmortem Pathology Laboratory,1-3.,Laboratory 9.,,,True,Graduate Standing or Permission of Instructor,Contact hours are (0-3 to 0-9). Necropsy techniques of animals with emphasis on gross and microscopic lesions and diagnosis. Offered on a satisfactory-fail basis only.,"Fall, Spring, Summer",https://catalog.iastate.edu/azcourses/v_pth/
VPTH,5540,Ethics in Scientific Research and Writing,1.,Lecture 1.,,,,Graduate Standing or Permission of Instructor,"Ethical conduct in biomedical research, criticism, writing, and adherence to regulations. Offered even-numbered years. Offered on a satisfactory-fail basis only.",Spring,https://catalog.iastate.edu/azcourses/v_pth/
VPTH,5700,Systemic Pathology I,4.,Lecture 4.,,,,[Graduate Classification and (VPTH 3420 or VPTH 5420 )] OR Instructor Permission,"Pathology of the respiratory, reproductive, endocrine, musculoskeletal, and cardiovascular systems. Emphasis on pathogenesis and histopathology correlated with interpretive clinical pathology where appropriate. DVM degree required. Offered even-numbered years.",Fall,https://catalog.iastate.edu/azcourses/v_pth/
VPTH,5710,Systemic Pathology II,4.,Lecture 4.,,,,Graduate Standing or Permission of Instructor,"Pathology of the integumentary, urinary, digestive, lymphoid, and nervous systems and special senses. Emphasis on pathogenesis and histopathology correlated with interpretive clinical pathology where appropriate. DVM degree required. Offered odd-numbered years.",Fall,https://catalog.iastate.edu/azcourses/v_pth/
VPTH,5720,Anatomic Pathology II,4.,"Lecture 3, Laboratory 3.",,,,Graduate Standing or Permission of Instructor,Response to injury by each body system.,Fall,https://catalog.iastate.edu/azcourses/v_pth/
VPTH,5760,Veterinary Parasitology,4.,"Lecture 3, Laboratory 3.",,,,Graduate Standing or Permission of Instructor,Parasitic diseases of domestic animals and their control.,Fall,https://catalog.iastate.edu/azcourses/v_pth/
VPTH,5900A,Special Topics: Veterinary Pathology,1-4.,,,,True,Instructor Permission for Course,,"Fall, Spring, Summer",https://catalog.iastate.edu/azcourses/v_pth/
VPTH,5900B,Special Topics: Veterinary Parasitology,1-4.,,,,True,Instructor Permission for Course,,"Fall, Spring, Summer",https://catalog.iastate.edu/azcourses/v_pth/
VPTH,5900C,Special Topics: Veterinary Toxicology,1-4.,,,,True,Graduate Standing or Permission of Instructor,,"Fall, Spring, Summer",https://catalog.iastate.edu/azcourses/v_pth/
VPTH,5900D,Special Topics: Veterinary Clinical Pathology,1-4.,,,,True,Instructor Permission for Course,,"Fall, Spring, Summer",https://catalog.iastate.edu/azcourses/v_pth/
VPTH,5900E,Special Topics: Other,1-4.,,,,True,Instructor Permission for Course,,"Fall, Spring, Summer",https://catalog.iastate.edu/azcourses/v_pth/
VPTH,5960,International Preceptorship,1-12.,,,,True,Graduate Standing or Permission of Instructor,"International Preceptorships and Study Abroad Group programs. This course will provide opportunities for students to be involved in applied clinical, production, and/or research experiences in international locations. The course consists of 40 hour per week experiential learning opportunities. Offered on a satisfactory-fail basis only.","Fall, Spring, Summer",https://catalog.iastate.edu/azcourses/v_pth/
VPTH,5990A,Creative Component Research: Veterinary Pathology,1-30.,,,,True,Instructor Permission for Course,Course for departmental graduate research.,"Fall, Spring, Summer",https://catalog.iastate.edu/azcourses/v_pth/
VPTH,5990B,Creative Component Research: Veterinary Parasitology,1-30.,,,,True,Instructor Permission for Course,Course for departmental graduate research.,"Fall, Spring, Summer",https://catalog.iastate.edu/azcourses/v_pth/
VPTH,5990C,Creative Component Research: Veterinary Toxicology,1-30.,,,,True,,Course for departmental graduate research.,"Fall, Spring, Summer",https://catalog.iastate.edu/azcourses/v_pth/
VPTH,5990D,Creative Component Research: Veterinary Clinical Pathology,1-30.,,,,True,Instructor Permission for Course,Course for departmental graduate research.,"Fall, Spring, Summer",https://catalog.iastate.edu/azcourses/v_pth/
VPTH,6040,Pathology Case Seminar,1-2.,Lecture 2.,,,True,,Description and interpretation of microscopic lesions and clinical pathology data collected from cases of natural and experimental disease. Offered on a satisfactory-fail basis only.,"Fall, Spring",https://catalog.iastate.edu/azcourses/v_pth/
VPTH,6050,Current Topics Seminar,1.,Lecture 1.,,,True,Instructor Permission for Course,A seminar of graduate research at the time of thesis or dissertation defense.,"Fall, Spring, Summer",https://catalog.iastate.edu/azcourses/v_pth/
VPTH,6060A,Diagnostic Interpretation: Veterinary Pathology,Required.,Lecture 1.,,,,VPTH majors only,A comprehensive examination in the diagnostic description and interpretation of case materials relevant to veterinary pathology and areas of specialization for the graduate degree preliminary examination.,"Fall, Spring, Summer",https://catalog.iastate.edu/azcourses/v_pth/
VPTH,6060B,Diagnostic Interpretation: Veterinary Parasitology,Required.,Lecture 1.,,,,VPTH majors only,A comprehensive examination in the diagnostic description and interpretation of case materials relevant to veterinary pathology and areas of specialization for the graduate degree preliminary examination.,"Fall, Spring, Summer",https://catalog.iastate.edu/azcourses/v_pth/
VPTH,6060C,Diagnostic Interpretation: Veterinary Toxicology,Required.,Lecture 1.,,,,VPTH majors only,A comprehensive examination in the diagnostic description and interpretation of case materials relevant to veterinary pathology and areas of specialization for the graduate degree preliminary examination.,"Fall, Spring, Summer",https://catalog.iastate.edu/azcourses/v_pth/
VPTH,6060D,Diagnostic Interpretation: Veterinary Clinical Pathology,Required.,Lecture 1.,,,,VPTH majors only,A comprehensive examination in the diagnostic description and interpretation of case materials relevant to veterinary pathology and areas of specialization for the graduate degree preliminary examination.,"Fall, Spring, Summer",https://catalog.iastate.edu/azcourses/v_pth/
VPTH,6550,Cellular and Molecular Pathology I,3.,Lecture 3.,,,,,"Cellular and molecular mechanisms of cell injury, cellular responses to injury, and inflammation. Graduate course in biochemistry, genetics, or cell biology recommended. Offered odd-numbered years.",Spring,https://catalog.iastate.edu/azcourses/v_pth/
VPTH,6560,Cellular and Molecular Pathology II,3.,Lecture 3.,,,,,Cellular and molecular mechanisms of carcinogenesis. Offered even-numbered years.,Spring,https://catalog.iastate.edu/azcourses/v_pth/
VPTH,6600,Pathogenesis of Persistent Infections,2.,Lecture 2.,,,,,"Study of current knowledge related to host pathogen interactions during persistent and chronic infections by bacteria, viruses and parasites. Offered odd-numbered years.",Spring,https://catalog.iastate.edu/azcourses/v_pth/
VPTH,6610,Comparative Immunology and Infectious Disease,2.,Lecture 2.,,,,,"Discuss and define similarities and differences of varied host responses to infectious challenge. Learning will focus on comparative aspects of the host response and the unique aspects of immunity from different organisms, while highlighting molecular and mechanistic similarities of pathogen recognition, response and resolution. Offered odd-numbered years.",Spring,https://catalog.iastate.edu/azcourses/v_pth/
VPTH,6790,Histopathology of Laboratory Animals,2.,,,,,VPTH 5700 or VPTH 5710 ; Permission of Instructor,"Study of microscopic lesions in laboratory animals with emphasis on description, etiology, pathogenesis, and diagnosis.",,https://catalog.iastate.edu/azcourses/v_pth/
VPTH,6990A,Research: Veterinary Pathology,1-30.,,,,True,Instructor Permission for Course,Course restricted to graduate program within the department.,"Fall, Spring, Summer",https://catalog.iastate.edu/azcourses/v_pth/
VPTH,6990B,Research: Veterinary Parasitology,1-30.,,,,True,Instructor Permission for Course,Course restricted to graduate program within the department.,"Fall, Spring, Summer",https://catalog.iastate.edu/azcourses/v_pth/
VPTH,6990C,Research: Veterinary Toxicology,1-30.,,,,True,,Course restricted to graduate program within the department.,"Fall, Spring, Summer",https://catalog.iastate.edu/azcourses/v_pth/
VPTH,6990D,Research: Veterinary Clinical Pathology,1-30.,,,,True,Instructor Permission for Course,Course restricted to graduate program within the department.,"Fall, Spring, Summer",https://catalog.iastate.edu/azcourses/v_pth/
VPTH,7342,Anatomic Pathology I,3.,"Lecture 2, Laboratory 2.",,,,Doctor of Veterinary Medicine Students or (Instructor Permission or Permission of College Approver),Basic pathology with emphasis on disease in animals and introduction to disease by system.,Spring,https://catalog.iastate.edu/azcourses/v_pth/
VPTH,7372,Anatomic Pathology II,4.,"Lecture 3, Laboratory 3.",,,,Doctor of Veterinary Medicine Students or (Instructor Permission or Permission of College Approver),Response to injury by each body system.,Fall,https://catalog.iastate.edu/azcourses/v_pth/
VPTH,7376,Veterinary Parasitology,4.,"Lecture 3, Laboratory 3.",,,,Doctor of Veterinary Medicine Students or (Instructor Permission or Permission of College Approver),Parasitic diseases of domestic animals and their control.,Fall,https://catalog.iastate.edu/azcourses/v_pth/
VPTH,7377,Case Study III,2.,"Lecture 1, Laboratory 2.",,,,Doctor of Veterinary Medicine Students or (Instructor Permission or Permission of College Approver),Clinical applications of the basic sciences taught concurrently in the fall semester of the second year curriculum in veterinary medicine.,Fall,https://catalog.iastate.edu/azcourses/v_pth/
VPTH,7409,Introduction to Veterinary Cytology and Laboratory Techniques,1.,Laboratory 2.,,,,,"Description, interpretation, and techniques for cellular preparations from tissues and body fluids.",Spring,https://catalog.iastate.edu/azcourses/v_pth/
VPTH,7425,Clinical Pathology,4.,"Lecture 2, Laboratory 4.",,,,Doctor of Veterinary Medicine Students or (Instructor Permission or Permission of College Approver),"Principles of clinical hematology, clinical chemistry, and urinalysis in domestic animals. Note: This course involves a component of distance education as defined by the AVMA Council on Education. Please see course syllabus for details.",Spring,https://catalog.iastate.edu/azcourses/v_pth/
VPTH,7456,Necropsy Laboratory Practicum,1.,Laboratory 2.5.,,,True,Doctor of Veterinary Medicine Students or (Instructor Permission or Permission of College Approver),Practicum in postmortem examination and diagnosis. Offered on a satisfactory-fail basis only.,,https://catalog.iastate.edu/azcourses/v_pth/
VPTH,7457,Clinical Pathology Laboratory Practicum,1.,Laboratory 2.5.,,,True,Doctor of Veterinary Medicine Students or (Instructor Permission or Permission of College Approver),"Methodology in clinical chemistry, hematology and cytology; practice in interpretation of laboratory data. Offered on a satisfactory-fail basis only.",,https://catalog.iastate.edu/azcourses/v_pth/
VPTH,7476X,Clinical Veterinary Parasitology,1-2.,,,,True,Doctor of Veterinary Medicine Students or (Instructor Permission or Permission of College Approver),Two week clinical rotation in clinical veterinary parasitology. Students will investigate parasitic disease with supervision of the instructors. Variable amount of travel to farm or sites will be required. Biosecurity: All students must follow current College policies regarding animal contact following foreign travel. Offered on a satisfactory-fail basis only.,,https://catalog.iastate.edu/azcourses/v_pth/
VPTH,7490,Independent Study,1-30.,,,,True,Instructor Permission for Course,,"Fall, Spring, Summer",https://catalog.iastate.edu/azcourses/v_pth/
VPTH,7492,Orientation for International Experience,1.,Lecture 1.,,,True,Doctor of Veterinary Medicine Students or (Instructor Permission or Permission of College Approver),8 weeks. Predeparture orientation for group study abroad. Cultural considerations for the study abroad experience and a conversational language introduction. Out of class work will be assigned. Offered on a satisfactory-fail basis only.,Spring,https://catalog.iastate.edu/azcourses/v_pth/
