subject_code,course_number,title_name,credits,contact_hours,cross_listed,dual_listed,repeatable,prerequisites,description,typically_offered,source_url
WGS,1600,Gender Justice,1.,"Lecture 0.5, Discussion 0.5.",,,,,"Half semester course. Examines the socialization process in the United States and how our perspectives are formed. An introduction to patriarchy, sexism, and ally development are explored. Skills to enhance communication and understanding among women and men will be developed. Offered on a satisfactory-fail basis only.","Fall, Spring",https://catalog.iastate.edu/azcourses/wgs/
WGS,2010,Introduction to Women's and Gender Studies,3.,Lecture 3.,,,,,"Introduction to the interdisciplinary field of Women's and Gender Studies. Contemporary status of women in the U.S. and worldwide from social, economic, historical, political, philosophical and literary perspectives. Analysis of intersection of gender, race, class, and sexuality. Subject matter includes work, health, sexuality, and violence. Foundation for the other courses in the program. Meets U.S. Cultures and Communities Requirement.",,https://catalog.iastate.edu/azcourses/wgs/
WGS,2030,Introduction to Lesbian Communities,3.,Lecture 3.,,,,,"Study of contemporary and historic lesbian cultures and communities from a US and international perspective. Addresses issues of race, class, gender and sexuality as they intersect with the formation of lesbian identities. Explores who identifies as lesbian and how that dis/enables political resistance and formation of community. Meets U.S. Cultures and Communities Requirement.",,https://catalog.iastate.edu/azcourses/wgs/
WGS,2050,Introduction to Queer Studies,3.,Lecture 3.,,,,ENGL 1500,"Interdisciplinary study of issues relating to lesbian, gay, bisexual, transgender, and queer identities in the U.S. Attention will be given to race and socioeconomic class. Meets U.S. Cultures and Communities Requirement.",,https://catalog.iastate.edu/azcourses/wgs/
WGS,2100,Gender and Sexuality in American Pop Culture,3.,Lecture 3.,,,,,Introduction to research and theory examining the ways gender and sexuality are conveyed through popular culture texts. Analysis of codes and their influence on the development of identities that shape how we view the world. Discussion of intersectional topics including race and class.,,https://catalog.iastate.edu/azcourses/wgs/
WGS,3010,International Perspectives on Women and Gender,3.,Lecture 3.,,,True,WGS 2010 or 3 credits in WGS at 3000 level or above,"Study of women in a range of cultures, depending on faculty specialization. Special emphasis on women in development seen in postcolonial context. Meets International Perspectives Requirement.","Fall, Spring",https://catalog.iastate.edu/azcourses/wgs/
WGS,3070,Women in Science and Engineering,3.,Lecture 3.,,,,ENGL 2500 ; Sophomore classification,"The interrelationships of women and science and engineering examined from historical, sociological, philosophical, and biological perspectives. Factors contributing to under-representation; feminist critiques of science; examination of successful strategies. Does not satisfy biology major advanced credit requirements. Meets U.S. Cultures and Communities Requirement.",Fall,https://catalog.iastate.edu/azcourses/wgs/
WGS,3080,Write Like a Woman,3.,Lecture 3.,,,,ENGL 2500,"Writing and reading interpretive fiction written by women. Emphasis on stories that embody a female literary life, gender-specific ways of creating characters and conflicts, analytical reading and writing, workshop criticism and shared commentaries. Includes multi-modal projects.",Fall,https://catalog.iastate.edu/azcourses/wgs/
WGS,3200,Ecofeminism,3.,Lecture 3.,,,,WGS 2010 or 3 credits in WGS at 3000 level or above,"Women's relationships with the earth, non-human nature, and other humans. The course explores the connections between society's treatment of women and nature; origins of ecofeminism and how it relates to the science of ecology, conventional and sustainable agriculture as well as how ecofeminism relates to other branches of feminist philosophy. Evaluation and critique of modern science, technology, political systems and SOLUTIONS will be included.",,https://catalog.iastate.edu/azcourses/wgs/
WGS,3210,Economics of Discrimination,3.,Lecture 3.,,,,ECON 1010,"Economic theories of discrimination. Analysis of the economic problems of women and minorities in such areas as earnings, occupations, and unemployment. Public policy concerning discrimination. Poverty measurement and antipoverty programs in the U.S. Meets U.S. Cultures and Communities Requirement.",,https://catalog.iastate.edu/azcourses/wgs/
WGS,3230,Gender and Communication,3.,Lecture 3.,,,,,Examination of how understanding and enactment of gender identity is shaped by communication. Verbal and nonverbal communication across various contexts including personal relationships and the media. Explores discourse of social movements aiming to transform cultural definitions of gender. Meets U.S. Cultures and Communities Requirement.,,https://catalog.iastate.edu/azcourses/wgs/
WGS,3250,Portrayals of Gender and Sexualities in the Media,3.,Lecture 3.,,,,Sophomore classification,"Survey of how the media and popular culture portray gender and sexualities and the impact on individuals and society. Images of women, men, transgender as well as heterosexual, non-heterosexual and others. Studies both historical and emerging images in the media in terms of stereotypes and positive images.",,https://catalog.iastate.edu/azcourses/wgs/
WGS,3270,Gender and Sexualities in Society,3.,Lecture 3.,,,,,"Develop a foundational understanding of the role of gender and sexuality in society. Students will explore the biological, social, and cultural meanings of gender and sexuality and their intersections with class, race/ethnicity, ability, socioeconomic status and other identities. Contemporary social science research, theories, and feminist perspectives as they relate to gender and sexuality, and explores gender and sexuality within families, education, the media, politics, and the economy. Meets U.S. Cultures and Communities Requirement.","Fall, Spring, Summer",https://catalog.iastate.edu/azcourses/wgs/
WGS,3280,Sociology of Masculinities and Manhood,3.,Lecture 3.,,,,,"Examination of socially constructed and idealized images of manhood, the nature of social hierarchies and relations constructed on the basis of imagery, ideologies, and norms of masculinity. Theories on gender (sociological, psychological, and biological). Particular attention given to theory and research on gender variations among men by race, class, ethnicity, sexual orientation, physical ability and age.",Spring,https://catalog.iastate.edu/azcourses/wgs/
WGS,3330,"Women, Gender, and Leadership",3.,Lecture 3.,,,,Sophomore classification,"An intersectional approach to understanding gender and leadership as it relates to women from various races, ethnicities, gender identities, sexual orientations and abilities. Meets U.S. Cultures and Communities Requirement.",,https://catalog.iastate.edu/azcourses/wgs/
WGS,3360,"Religion, Sex and Gender",3.,Lecture 3.,,,,(3 credits in RELIG or WGS) or Permission of Instructor,Gender and sexuality in the historical and contemporary contexts of various religious traditions. Meets International Perspectives Requirement.,Fall,https://catalog.iastate.edu/azcourses/wgs/
WGS,3380,Feminist Philosophy,3.,Lecture 3.,,,,,"A critical, theoretical examination of the philosophical and intellectual commitments that underlie feminist projects. Questions of identity, knowledge, and ethics will be considered from both historical and contemporary perspectives. Topics will include sex and gender, self and other, nature and nurture, masculinity and femininity, equity and justice, patriarchy, oppression, and intersectionality. 3 credits in PHIL or WGS recommended.",Fall,https://catalog.iastate.edu/azcourses/wgs/
WGS,3390,Goddess Religions,3.,Lecture 3.,,,,,"Focal study of selected global Goddess traditions in context, including American Goddess spirituality. Historical and cross-cultural images, identities, and discourses of female divinity.",,https://catalog.iastate.edu/azcourses/wgs/
WGS,3420,"Culture, Sex, and Gender",3.,Lecture 3.,,,,,"Cross-cultural examination of gender and sexuality. Emphasis on global and transnational perspectives. Topics will include varied gender and sexual expressions, status and roles, intersectionality in global or transnational contexts, and the examination of systems of oppression cross-culturally. ANTHR 2010 or WGS 2010 recommended. Meets International Perspectives Requirement.",Spring,https://catalog.iastate.edu/azcourses/wgs/
WGS,3440,Human Reproduction,3.,Lecture 3.,,,,BIOL 2120,"Biology of human reproduction, including reproductive systems, hormones, and endocrinology of pregnancy, presented from a clinically-oriented perspective. Reviews health-related conditions such as infertility, sexually-transmitted diseases, and complicated pregnancy.",Spring,https://catalog.iastate.edu/azcourses/wgs/
WGS,3450,Women's Literature,3.,Lecture 3.,,,,ENGL 2500,"Focused study of literature by women and about women that focuses on a particular genre (fiction, non-fiction, poetry, film, drama, media), author, or theme.",,https://catalog.iastate.edu/azcourses/wgs/
WGS,3460,Psychology of Women,3.,Lecture 3.,,,,PSYCH 1010; 1 additional PSYCH course,"Survey of theory and research related to major biological, interpersonal, and cultural issues affecting girls' and women's psychological development and behavior. Meets U.S. Cultures and Communities Requirement.",Spring,https://catalog.iastate.edu/azcourses/wgs/
WGS,3490X,Psychology of Sexual Orientation,3.,Lecture 3.,,,True,PSYCH 1010 ; 3 additional credits in PSYCH,"Development of major human sexual orientation identities (e.g., bisexual, gay, heterosexual, and lesbian) from a research perspective. How persons navigate life contexts (e.g., family, work, relationships) in connection with their sexual identity. Factors that enhance positive sexual orientation identity development.",Spring,https://catalog.iastate.edu/azcourses/wgs/
WGS,3500,Women of Color in the U.S,3.,Lecture 3.,,,,3 credits in WGS or AFAM,"Economic, social, political and cultural roles of Women of Color in the U.S. Includes literary, philosophical, and artistic expressions. Myths and realities explored.",,https://catalog.iastate.edu/azcourses/wgs/
WGS,3520,Queer Literature,3.,Lecture 3.,,,,ENGL 2500,Focused study of literary portrayals of queer lives and relationships from many different genres. Attention to changing definitions and representations of sexual orientation and LGBTQ identities over time.,,https://catalog.iastate.edu/azcourses/wgs/
WGS,3700F,Studies in English Translation: French Topics on Women and Gender Studies,3.,Lecture 3.,,,True,,"Topics vary according to faculty interest. Readings, discussions, and papers in English. Meets International Perspectives Requirement.",,https://catalog.iastate.edu/azcourses/wgs/
WGS,3700G,Studies in English Translation: German Topics on Women or Feminism,3-4.,Lecture 3.,,,True,Sophomore classification,"Topics vary according to faculty interest. Author, genre or period study, women writers, cinema, or contemporary theory. Three credits: English, open to all students. Four credits: Required for German concentration credit, supplementary readings and compositions in German. For enrollment in fourth credit, 6 credits in GER at the 3000-level. Meets International Perspectives Requirement.",,https://catalog.iastate.edu/azcourses/wgs/
WGS,3700R,Studies in English Translation: Russian Topics on Women or Feminism,3.,Lecture 3.,,,True,,"Topics vary according to faculty interest. Author, genre or period study, women writers, cinema, or contemporary theory. Readings, discussions, and papers in English. Meets International Perspectives Requirement.",,https://catalog.iastate.edu/azcourses/wgs/
WGS,3700S,Studies in English Translation: Hispanic Topics on Women or Feminism,3.,Lecture 3.,,,True,,"Topics vary according to faculty interest. Author, genre or period study, women writers, cinema, or contemporary theory. Readings, discussions, and papers in English. May not be counted as a prerequisite. Meets International Perspectives Requirement.",,https://catalog.iastate.edu/azcourses/wgs/
