subject_code,course_number,title_name,credits,contact_hours,cross_listed,dual_listed,repeatable,prerequisites,description,typically_offered,source_url
YTH,5020,Foundations of Positive Youth Development,3.,Lecture 3.,,,True,Graduate Standing or Permission of Instructor,"Fundamentals of positive youth development, theories, and principles utilized in the youth development profession. Ethical, professional, and historical elements of youth development as it has evolved toward professionalization.","Fall, Spring, Summer",https://catalog.iastate.edu/azcourses/yth/
YTH,5100,Adolescents and Their Families,3.,Lecture 3.,,,,Graduate Standing or Permission of Instructor,Adolescent development as it is related to and intertwined with family development; reciprocal influences between adolescents and their families are examined. Working with youth vis a vis the family system will be highlighted.,"Fall, Spring",https://catalog.iastate.edu/azcourses/yth/
YTH,5200,Positive Youth Development in Community Settings,3.,Lecture 3.,,,,Graduate Standing or Permission of Instructor,"Focus on the national emphasis of a strength-based or asset approach to community youth development, encompassing individual development (i.e., positive youth development) and adolescent interrelationships with environments. Emphasis is placed upon research, theory, and practice applied in communities throughout the U.S. Students will explore existing models, read theoretical and applied literature, and examine current community efforts as a basis for understanding community youth development.","Fall, Spring",https://catalog.iastate.edu/azcourses/yth/
YTH,5300,Youth in Cultural Contexts,3.,Lecture 3.,,,,Graduate Standing or Permission of Instructor,"Examination of the cultural context factors that affect youth from a holistic perspective within and outside the family unit. The course will provide an understanding of the cultural heritage of differing family structures and types. Students will explore the social and educational processes experienced by youth through in-depth reading, writing, discussion, critical listening, viewing of contemporary videos, and informal interviews with youth. Students will be encouraged to think critically about society and culture, gain further knowledge of how ethnic groups fit historically into society, and examine the results of how history has shaped the current cultural climate of the U.S.","Fall, Spring",https://catalog.iastate.edu/azcourses/yth/
YTH,5400,Youth Professionals as Consumers of Research,3.,Lecture 3.,,,,Graduate Standing or Permission of Instructor,This course will help youth development professionals understand and evaluate research reports to reduce anxiety about applying research results and theories to practice. Specific emphasis will be on research and theory reports related to youth development.,"Fall, Spring",https://catalog.iastate.edu/azcourses/yth/
YTH,5500,Youth Policy,3.,Lecture 3.,,,,Graduate Standing or Permission of Instructor,"Various federal and state policies designed specifically for youth. Students will examine how and why policies for youth are constructed. A guiding question that will be used to evaluate existing state and national policies is whether they contribute to, or act as, barriers to desired developmental outcomes.","Fall, Spring",https://catalog.iastate.edu/azcourses/yth/
YTH,5600,Youth-Adult Relationships,3.,Lecture 3.,,,True,Graduate Standing or Permission of Instructor,"The role of youth-adult relationships in promoting the positive development of youth. Attitudes and activities that support youth engagement and agency. Research and practice of mentorship, youth-adult partnerships, and youth leadership.","Fall, Spring",https://catalog.iastate.edu/azcourses/yth/
YTH,5700L,Contemporary Youth Issues: Mental Health,3.,Lecture 3.,,,True,Graduate Standing or Permission of Instructor,Understand optimal mental health in youth and how it can be promoted. Current theories and research related to optimal mental health and how promoting positive development is both similar to and different from preventing negative outcomes. Learn to assess a given youth development program in terms of its potential to promote positive mental health. Offered odd-numbered years.,Summer,https://catalog.iastate.edu/azcourses/yth/
YTH,5700M,Contemporary Youth Issues: Working with Adolescents with Difficulties,3.,Lecture 3.,,,True,Graduate Standing or Permission of Instructor,"Examines cognitive, self, and social transitions during adolescence. Topics include issues of identity, society's understanding of adolescents, and how adolescents and their parents, siblings, peers, teachers, and society interact. Offered odd-numbered years.",Summer,https://catalog.iastate.edu/azcourses/yth/
YTH,5700N,Contemporary Youth Issues: Understanding Normative Behavior in Immigrant & Minority Youth,3.,Lecture 3.,,,True,Graduate Standing or Permission of Instructor,"Explores the etiology of adolescent deviance using a positive, cross-national/crosscultural perspective. Includes implications of theory, empirical research, current prevention programs and needs assessments. Offers a look at deviance from different perspectives as well as a comparison of normative and non-normative development of youth.",Fall,https://catalog.iastate.edu/azcourses/yth/
YTH,5700P,"Contemporary Youth Issues: Youth, Families & Technology",3.,Lecture 3.,,,True,Graduate Standing or Permission of Instructor,"Understand the interconnectedness of technology and youth/family. Formulate constructive and realistic strategies to enrich the life of a family or a youth in a society heavily dependent on technology. Topics of the course include identity formation, privacy, race, class, gender, subculture, risky behavior, policing, education, globalization, health, and policies. Offered odd-numbered years.",Summer,https://catalog.iastate.edu/azcourses/yth/
YTH,5700R,"Contemporary Youth Issues: Sports, Youth and Society",3.,Lecture 3.,,,True,Graduate Standing or Permission of Instructor,"Examination of how sports and society help us better understand what we value, how we become who we are, and how we may be able to realize social justice in a larger social context. Offered even-numbered years.",Summer,https://catalog.iastate.edu/azcourses/yth/
YTH,5800,Youth Development Personnel and Program Management,3.,Lecture 3.,,,,Graduate Standing or Permission of Instructor,"Introduction to the development, administration and management of youth-serving organizations.","Fall, Spring",https://catalog.iastate.edu/azcourses/yth/
YTH,5850,Design and Evaluation of Youth Programs,3.,Lecture 3.,,,,Graduate Standing or Permission of Instructor,"Theoretical, methodological, and pragmatic issues involved in conducting programs and scholarship. Overview of the program development process and outcome evaluation of children and family programs. Modes of outcome scholarship and their implications for community-based programs are discussed. Students will develop knowledge through participating in a community-based project involving the practical application of program design and evaluation methods.","Fall, Spring",https://catalog.iastate.edu/azcourses/yth/
YTH,5890,Grant Development and Management.,3.,Lecture 3.,,,,Graduate Standing or Permission of Instructor,"Grant-getting process and an overview of what happens after a project is funded. The following topics will be covered: researching funding sources, generating cutting edge ideas, assessing needs, planning a project, establishing credibility, formulating a sustainable budget, designing an evaluation plan, managing the funded project, and disseminating project results.",Fall,https://catalog.iastate.edu/azcourses/yth/
